"site_name","latitude","longitude","benz_a_anthracene","benzo_a_pyrene","benzo_b_fluoranthene","benzo_e_pyrene","benzo_ghi_perylene","benzo_k_fluoranthene","C1-benzanthracenes_chrysenes","C1-fluoranthenes_pyrenes","C2-benzanthracenes_chrysenes","C2-fluoranthenes_pyrenes","C3-benzanthracenes_chrysenes","C3-fluoranthenes_pyrenes","C4-benzanthracenes_chrysenes","C4-fluoranthenes_pyrenes","chrysene","dibenz_ah_anthracene","fluoranthene","indeno_123cd_pyrene","perylene","pyrene"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,1.6,0,0,0.96
"Arroyo Beach",47.50159,-122.38577,2.2,0,1.9,1.4,0,2.2,1.6,2.5,1.1,1.5,0.53,1,0,0,3.9,0,7.6,0,0,4.1
"Blair Waterway",47.2758,-122.4174,3.1,0.53,1.8,2.2,0.53,1.9,2.3,4,2,2.7,1,2.5,0,0.91,4.5,0,12,0,0.43,8.6
"Blair Waterway Two",47.2632,-122.3856,2.9,0,2.8,4.3,1.1,2.7,4.6,4.7,4.8,3.9,2.6,4.4,0,1.4,6.5,0,11,0,0,8.1
"Brackenwood Ln",47.68203,-122.50668,2.2,0,1.6,1.1,0,2,1.2,2.6,0.64,1.4,0,0.75,0,0,3.7,0,8.1,0,0,4.5
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.5,0,0,0
"Browns Point Lighthouse",47.304906,-122.44427,2.1,0,1.3,1.3,0,1.7,1.7,2.7,1.3,1.5,0.72,1.2,0,0,3.7,0,7.2,0,0,4.8
"Cap Sante",48.52093,-122.600725,0.77,0,0,0,0,0,1.2,1.6,1.9,1.7,1.5,2.4,0,0.88,1.7,0,3.2,0,0,1.8
"Chambers Bay Park",47.2009,-122.58342,0.92,0,0.9,0.49,0,0.87,0.66,1.1,0.49,0.62,0,0.48,0,0,1.8,0,2.7,0,0.44,1.6
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,1.5,0,0.88,0.79,0,0.96,0.97,1.7,1.3,1.4,1.1,2.4,0,0.71,2.3,0,5.9,0,0,3.6
"Chimacum Creek delta",48.04887,-122.7711,0.56,0,0.51,0,0,0.64,0,0.94,0,0,0,0,0,0,1.3,0,2.8,0,0.51,1.9
"Chuckanut, Clark's Point",48.691084,-122.504012,1.1,0,0.79,0,0,0.94,0.62,1.2,0,0.73,0,0,0,0,2.1,0,3.1,0,0.43,1.8
"Commencement Bay Skookum",47.28915,-122.4096,4.8,0,2.6,2.7,0,2.9,3.3,4.9,2.2,2.6,1.1,2.1,0,0,6.8,0,13,0,0,7.4
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,3.1,0,1.7,2.8,0,2,2.5,4.5,1.9,2.5,0.99,1.9,0,0.82,5.2,0,14,0,0,8.8
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,1.9,0,1.1,1.3,0,1.1,2.2,2.9,2,1.7,1,1.6,0,0,3.5,0,6.9,0,0,4.5
"Des Moines Marina",47.402778,-122.331667,110,27,79,57,5.7,56,33,110,12,33,4.7,17,1.2,8.2,120,3,460,6.4,9.9,270
"Discovery Bay",48.064974,-122.857218,2,0,1.5,0.55,0,1.5,0.68,1.8,0,0.83,0,0.44,0,0,2.4,0,6,0,0.44,3.1
"Donkey Creek Delta",47.337909,-122.59023,2.5,0.71,3,1.9,0.81,3.9,2,2.9,1.3,1.5,0.74,1.2,0,0.65,5,0,8,0.69,0.75,5.3
"Eagle Harbor Dr",47.618875,-122.527234,4.9,2.2,9,6.3,1.7,11,4.1,5.7,2.5,3.2,1.2,2.7,0,1.3,8.6,0,16,1.9,1.2,11
"Eastsound, Fishing Bay",48.69395,-122.909933,3.7,0,3,2,0,3.9,1.8,3.5,0.94,1.7,0,1.2,0,0,6.4,0,14,0,0,7.2
"Edmonds Ferry",47.8142069,-122.3822018,4,0.74,2.8,1.9,0,2.5,1.6,3.9,0.89,1.5,0,1.1,0,0,4.9,0,12,0,0.76,7.6
"Edmonds Marina",47.81094,-122.387955,5.7,1.4,3.8,2.5,0.57,4,2.4,5.3,1.2,2.1,0,1.5,0,0.65,7.2,0,16,0,0.89,8.4
"Eld Inlet",47.0769,-123.0034725,0.46,0,0.8,0.54,0,0.96,0.55,0.99,0.44,0.69,0.34,0.52,0,0,1.4,0,3.2,0,0.97,1.8
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,89,26,66,68,7.2,81,49,110,17,41,4.9,24,1.3,11,100,2.5,380,6.3,18,250
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,29,8.1,26,19,3.3,26,15,28,6.9,14,2.8,10,0.76,4.7,30,1.4,83,3.3,4.7,45
"Everett Harbor",47.97252,-122.22982,1.8,0,0.98,0.84,0,1.5,1,2.1,0.78,0.8,0,0,0,0,2.9,0,6.9,0,1.3,4.5
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,1.2,0,1.2,1.4,0,1.1,2.2,2.9,3,3.4,2.2,4,1.1,1.3,3.4,0,7.4,0,0,4
"Filucy Bay",47.19483,-122.748665,0.62,0,0.65,0,0,0.85,0.58,0.95,0,0,0,0,0,0,1.9,0,2.9,0,0,1.6
"Friday Harbor",48.5069444,-123.0194444,3.1,0.51,2.4,1.5,0,2.8,1.2,3.8,0.49,1.3,0,0.74,0,0,3.8,0,17,0,0.65,12
"Gig Harbor Boat Launch",47.3372,-122.58284,2.1,0.73,2.6,2,0.85,3.8,1.6,2.7,1.1,1.2,0,0.99,0,0,5.1,0,8.4,0.67,0.65,6
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.79,0,0,0
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,1.4,0,0,0
"Kingston Marina",47.7947,-122.5003,1.3,0,1.2,0.78,0,1.4,0.86,1.7,0,0.84,0,0,0,0,2.5,0,4.9,0,0,3.2
"Kitsap St Boat Launch",47.541533,-122.640383,3.7,1.2,5.1,3.7,1.2,5.5,3,5.4,2.2,3.3,1.3,3.2,0,1.4,6.1,0,14,0.94,0.67,8.3
"Kopachuck State Park",47.3115,-122.68725,0.47,0,0.5,0,0,0.72,0.46,0.78,0,0,0,0,0,0,1.5,0,2.4,0,0,1.1
"Lions Park",47.583016,-122.64217,1.2,0,1.4,1,0,1.5,1.1,1.6,0.85,0.89,0,0.8,0,0,2.8,0,4.4,0,0,2.4
