latitude,longitude,site_name,sample_id,site_number,reporting_area,log2_p450,log2_sod,log2_shell,log2_length_mm,log2_height_mm,log2_width_mm,log2_ci1,log2_ci2,log2_ci3,log2_weight_initial_g,log2_weight_final_g,log2_weight_change_g
48.6793778,-122.6300583,Aiston Preserve,239,77,7,2.084531586,-12.2984063,0.20744208,-0.113272474,-0.183570653,-0.28372496,0.14243689,0.030928753,-0.090602549,-0.466952667,-0.542373093,-0.436216637
48.6793778,-122.6300583,Aiston Preserve,240,77,7,-0.753527396,-1.368556136,0.381939811,-0.124288544,-0.201531364,-0.210105254,-0.09541219,-0.051651443,-0.26052755,-0.576547924,-0.457886029,-0.629499327
48.6793778,-122.6300583,Aiston Preserve,241,77,7,1.101298859,-0.505453364,0.444481277,-0.058388567,-0.109453667,0.006243191,-0.029199175,-0.051651443,-0.012600037,-0.135772079,-0.017073513,-0.188740844
48.6793778,-122.6300583,Aiston Preserve,242,77,7,0.320957631,-10.2984063,0.617317874,0.006111423,-0.110928815,0.036551945,-0.095873189,-0.015975711,-0.173064709,-0.144827092,-0.104879894,-0.161955863
47.50161,-122.38593,Arroyo Beach,281,13,11,0.519956543,-0.829985897,0.601721019,-0.004026676,-0.066601784,-0.083720186,0.085024483,-0.005648573,-0.064130337,-0.061948117,-0.048870583,-0.067481185
47.50161,-122.38593,Arroyo Beach,282,13,11,1.501085273,-4.309721612,0.6706161,0.051707195,0.078946287,-0.005746756,-0.06847075,-0.092596993,-0.090602549,0.152003093,0.353076002,0.058448397
47.50161,-122.38593,Arroyo Beach,283,13,11,1.92212356,-0.083601503,0.504423818,-0.053501123,0.067253963,0.039091455,-0.118644496,-0.125763857,0.085247287,0.062821256,0.325890531,-0.063896848
47.50161,-122.38593,Arroyo Beach,284,13,11,-0.337106046,-1.045740866,0.655587891,0.021064305,0.003923846,-0.000521487,0.042510295,-0.060175515,0.012490944,0.130300716,0.266675833,0.068886044
47.50161,-122.38593,Arroyo Beach,285,13,11,-0.205057095,0.279494538,0.529370175,-0.008998063,-0.18124435,-0.164980249,-0.436479837,-0.230100516,-0.75802721,-0.55789127,-0.121524677,-0.789767781
47.50161,-122.38593,Arroyo Beach,286,13,11,1.448944723,-12.2984063,0.089386318,-0.070290351,-0.206253775,-0.102630107,0.046693235,0.020861057,-0.117569596,-0.351589393,-0.402993165,-0.330515591
47.27568,-122.4173,Blair Waterway,149,41,11,0.886376542,-4.228016971,0.553892494,0.029331921,0.008006948,-0.129185259,0.096368394,0.028920827,-0.090602549,-0.021956239,-0.091958222,0.006486167
47.27568,-122.4173,Blair Waterway,150,41,11,1.166912705,-0.969282702,0.165621904,-0.061483927,-0.048821241,-0.163811602,0.038735252,0.052833447,-0.064130337,-0.286097278,-0.419444601,-0.233523556
47.27568,-122.4173,Blair Waterway,151,41,11,0.921774548,-0.393019293,0.826351913,-0.042500824,0.032933889,-0.038572793,-0.031843088,-0.081708677,0.037152998,0.003122235,0.179839896,-0.078154028
47.27568,-122.4173,Blair Waterway,152,41,11,0.665315945,-0.425423676,0.227906182,-0.072110131,-0.128002329,0.192970912,0.015875169,0.064642749,0.22059914,-0.053582488,-0.218951661,0.010647244
47.2632444,-122.385731,Blair Waterway Two,141,42,11,1.694723018,1.069226861,0.297327583,-0.217883513,-0.249465841,-0.299038983,-0.04736324,-0.094784552,-0.173064709,-0.716864201,-0.513657467,-0.81164228
47.2632444,-122.385731,Blair Waterway Two,142,42,11,0.028198998,0.029595364,0.678071905,-0.178705207,-0.064456512,-0.189743093,-0.088056177,-0.194476607,0.012490944,-0.324833376,0.052952278,-0.518860531
