"latitude","longitude","site_name","sample_id","site_number","reporting_area","p450","sod","shell","ci1","ci2","ci3","weight_initial_g","weight_final_g","weight_change_g","length_mm","width_mm","height_mm","p450_quantile","sod_quantile","shell_quantile","length_mm_quantile","height_mm_quantile","width_mm_quantile","ci1_quantile","ci2_quantile","ci3_quantile","weight_initial_g_quantile","weight_final_g_quantile","weight_change_g_quantile","log2_p450","log2_sod","log2_shell","log2_length_mm","log2_height_mm","log2_width_mm","log2_ci1","log2_ci2","log2_ci3","log2_weight_initial_g","log2_weight_final_g","log2_weight_change_g"
48.6793778,-122.6300583,"Aiston Preserve","239","77","7",9716178,0.0025,0.7,36.91,0.719,0.054,11.688,3.283,8.406,53.9,22.73,18.59,"in","in","in","in","in","in","in","in","in","in","in","in",2.0845315863237,-12.2984062984217,0.207442079870477,-0.113272474260564,-0.183570652769267,-0.283724959792107,0.142436890164726,0.0309287534717058,-0.0906025487809066,-0.466952667349228,-0.542373092781758,-0.436216637080715
48.6793778,-122.6300583,"Aiston Preserve","240","77","7",1358797,4.877,0.79,31.3,0.679,0.048,10.833,3.481,7.352,53.49,23.92,18.36,"in","in","in","in","in","in","in","in","in","in","in","in",-0.753527395908552,-1.36855613627322,0.381939811102613,-0.124288543554281,-0.20153136427494,-0.21010525441185,-0.095412190260902,-0.05165144272286,-0.260527550223219,-0.57654792448293,-0.457886028631056,-0.629499326943655
48.6793778,-122.6300583,"Aiston Preserve","241","77","7",4914880,8.871,0.825,32.77,0.679,0.057,14.704,4.725,9.979,55.99,27.79,19.57,"in","in","in","in","in","in","in","in","in","in","in","in",1.10129885864695,-0.505453364467606,0.444481277171326,-0.058388567187439,-0.109453667061944,0.00624319059060711,-0.0291991745381226,-0.05165144272286,-0.0126000367796333,-0.135772078863692,-0.0170735133589416,-0.188740843872298
48.6793778,-122.6300583,"Aiston Preserve","242","77","7",2861586,0.01,0.93,31.29,0.696,0.051,14.612,4.446,10.166,58.55,28.38,19.55,"in","in","in","in","in","in","in","in","in","in","in","in",0.320957631224832,-10.2984062984217,0.617317874033541,0.00611142348814581,-0.110928815494033,0.0365519454505967,-0.0958731888399608,-0.0159757111188637,-0.17306470897288,-0.144827091790708,-0.104879894327749,-0.161955862784245
47.50161,-122.38593,"Arroyo Beach","281","13","11",3284819,7.084,0.92,35.47,0.701,0.055,15.476,4.622,10.854,58.14,26.11,20.16,"in","in","in","in","in","in","in","in","in","in","in","in",0.519956543389194,-0.829985896557172,0.601721018982523,-0.00402667576419436,-0.0666017841888317,-0.0837201862971129,0.0850244828543059,-0.00564857295696884,-0.0641303374197156,-0.0619481167095097,-0.0488705828871079,-0.0674811848902923
47.50161,-122.38593,"Arroyo Beach","282","13","11",6484263,0.635,0.965,31.89,0.66,0.054,17.95,6.107,11.844,60.43,27.56,22.3,"in","in","in","in","in","in","in","in","in","in","in","in",1.50108527336441,-4.30972161164956,0.67061610019359,0.0517071947992395,0.0789462871189189,-0.0057467559056634,-0.0684707498286217,-0.0925969927217761,-0.0906025487809066,0.15200309344505,0.353076002488513,0.0584483969448645
47.50161,-122.38593,"Arroyo Beach","283","13","11",8681720,11.884,0.86,30.8,0.645,0.061,16.874,5.993,10.881,56.18,28.43,22.12,"in","in","in","in","in","in","in","in","in","in","in","in",1.92212356000273,-0.0836015034736718,0.504423817627608,-0.0535011227740333,0.0672539625459589,0.0390914550675726,-0.118644496498619,-0.125763856656975,0.0852472866185112,0.0628212559875043,0.325890531215692,-0.0638968475412533
47.50161,-122.38593,"Arroyo Beach","284","13","11",1813468,6.1,0.955,34.44,0.675,0.058,17.682,5.752,11.93,59.16,27.66,21.17,"in","in","in","in","in","in","in","in","in","in","in","in",-0.337106045909626,-1.04574086597148,0.655587890961259,0.0210643051986361,0.00392384631884146,-0.0005214874594605,0.0425102953159612,-0.0601755150293986,0.0124909441831971,0.13030071569243,0.266675833084559,0.0688860443499012
47.50161,-122.38593,"Arroyo Beach","285","13","11",1987287,15.285,0.875,24.71,0.6,0.034,10.974,4.395,6.579,57.94,24.68,18.62,"in","in","in","in","in","in","out","in","out","in","in","in",-0.205057095252628,0.279494538465246,0.529370174757839,-0.00899806263002842,-0.181244350129954,-0.164980249460537,-0.436479836752098,-0.230100516471711,-0.758027209694035,-0.557891269682854,-0.121524677323973,-0.78976778083794
47.50161,-122.38593,"Arroyo Beach","286","13","11",6254099,0.0025,0.645,34.54,0.714,0.053,12.661,3.616,9.045,55.53,25.77,18.3,"in","in","in","in","in","in","in","in","in","in","in","in",1.44894472274677,-12.2984062984217,0.0893863183487644,-0.0702903513087015,-0.206253774517343,-0.102630106750335,0.0466932354480416,0.0208610570615079,-0.117569596381176,-0.351589393383199,-0.402993164939551,-0.330515590724086
