"site_name","latitude","longitude","benz_a_anthracene","benzo_a_pyrene","benzo_b_fluoranthene","benzo_e_pyrene","benzo_ghi_perylene","benzo_k_fluoranthene","C1-benzanthracenes_chrysenes","C1-fluoranthenes_pyrenes","C2-benzanthracenes_chrysenes","C2-fluoranthenes_pyrenes","C3-benzanthracenes_chrysenes","C3-fluoranthenes_pyrenes","C4-benzanthracenes_chrysenes","C4-fluoranthenes_pyrenes","chrysene","dibenz_ah_anthracene","fluoranthene","indeno_123cd_pyrene","perylene","pyrene","z_benz_a_anthracene","z_benzo_a_pyrene","z_benzo_b_fluoranthene","z_benzo_e_pyrene","z_benzo_ghi_perylene","z_benzo_k_fluoranthene","z_C1-benzanthracenes_chrysenes","z_C1-fluoranthenes_pyrenes","z_C2-benzanthracenes_chrysenes","z_C2-fluoranthenes_pyrenes","z_C3-benzanthracenes_chrysenes","z_C3-fluoranthenes_pyrenes","z_C4-benzanthracenes_chrysenes","z_C4-fluoranthenes_pyrenes","z_chrysene","z_dibenz_ah_anthracene","z_fluoranthene","z_indeno_123cd_pyrene","z_perylene","z_pyrene","ai_z_benz_a_anthracene","ai_z_benzo_a_pyrene","ai_z_benzo_b_fluoranthene","ai_z_benzo_e_pyrene","ai_z_benzo_ghi_perylene","ai_z_benzo_k_fluoranthene","ai_z_C1-benzanthracenes_chrysenes","ai_z_C1-fluoranthenes_pyrenes","ai_z_C2-benzanthracenes_chrysenes","ai_z_C2-fluoranthenes_pyrenes","ai_z_C3-benzanthracenes_chrysenes","ai_z_C3-fluoranthenes_pyrenes","ai_z_C4-benzanthracenes_chrysenes","ai_z_C4-fluoranthenes_pyrenes","ai_z_chrysene","ai_z_dibenz_ah_anthracene","ai_z_fluoranthene","ai_z_indeno_123cd_pyrene","ai_z_perylene","ai_z_pyrene"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,1.6,0,0,0.96,-0.348581828387828,-0.30202774941334,-0.38201055232311,-0.362598028209658,-0.410055899093638,-0.409457769201333,-0.426388469241742,-0.362816022634858,-0.546982564549597,-0.431238719752306,-0.55083388742365,-0.483570098474977,-0.346068857529207,-0.395481463891053,-0.381523098988665,-0.283220911813946,-0.30494304135822,-0.35992791833364,-0.389083926394421,-0.304180403482323,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.00423522404057725,0,0.00141440133222015,0,0,0
"Arroyo Beach",47.50159,-122.38577,2.2,0,1.9,1.4,0,2.2,1.6,2.5,1.1,1.5,0.53,1,0,0,3.9,0,7.6,0,0,4.1,-0.219378841407884,-0.30202774941334,-0.233276935639932,-0.239325264855233,-0.410055899093638,-0.235735650615013,-0.222975030786589,-0.231477687157146,-0.204053302635,-0.218288337994188,-0.135671827789784,-0.251158964956084,-0.346068857529207,-0.395481463891053,-0.211055331355431,-0.283220911813946,-0.220078961425011,-0.35992791833364,-0.389083926394421,-0.231998054432951,0.129202986979943,0,0.148733616683178,0.123272763354425,0,0.17372211858632,0.203413438455152,NA,0.342929261914596,0.212950381758118,0.415162059633866,0.232411133518893,0,0,0.17470299167381,0,0.0862784812654287,0,0,0.0721823490493718
"Blair Waterway",47.2758,-122.4174,3.1,0.53,1.8,2.2,0.53,1.9,2.3,4,2,2.7,1,2.5,0,0.91,4.5,0,12,0,0.43,8.6,-0.166523074006998,-0.191692274372625,-0.24110502072852,-0.168883685795562,-0.0234401023912635,-0.259425030422238,-0.13398165146246,-0.152674685870518,0.0765251843860331,-0.0479280325876937,0.232490753394965,0.0974577353222556,-0.346068857529207,0.0579304277696956,-0.179291151051102,-0.283220911813946,-0.157845302807325,-0.35992791833364,-0.226208061568096,-0.128552012801686,0.182058754380829,0.110335475040716,0.14090553159459,0.193714342414096,0.386615796702375,0.150032738779095,0.292406817779281,NA,0.62350774893563,0.383310687164613,0.783324640818615,0.581027833797232,0,0.453411891660749,0.20646717197814,0,0.148512139883115,0,0.162875864826325,0.175628390680637
"Blair Waterway Two",47.2632,-122.3856,2.9,0,2.8,4.3,1.1,2.7,4.6,4.7,4.8,3.9,2.6,4.4,0,1.4,6.5,0,11,0,0,8.1,-0.178268800096084,-0.30202774941334,-0.162824169842637,0.016025459236075,0.39235424500563,-0.196253350936304,0.158425166316821,-0.115899951936759,0.949436032895915,0.122432272818801,1.48581017870475,0.539038889008152,-0.346068857529207,0.302075292510099,-0.0734105500366718,-0.283220911813946,-0.171989316129526,-0.35992791833364,-0.389083926394421,-0.140046017427382,0.170313028291743,0,0.219186382480473,0.378623487445733,0.802410144099268,0.213204418265029,0.584813635558563,NA,1.49641859744551,0.553670992571107,2.0366440661284,1.02260898748313,0,0.697556756401152,0.31234777299257,0,0.134368126560914,0,0,0.164134386054941
"Brackenwood Ln",47.68203,-122.50668,2.2,0,1.6,1.1,0,2,1.2,2.6,0.64,1.4,0,0.75,0,0,3.7,0,8.1,0,0,4.5,-0.219378841407884,-0.30202774941334,-0.256761190905697,-0.26574085700261,-0.410055899093638,-0.251528570486496,-0.273828390400377,-0.226224153738037,-0.347460084890195,-0.232485030111396,-0.55083388742365,-0.309261748335807,-0.346068857529207,-0.395481463891053,-0.221643391456875,-0.283220911813946,-0.213006954763911,-0.35992791833364,-0.389083926394421,-0.222802850732394,0.129202986979943,0,0.125249361417413,0.096857171207048,0,0.157929198714837,0.152560078841364,NA,0.199522479659402,0.19875368964091,0,0.17430835013917,0,0,0.164114931572367,0,0.0933504879265294,0,0,0.0813775527499287
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.5,0,0,0,-0.348581828387828,-0.30202774941334,-0.38201055232311,-0.362598028209658,-0.410055899093638,-0.409457769201333,-0.426388469241742,-0.362816022634858,-0.546982564549597,-0.431238719752306,-0.55083388742365,-0.483570098474977,-0.346068857529207,-0.395481463891053,-0.348700112674191,-0.283220911813946,-0.30635744269044,-0.35992791833364,-0.389083926394421,-0.32624889236366,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.0370582103550507,0,0,0,0,0.0220684888813366
"Browns Point Lighthouse",47.304906,-122.44427,2.1,0,1.3,1.3,0,1.7,1.7,2.7,1.3,1.5,0.72,1.2,0,0,3.7,0,7.2,0,0,4.8,-0.225251704452427,-0.30202774941334,-0.280245446171462,-0.248130462237692,-0.410055899093638,-0.275217950293722,-0.210261690883142,-0.220970620318929,-0.141702527741437,-0.218288337994188,0.0131598539657528,-0.204676738252305,-0.346068857529207,-0.395481463891053,-0.221643391456875,-0.283220911813946,-0.225736566753892,-0.35992791833364,-0.389083926394421,-0.215906447956976,0.1233301239354,0,0.101765106151648,0.114467565971966,0,0.134239818907611,0.216126778358599,NA,0.405280036808159,0.212950381758118,0.563993741389403,0.278893360222671,0,0,0.164114931572367,0,0.0806208759365481,0,0,0.0882739555253464
"Cap Sante",48.52093,-122.600725,0.77,0,0,0,0,0,1.2,1.6,1.9,1.7,1.5,2.4,0,0.88,1.7,0,3.2,0,0,1.8,-0.303360782944847,-0.30202774941334,-0.38201055232311,-0.362598028209658,-0.410055899093638,-0.409457769201333,-0.273828390400377,-0.278759487929122,0.0453497969392515,-0.189894953759773,0.624153073804272,0.0742166219703663,-0.346068857529207,0.0429827829896709,-0.327523992471305,-0.283220911813946,-0.282312620042698,-0.35992791833364,-0.389083926394421,-0.284870475711153,0.0452210454429802,0,0,0,0,0,0.152560078841364,NA,0.592332361488848,0.241343765992534,1.17498696122792,0.557786720445343,0,0.438464246880724,0.0582343305579368,0,0.0240448226477424,0,0,0.0193099277711695
"Chambers Bay Park",47.2009,-122.58342,0.92,0,0.9,0.49,0,0.87,0.66,1.1,0.49,0.62,0,0.48,0,0,1.8,0,2.7,0,0.44,1.6,-0.294551488378033,-0.30202774941334,-0.311557786525815,-0.319452561035609,-0.410055899093638,-0.340758567760379,-0.342480425878991,-0.305027155024665,-0.394223166060368,-0.343219228625618,-0.55083388742365,-0.372012754385908,-0.346068857529207,-0.395481463891053,-0.322229962420584,-0.283220911813946,-0.289384626703798,-0.35992791833364,-0.222420250758181,-0.289468077561432,0.0540303400097945,0,0.0704527657972949,0.0431454671740487,0,0.0686992014409539,0.0839080433627503,NA,0.152759398489229,0.0880194911266889,0,0.111557344089069,0,0,0.0635283606086583,0,0.0169728159866417,0,0.166663675636239,0.0147123259208911
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,1.5,0,0.88,0.79,0,0.96,0.97,1.7,1.3,1.4,1.1,2.4,0,0.71,2.3,0,5.9,0,0,3.6,-0.260488882719684,-0.30202774941334,-0.313123403543533,-0.293036968888233,-0.410055899093638,-0.333651753818211,-0.303069072178306,-0.273505954510014,-0.141702527741437,-0.232485030111396,0.310823217476827,0.0742166219703663,-0.346068857529207,-0.041720537430469,-0.295759812166976,-0.283220911813946,-0.244123784072754,-0.35992791833364,-0.389083926394421,-0.243492059058647,0.0880929456681431,0,0.0688871487795773,0.0695610593214254,0,0.0758060153831215,0.123319397063436,NA,0.405280036808159,0.19875368964091,0.861657104900476,0.557786720445343,0,0.353760926460584,0.089998510862266,0,0.0622336586176863,0,0,0.0606883444236756
