site_name,latitude,longitude,benz_a_anthracene,benzo_a_pyrene,benzo_b_fluoranthene,benzo_e_pyrene,benzo_ghi_perylene,benzo_k_fluoranthene,C1-benzanthracenes_chrysenes,C1-fluoranthenes_pyrenes,C2-benzanthracenes_chrysenes,C2-fluoranthenes_pyrenes,C3-benzanthracenes_chrysenes,C3-fluoranthenes_pyrenes,C4-benzanthracenes_chrysenes,C4-fluoranthenes_pyrenes,chrysene,dibenz_ah_anthracene,fluoranthene,indeno_123cd_pyrene,perylene,pyrene,z_benz_a_anthracene,z_benzo_a_pyrene,z_benzo_b_fluoranthene,z_benzo_e_pyrene,z_benzo_ghi_perylene,z_benzo_k_fluoranthene,z_C1-benzanthracenes_chrysenes,z_C1-fluoranthenes_pyrenes,z_C2-benzanthracenes_chrysenes,z_C2-fluoranthenes_pyrenes,z_C3-benzanthracenes_chrysenes,z_C3-fluoranthenes_pyrenes,z_C4-benzanthracenes_chrysenes,z_C4-fluoranthenes_pyrenes,z_chrysene,z_dibenz_ah_anthracene,z_fluoranthene,z_indeno_123cd_pyrene,z_perylene,z_pyrene,ai_z_benz_a_anthracene,ai_z_benzo_a_pyrene,ai_z_benzo_b_fluoranthene,ai_z_benzo_e_pyrene,ai_z_benzo_ghi_perylene,ai_z_benzo_k_fluoranthene,ai_z_C1-benzanthracenes_chrysenes,ai_z_C1-fluoranthenes_pyrenes,ai_z_C2-benzanthracenes_chrysenes,ai_z_C2-fluoranthenes_pyrenes,ai_z_C3-benzanthracenes_chrysenes,ai_z_C3-fluoranthenes_pyrenes,ai_z_C4-benzanthracenes_chrysenes,ai_z_C4-fluoranthenes_pyrenes,ai_z_chrysene,ai_z_dibenz_ah_anthracene,ai_z_fluoranthene,ai_z_indeno_123cd_pyrene,ai_z_perylene,ai_z_pyrene,pah_hmw_index
Aiston Preserve,48.6793778,-122.6300583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,1.6,0,0,0.96,-0.348581828,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.426388469,-0.362816023,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.381523099,-0.283220912,-0.304943041,-0.359927918,-0.389083926,-0.304180403,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.004235224,0,0.001414401,0,0,0,0.005649625
Arroyo Beach,47.50159,-122.38577,2.2,0,1.9,1.4,0,2.2,1.6,2.5,1.1,1.5,0.53,1,0,0,3.9,0,7.6,0,0,4.1,-0.219378841,-0.302027749,-0.233276936,-0.239325265,-0.410055899,-0.235735651,-0.222975031,-0.231477687,-0.204053303,-0.218288338,-0.135671828,-0.251158965,-0.346068858,-0.395481464,-0.211055331,-0.283220912,-0.220078961,-0.359927918,-0.389083926,-0.231998054,0.129202987,0,0.148733617,0.123272763,0,0.173722119,0.203413438,NA,0.342929262,0.212950382,0.41516206,0.232411134,0,0,0.174702992,0,0.086278481,0,0,0.072182349,2.314961583
Blair Waterway,47.2758,-122.4174,3.1,0.53,1.8,2.2,0.53,1.9,2.3,4,2,2.7,1,2.5,0,0.91,4.5,0,12,0,0.43,8.6,-0.166523074,-0.191692274,-0.241105021,-0.168883686,-0.023440102,-0.25942503,-0.133981651,-0.152674686,0.076525184,-0.047928033,0.232490753,0.097457735,-0.346068858,0.057930428,-0.179291151,-0.283220912,-0.157845303,-0.359927918,-0.226208062,-0.128552013,0.182058754,0.110335475,0.140905532,0.193714342,0.386615797,0.150032739,0.292406818,NA,0.623507749,0.383310687,0.783324641,0.581027834,0,0.453411892,0.206467172,0,0.14851214,0,0.162875865,0.175628391,4.974135826
Blair Waterway Two,47.2632,-122.3856,2.9,0,2.8,4.3,1.1,2.7,4.6,4.7,4.8,3.9,2.6,4.4,0,1.4,6.5,0,11,0,0,8.1,-0.1782688,-0.302027749,-0.16282417,0.016025459,0.392354245,-0.196253351,0.158425166,-0.115899952,0.949436033,0.122432273,1.485810179,0.539038889,-0.346068858,0.302075293,-0.07341055,-0.283220912,-0.171989316,-0.359927918,-0.389083926,-0.140046017,0.170313028,0,0.219186382,0.378623487,0.802410144,0.213204418,0.584813636,NA,1.496418597,0.553670993,2.036644066,1.022608987,0,0.697556756,0.312347773,0,0.134368127,0,0,0.164134386,8.786300782
Brackenwood Ln,47.68203,-122.50668,2.2,0,1.6,1.1,0,2,1.2,2.6,0.64,1.4,0,0.75,0,0,3.7,0,8.1,0,0,4.5,-0.219378841,-0.302027749,-0.256761191,-0.265740857,-0.410055899,-0.25152857,-0.27382839,-0.226224154,-0.347460085,-0.23248503,-0.550833887,-0.309261748,-0.346068858,-0.395481464,-0.221643391,-0.283220912,-0.213006955,-0.359927918,-0.389083926,-0.222802851,0.129202987,0,0.125249361,0.096857171,0,0.157929199,0.152560079,NA,0.19952248,0.19875369,0,0.17430835,0,0,0.164114932,0,0.093350488,0,0,0.081377553,1.573226289
Broad Spit,47.80934,-122.81556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.5,0,0,0,-0.348581828,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.426388469,-0.362816023,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.348700113,-0.283220912,-0.306357443,-0.359927918,-0.389083926,-0.326248892,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.03705821,0,0,0,0,0.022068489,0.059126699
Browns Point Lighthouse,47.304906,-122.44427,2.1,0,1.3,1.3,0,1.7,1.7,2.7,1.3,1.5,0.72,1.2,0,0,3.7,0,7.2,0,0,4.8,-0.225251704,-0.302027749,-0.280245446,-0.248130462,-0.410055899,-0.27521795,-0.210261691,-0.22097062,-0.141702528,-0.218288338,0.013159854,-0.204676738,-0.346068858,-0.395481464,-0.221643391,-0.283220912,-0.225736567,-0.359927918,-0.389083926,-0.215906448,0.123330124,0,0.101765106,0.114467566,0,0.134239819,0.216126778,NA,0.405280037,0.212950382,0.563993741,0.27889336,0,0,0.164114932,0,0.080620876,0,0,0.088273956,2.484056677
Cap Sante,48.52093,-122.600725,0.77,0,0,0,0,0,1.2,1.6,1.9,1.7,1.5,2.4,0,0.88,1.7,0,3.2,0,0,1.8,-0.303360783,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.27382839,-0.278759488,0.045349797,-0.189894954,0.624153074,0.074216622,-0.346068858,0.042982783,-0.327523992,-0.283220912,-0.28231262,-0.359927918,-0.389083926,-0.284870476,0.045221045,0,0,0,0,0,0.152560079,NA,0.592332361,0.241343766,1.174986961,0.55778672,0,0.438464247,0.058234331,0,0.024044823,0,0,0.019309928,3.304284261
Chambers Bay Park,47.2009,-122.58342,0.92,0,0.9,0.49,0,0.87,0.66,1.1,0.49,0.62,0,0.48,0,0,1.8,0,2.7,0,0.44,1.6,-0.294551488,-0.302027749,-0.311557787,-0.319452561,-0.410055899,-0.340758568,-0.342480426,-0.305027155,-0.394223166,-0.343219229,-0.550833887,-0.372012754,-0.346068858,-0.395481464,-0.322229962,-0.283220912,-0.289384627,-0.359927918,-0.222420251,-0.289468078,0.05403034,0,0.070452766,0.043145467,0,0.068699201,0.083908043,NA,0.152759398,0.088019491,0,0.111557344,0,0,0.063528361,0,0.016972816,0,0.166663676,0.014712326,0.93444923
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,1.5,0,0.88,0.79,0,0.96,0.97,1.7,1.3,1.4,1.1,2.4,0,0.71,2.3,0,5.9,0,0,3.6,-0.260488883,-0.302027749,-0.313123404,-0.293036969,-0.410055899,-0.333651754,-0.303069072,-0.273505955,-0.141702528,-0.23248503,0.310823217,0.074216622,-0.346068858,-0.041720537,-0.295759812,-0.283220912,-0.244123784,-0.359927918,-0.389083926,-0.243492059,0.088092946,0,0.068887149,0.069561059,0,0.075806015,0.123319397,NA,0.405280037,0.19875369,0.861657105,0.55778672,0,0.353760926,0.089998511,0,0.062233659,0,0,0.060688344,3.015825558
