"site_name","latitude","longitude","acenaphthene","acenaphthylene","C1-dibenzothiophenes","C1-fluorenes","C1-naphthalenes","C1-phenanthrenes_anthracenes","C2-dibenzothiophenes","C2-fluorenes","C2-naphthalenes","C2-phenanthrenes_anthracenes","C3-dibenzothiophenes","C3-fluorenes","C3-naphthalenes","C3-phenanthrenes_anthracenes","C4-dibenzothiophenes","C4-naphthalenes","C4-phenanthrenes_anthracenes","dibenzothiophene","fluorene","naphthalene","phenanthrene","z_acenaphthene","z_acenaphthylene","z_C1-dibenzothiophenes","z_C1-fluorenes","z_C1-naphthalenes","z_C1-phenanthrenes_anthracenes","z_C2-dibenzothiophenes","z_C2-fluorenes","z_C2-naphthalenes","z_C2-phenanthrenes_anthracenes","z_C3-dibenzothiophenes","z_C3-fluorenes","z_C3-naphthalenes","z_C3-phenanthrenes_anthracenes","z_C4-dibenzothiophenes","z_C4-naphthalenes","z_C4-phenanthrenes_anthracenes","z_dibenzothiophene","z_fluorene","z_naphthalene","z_phenanthrene","ai_z_acenaphthene","ai_z_acenaphthylene","ai_z_C1-dibenzothiophenes","ai_z_C1-fluorenes","ai_z_C1-naphthalenes","ai_z_C1-phenanthrenes_anthracenes","ai_z_C2-dibenzothiophenes","ai_z_C2-fluorenes","ai_z_C2-naphthalenes","ai_z_C2-phenanthrenes_anthracenes","ai_z_C3-dibenzothiophenes","ai_z_C3-fluorenes","ai_z_C3-naphthalenes","ai_z_C3-phenanthrenes_anthracenes","ai_z_C4-dibenzothiophenes","ai_z_C4-naphthalenes","ai_z_C4-phenanthrenes_anthracenes","ai_z_dibenzothiophene","ai_z_fluorene","ai_z_naphthalene","ai_z_phenanthrene","pah_lmw_index"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,1.4,0,0,1.2,1.6,0,0,0,0.92,0,0.58,0.99,0,0,0,2,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.344043060521273,-0.364053743114265,-0.460124335378337,-0.120878009697341,-0.386762827742473,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.603583492317786,-0.53363123868649,-0.403559976055287,-0.756260915582893,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.28306904390277,0,0,0,0,0.736191614095011,0,0,0,1.07076977094101,0.00585330267786299,0,0,0,0.00910034615709099,0,0.00693825892965833,0.0246055458568866,0,0,0,0.0141950911291172,1.86765392978664
"Arroyo Beach",47.50159,-122.38577,0,0,0,0.65,0,4.3,0,0.79,1.7,0,0,0.98,0,5.8,0,1.5,5.1,0,0,0,5.1,-0.229236898498506,-0.160755401802192,-0.234492817502003,0.0203975623149222,-0.315388755255776,-0.203794975686905,-0.364053743114265,-0.127331771033043,0.32527606152808,-0.48041567058828,-0.490803087785624,-0.230451613992718,-0.224736767440554,-0.15948659985174,-0.53363123868649,-0.190786702212429,0.0216528803540602,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.195059478902243,0,0,0,0.30409209873164,0.736191614095011,0.140248084834368,0,0.332792564345294,1.51692384216643,0.0995061455236704,0,0.300589061729633,0,0.453197238623136,0,0.205835014913199,0.80251934179384,0,0,0,0.0738144738714096,4.96570948062763
"Blair Waterway",47.2758,-122.4174,1,0,0.71,0.93,0,8.2,1.7,1.8,3.17,0,1.9,3.2,0,13,2.1,4.8,10,0,1.1,0,6.9,-0.0317550769112334,-0.160755401802192,0.154866163850714,0.151391081768552,-0.315388755255776,-0.0151854822889626,0.431027658856767,0.298137203636256,1.63696903093082,-0.48041567058828,0.512344359280518,0.450474627884613,-0.224736767440554,0.495738323458818,1.05967530336322,0.572421780049995,0.949092685729017,-0.185435908324517,-0.0600419505756236,-0.375148115141266,-0.143957150837421,0.197481821587273,0,0.389358981352717,0.435085618185269,0.736191614095011,0.328857578232311,0.795081401971032,0.758261539014593,2.82861681156917,0.0995061455236704,1.00314744706614,0.981515303606964,0,1.1084221619337,1.59330654204971,0.969043497175624,1.7299591471688,0,0.156063671155922,0,0.124916801936232,14.2348160836241
"Blair Waterway Two",47.2632,-122.3856,1.3,0,0,1,0,7.4,2.2,2.9,3,17,3.1,6.7,0,21,2.6,5.4,14,0,1,0,6.4,0.0274894695649484,-0.160755401802192,-0.234492817502003,0.184139461631959,-0.315388755255776,-0.0538746091398226,0.664875130024717,0.761519255256285,1.48527664671417,0.514645784648423,1.14591116795387,1.52400699120473,-0.224736767440554,1.22376601602611,1.43903400385124,0.711186958643164,1.70618640440245,-0.185435908324517,-0.0742295570443438,-0.375148115141266,-0.158152241966538,0.256726368063455,0,0,0.467833998048676,0.736191614095011,0.290168451381451,1.02892887313898,1.22164359063462,2.67692442735252,0.895555309713033,1.63671425573949,2.05504766692708,0,1.83644985450098,1.97266524253773,1.10780867576879,2.48705286584223,0,0.141876064687201,0,0.110721710807114,18.9223089692384
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,4.6,0,0.8,1.7,0,0,1.8,0,5.1,0,1.6,3.9,0,0,0,6.3,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.189286553117833,-0.364053743114265,-0.123119206927406,0.32527606152808,-0.48041567058828,-0.490803087785624,0.0210616825565662,-0.224736767440554,-0.223189022951378,-0.53363123868649,-0.167659172446901,-0.20547523524797,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.160991260192361,0,0,0,0,0.736191614095011,0.15475650740344,0,0.33700512845093,1.51692384216643,0.0995061455236704,0,0.552102358278917,0,0.389494815523499,0,0.228962544678727,0.57539122619181,0,0,0,0.107882692581291,4.69821687489373
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,1.5,0,0,0,1.9,0,0,0,0.84,0,0,1.1,0,0,0,2.5,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.339206919664916,-0.364053743114265,-0.460124335378337,-1.19164778063835,-0.369202919708884,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.610863769243459,-0.53363123868649,-0.53769964869535,-0.735440838319374,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.268873952773652,0,0,0,0,0.736191614095011,0.00483614085635753,0,0,0,0.0117066053557259,0,0,0,0.00182006923141809,0,0.141077931569721,0.045425623120406,0,0,0,0,0.94105798422864
"Browns Point Lighthouse",47.304906,-122.44427,0.72,0,0,0,0.61,4.7,0.79,1,0,6,0.95,1.8,2.8,5,0.73,1.9,4.8,0,0.75,0,5.5,-0.0870499869556699,-0.160755401802192,-0.234492817502003,-0.283694536416717,0.172738293220264,-0.184450412261475,0.00542526133109648,-0.0388679248146738,-1.19164778063835,-0.129217509916503,0.010770635747447,0.0210616825565662,0.206659221247895,-0.232289369108469,0.020232464026028,-0.0982765831503172,-0.0351291485464473,-0.185435908324517,-0.109698573216144,-0.375148115141266,-0.183703405998949,0.142186911542836,0,0,0,0.248064565618971,0.159592648259798,0.369479004445362,0.421256410563663,0,0.251692015148107,0.501573723533071,0.552102358278917,0.43139598868845,0.380394469366408,0.553863702712518,0.298345133975311,0.745737312893332,0,0.106407048515401,0,0.0851705467747034,5.24726184031685
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,2.9,0.91,0,1.4,5.9,2.2,1.3,0,8,2.2,1.7,5.8,0,0,0,3,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.271500947675911,0.0615486544114046,-0.460124335378337,0.0575836187928274,-0.135070812594366,0.670736061448856,-0.132300083632022,-0.224736767440554,0.0407210156042637,1.13554704346082,-0.144531642681373,0.154144281121911,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.254678861644535,0,0,0,0,0.736191614095011,0.0725421128453627,0.42560239752567,0,1.24923139943118,0.245838712470244,1.16153914923448,0.398740592090329,0,0.653404854079141,1.66917828214731,0.252090074444255,0.935010742561691,0,0,0,0.0141950911291173,7.81356502205379
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0.5,2.1,0,0,0,3,0,0.66,1.3,2,0,0,2.4,0,0,0,2.6,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,0.084715382839339,-0.310190074526771,-0.364053743114265,-0.460124335378337,-1.19164778063835,-0.304816590252392,-0.490803087785624,-0.328603144353415,-0.0244457726923455,-0.505299753821202,-0.53363123868649,-0.53769964869535,-0.489385379750508,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.266034934547829,0,0,0,0,0.336087475999897,0.0338529859945025,0,0,0,0.0760929348122185,0,0.202437531368936,0.200290994748209,0.107384084653675,0,0.141077931569721,0.291481081689272,0,0,0,0.00283901822582344,1.39154403906225
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,3.3,0,0,1.5,4.2,0,0,0,3.3,0,1.2,3.2,0,0,0,5.5,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.252156384250481,-0.364053743114265,-0.460124335378337,0.146814433037912,-0.234576958118036,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.386995253779018,-0.53363123868649,-0.260169291509013,-0.337966636015821,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.183703405998949,0,0,0,0,0.736191614095011,0.0918866762707927,0,0,1.33846221367626,0.146332566946574,0,0,0,0.225688584695859,0,0.136452425616615,0.442899825423959,0,0,0,0.0851705467747034,3.20308445349978
