"site_name","latitude","longitude","BDE100","BDE153","BDE154","BDE155","BDE183","BDE028","BDE047","BDE049","BDE066","BDE085","BDE099","Br6DE01","Br7DE01","Br5DE04","Br5DE05","z_BDE100","z_BDE153","z_BDE154","z_BDE155","z_BDE183","z_BDE028","z_BDE047","z_BDE049","z_BDE066","z_BDE085","z_BDE099","ai_z_BDE100","ai_z_BDE153","ai_z_BDE154","ai_z_BDE155","ai_z_BDE183","ai_z_BDE028","ai_z_BDE047","ai_z_BDE049","ai_z_BDE066","ai_z_BDE085","ai_z_BDE099"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Arroyo Beach",47.50159,-122.38577,0,0,0,0,0,0,0.54,0,0,0,0.39,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.737278734734315,NA,NA,NA,0.911151244654868,0,NA,NA,NA,NA,NA,1.50730887212215,NA,NA,NA,1.51685679602475
"Blair Waterway",47.2758,-122.4174,0.3,0,0,0,0,0,1.5,0,0,0,1.1,NA,NA,NA,NA,5.36417882392401,NA,NA,NA,NA,NA,3.41693895184036,NA,NA,NA,3.67260848869993,5.59286485348888,NA,NA,NA,NA,NA,4.18696908922819,NA,NA,NA,4.27831404006981
"Blair Waterway Two",47.2632,-122.3856,0,0,0,0,0,0,0.98,0,0,0,0.57,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,1.96545633424125,NA,NA,NA,1.61123899666629,0,NA,NA,NA,NA,NA,2.73548647162908,NA,NA,NA,2.21694454803618
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,0,0.34,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.17901618950389,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.949046326891723,NA,NA,NA,0
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Browns Point Lighthouse",47.304906,-122.44427,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
