site_name,reporting_area,latitude,longitude,site_number,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ci1,ci2,ci3
Aiston Preserve,7,48.6793778,-122.6300583,77,4712860.25,3.440125,0.81125,12.95925,8.97575,3.98375,55.4825,19.0175,25.705,33.0675,0.69325,0.0525
Arroyo Beach,11,47.50161,-122.38593,13,4750942.667,6.83175,0.87,15.2695,10.18883333,5.080833333,57.89666667,20.445,26.70166667,31.975,0.665833333,0.0525
Blair Waterway,11,47.27568,-122.4173,41,4337758.5,6.51775,0.83875,15.229,10.83275,4.39625,56.86,20.64,27.1425,34.155,0.71225,0.05875
Blair Waterway Two,11,47.2632444,-122.385731,42,4425866.25,10.796,0.8575,12.00375,7.7635,4.24025,53.025,19.185,23.7575,32.0525,0.64725,0.052
Brackenwood Lane,10,47.68234,-122.5064,23,1773623.75,7.573125,0.67125,17.169,11.896,5.2735,60.8175,20.325,27.755,34.62,0.693,0.0525
Broad Spit,12,47.78184,-122.83474,30,2286051.5,7.116,0.66375,14.126,10.02675,4.09975,57.7875,19.4275,25.875,34.22,0.71025,0.052
Browns Point Lighthouse,11,47.30515,-122.44441,54,8047751.75,2.3115,0.84875,15.79525,11.01775,4.7775,57.8175,19.7725,26.3425,36.5325,0.6985,0.057
Cap Sante,7,48.520971,-122.600717,64,4611059.25,18.5045,0.79,11.15275,7.6525,3.50075,54.2325,17.645,24.36,33.09,0.68525,0.0485
Chambers Bay Park,13,47.1905742,-122.5834897,56,8752275,11.61675,1.05625,13.44125,8.56725,4.87425,56.4675,19.0125,25.195,31.15,0.63375,0.047
"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,75,3716200,3.864,0.86875,12.99975,8.543,4.45675,55.025,18.755,23.535,34.5775,0.6565,0.0505
Chimacum Creek delta,9,48.04906,-122.7724,8,2641298.75,1.903875,0.90375,14.7475,9.42125,5.32625,56.24,20.675,24.945,32.1025,0.63525,0.052
"Chuckanut, Clark's Point",7,48.68975,-122.50434,74,2740842.75,11.211,0.7275,14.57175,10.023,4.54875,56.82,20.2325,25.6675,33.8,0.69025,0.055
Commencement Bay Skookum,11,47.29,-122.41,45,5884345.75,9.0745,0.755,12.44525,8.3025,4.14275,54.015,18.9175,24.865,32.655,0.66725,0.053
"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,48,3653913.5,14.00875,0.8325,15.7915,11.19275,4.599,59.73,20.3275,26.545,34.4975,0.70825,0.05225
"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,49,7394026.6,8.1685,0.821,13.0952,8.8386,4.2566,54.804,18.138,24.774,35.642,0.6736,0.0534
Des Moines Marina,11,47.40301418,-122.3305538,21,8935555.25,8.79275,0.995,14.1205,9.2275,4.893,57.33,19.0075,26.3575,32.14,0.653,0.049
Discovery Bay,6,48.064957,-122.857524,12,3982486.25,9.3325,0.79375,16.212,11.08375,5.12825,57.3975,20.535,27.7575,33.9175,0.68325,0.059
Donkey Creek Delta,11,47.33775,-122.59014,44,3830029,2.500625,0.73375,14.9235,10.61625,4.3075,58.8675,19.38,27.055,34.5325,0.71175,0.052
Eagle Harbor Dr,10,47.61889,-122.5275,31,1846400.75,12.60975,0.8925,13.76675,9.68075,4.08625,54.8775,16.735,23.6625,44.34,0.70175,0.058
"Eastsound, Fishing Bay",7,48.69368,-122.90985,60,3018580.5,7.731875,0.465,11.8205,8.0905,3.73,54.7375,18.7625,24.3325,32.3575,0.68475,0.0495
Edmonds Ferry,9,47.81407,-122.3825,69,8264243.75,0.206375,0.69,14.47725,10.1775,4.3,56.1975,19.5675,23.985,38.3775,0.703,0.057
Edmonds Marina,9,47.8111,-122.388,68,16840952.75,13.85375,0.765,13.11825,9.12825,3.99,56.1175,18.49,25.7325,34.205,0.69675,0.0515
Eld Inlet,13,47.074603,-123.003527,72,9802343.25,9.86125,0.7075,17.22025,12.35375,4.86625,58.03,21.505,28.88,33.765,0.7155,0.06225
Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,19,2435519.6,11.726,0.824,15.449,10.7418,4.707,56.626,20.654,25.88,35.04,0.6948,0.0582
"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,14,9192957.75,5.5,0.85625,14.71475,9.5905,5.12425,58.9075,19.14,24.76,34.215,0.65325,0.0465
Everett Harbor,8.2,47.9726,-122.22977,66,5813892.75,2.31775,0.77625,12.00475,7.91175,4.09325,54.335,17.755,23.895,34.2575,0.65825,0.04925
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,63,3181280,11.87725,0.7625,13.663,9.7325,3.93075,56.08,19.3575,24.1325,37.1425,0.712,0.05525
Filucy Bay,13,47.19483,-122.748665,59,10877772,5.009,0.85625,14.28075,9.41175,4.869,58.49,19.06,22.7,36.8175,0.6525,0.04575
Friday Harbor,7,48.5069444,-123.0194444,61,5444136.6,6.7096,0.75,12.1138,8.241,3.8728,56.408,18.574,23.89,32.616,0.6726,0.0458
Gig Harbor Boat Launch,11,47.33785,-122.58277,58,3843185.75,14.972,0.965,13.38425,8.3875,4.9975,54.325,19.445,26.1875,30.2725,0.62675,0.05225
Hood Canal Holly,12,47.5706,-122.9717,29,1596840.167,1.640416667,0.676666667,16.26683333,11.226,5.040833333,59,20.72666667,26.75666667,34.305,0.689833333,0.054833333
Jamestown,6,48.024789,-122.998135,2,3175079,7.752666667,0.573333333,13.94633333,9.8345,4.111833333,56.42166667,19.65166667,26.16833333,33.86166667,0.7035,0.054833333
Kingston Marina,10,47.794695,-122.499858,36,5460804.75,4.371,0.81125,15.20425,9.717,5.48725,58.5325,20.73,25.615,31.25,0.63675,0.04825
Kitsap St Boat Launch,10,47.54167,-122.64034,25,2852984.25,10.748,0.8325,15.1685,10.762,4.4065,60.055,20.58,27.9575,32.885,0.71075,0.05175
Kopachuck State Park,13,47.30973,-122.68868,52,7013734.75,4.72575,0.7775,15.15675,10.3005,4.8566,57.1825,23.3675,29.155,30.045,0.67975,0.05425
Lions Park,10,47.5833538,-122.6414587,37,6373166.5,10.424,0.75,11.463,7.80225,3.661,52.5125,21.89,25.035,27.645,0.678,0.05375
Locust Beach,7,48.77636877,-122.5378679,76,2368800.25,6.15025,0.6875,14.03325,10.24025,3.793,59.9525,19.2975,26.625,32.66,0.731,0.047
Madrona Pont,10,47.57995505,-122.6786,28,7017559.75,4.52025,0.805,13.83075,9.1675,4.66325,57.9625,19.52,24.6525,32.025,0.66025,0.0455
"Manchester, Stormwater Outfall",10,47.55622,-122.54281,33,7715455.75,3.407625,0.60625,15.4415,11.27875,4.16275,56.62,21.35,27.255,34.17,0.73075,0.062
Maple Hollow Park,13,47.30008,-122.74566,51,12906891.5,4.6215,0.775,15.13775,10.76925,4.3685,58.09,19.43,25.9075,36.405,0.71025,0.05425
Maristone Island,9,48.018127,-122.699524,11,4711148.333,5.722,0.699166667,15.06416667,11.0075,4.056666667,57.905,20.36166667,27.23833333,33.65333333,0.7255,0.055666667
"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,71,2252669.75,15.21175,0.78875,14.16075,9.92275,4.23825,56.0125,19.55,25.25,35.8875,0.7025,0.05625
Miller Creek,11,47.4436,-122.360316,20,15899206.5,4.015375,0.82125,15.95475,11.064,4.8905,58.395,20.99,26.4025,34.2125,0.6955,0.05575
Minter Bay,13,47.3539722,-122.69175,55,8029787,5.00975,0.9175,15.73,10.238,5.49225,58.5675,20.445,23.6375,36.9575,0.6505,0.051
Mukilteo,8.2,47.94968,-122.30158,65,8713508,7.6065,0.79125,12.06025,8.4225,3.63775,54.9,18.66,25.16,32.595,0.699,0.05075
N Avenue Park,7,48.52108,-122.61531,62,6764939.25,1.446375,0.8225,14.89425,10.3425,4.552,56.5325,20.755,24.13,36.6475,0.6935,0.057
North Camano,8.1,48.255358,-122.507014,7,12423809,0.75175,0.7675,15.03,10.5455,4.48425,58.52,20.465,26.99,32.4425,0.70175,0.05225
Oak Bay County Park,9,48.02218,-122.728709,10,2335225.75,11.8395,0.77375,14.24175,9.78925,4.45275,55.8125,19.4525,25.7325,34.77,0.6845,0.056
Penn Cove Reference,8.1,48.21423,-122.718972,3,2290809.25,12.593,0.60625,16.155,11.37375,4.78125,58.3025,21.1125,27.67,33.44,0.70375,0.0575
Penrose Point State Park,13,47.2619,-122.7376,50,7562838.75,4.423,0.8575,14.34575,9.71125,4.6345,54.695,23.3125,30.18,26.3225,0.6765,0.06475
Point Defiance Ferry,11,47.3062,-122.5145,43,2116286.75,6.454,0.83875,13.99725,10.00425,3.993,56.78,18.76,25.5425,36.8175,0.71425,0.05475
Port Angeles Yacht Club,6,48.12823,-123.45715,1,5668182.167,7.99825,0.800833333,14.85966667,10.24833333,4.611666667,55.43,21.26833333,25.13166667,34.22833333,0.688666667,0.059166667
"Purdy, Burley Lagoon",13,47.386977,-122.6367089,47,3937235,10.05025,0.915,16.55525,11.41875,5.1365,59.435,20.9775,27.2175,32.9,0.69325,0.053
"Purdy, Dexters",13,47.38566,-122.627255,57,4578794.25,1.760875,0.84375,14.4615,9.848,4.61375,58.315,19.28,25.7625,33.7725,0.679,0.049
Raft Island Park,13,47.32598,-122.66724,53,4185580.75,3.778125,0.65375,13.412,9.7555,3.65675,56.79,18.835,25.4425,35.5425,0.7245,0.0525
Reach Island,13,47.346537,-122.82236,39,5721095,4.58375,0.77,14.13325,9.48275,4.6505,55.62,20.34,25.4925,32.295,0.6665,0.054
Rich Passage,10,47.578117,-122.524833,32,5061124.75,2.31975,0.81,12.95775,9.24175,3.71625,55.49,18.99,25.1825,34.6525,0.71225,0.0535
