"site_name","latitude","longitude","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE"
"Penn Cove Baseline 1",48.218047,-122.712359,0,0,0,0,0,NA
"Penn Cove Baseline 2",48.218047,-122.712359,0,0,0,0,0,0
"Penn Cove Baseline 3",48.218047,-122.712359,0,0,0,0,0,NA
"Smith Cove, Terminal 91",47.6325,-122.3786,1.1,0,0.23,1.6,0.46,1.8
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0.67,0,0,2,0,0.75
"Shilshole Bay",47.6707,-122.40605,0.61,0,0,1.5,0.37,1.2
"Blair Waterway Two",47.2632,-122.3856,0.57,0,0,0.91,0.48,0.95
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0.5,0,0,0.68,0,0.63
"N Avenue Park",48.52108,-122.61531,0.47,0,0,0.77,0,0.64
"Des Moines Marina",47.402778,-122.331667,0.43,0,0.45,1.7,0,0.7
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.43,0,0,0.92,0.36,1.4
"Port Angeles Yacht Club",48.128267,-123.457133,0.39,0,0,0.59,0,0.32
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0.38,0,0,0.91,0,0.6
"Thea Foss Waterway",47.25934,-122.43479,0.34,0,0,0.6,0,0.48
"Commencement Bay Skookum",47.28915,-122.4096,0.32,0,0.41,0.69,1.3,1.5
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.32,0,0.37,0.92,0.98,1.2
"Kitsap St Boat Launch",47.541533,-122.640383,0.29,0,0,0.47,0,0.59
"Blair Waterway",47.2758,-122.4174,0.27,0,0,0.44,0.39,0.72
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0,0.28
"Suquamish Stormwater Outfall",47.729875,-122.550882,0,0,0,0.14,0,0.36
"Rich Passage",47.578117,-122.524833,0,0,0,0.17,0,0.35
"Donkey Creek Delta",47.337909,-122.59023,0,0,0,0,0,0.39
"Kopachuck State Park",47.3115,-122.68725,0,0,0,0,0,0.22
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,0.33
"Edmonds Marina",47.81094,-122.387955,0,0,0,0.19,0,0.42
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0,0,0,0.21
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,0.33
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0.3
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0,0.23
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0.19
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,0,0,0.73,0.16,0.67
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0,0,0.24,0,0.5
