"site_name","latitude","longitude","mercury","arsenic","cadmium","copper","lead","zinc"
"Aiston Preserve",48.6793778,-122.6300583,0.00552,1.21,0.276,0.825,0.0296,12.9
"Arroyo Beach",47.50159,-122.38577,0.00612,1.64,0.332,0.956,0.0412,17.7
"Blair Waterway",47.2758,-122.4174,0.00561,1.42,0.284,1.02,0.0447,17.3
"Blair Waterway Two",47.2632,-122.3856,0,1.39,0.283,1.35,0.0307,14.2
"Brackenwood Ln",47.68203,-122.50668,0.00633,1.47,0.314,1.05,0.0372,15.3
"Broad Spit",47.80934,-122.81556,0,1.18,0.315,0.774,0.0107,10.4
"Browns Point Lighthouse",47.304906,-122.44427,0.0058,1.49,0.301,1.22,0.0459,15.9
"Cap Sante",48.52093,-122.600725,0.00486,1.27,0.312,0.869,0.0295,13.3
"Chambers Bay Park",47.2009,-122.58342,0.00503,1.39,0.308,0.924,0.0394,14.4
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0.00575,1.38,0.331,0.923,0.0335,12.8
"Chimacum Creek delta",48.04887,-122.7711,0.00555,1.42,0.312,5.18,0.0496,16.1
"Chuckanut, Clark's Point",48.691084,-122.504012,0.00636,1.36,0.29,1.79,0.0431,15.8
"Commencement Bay Skookum",47.28915,-122.4096,0.00523,1.3,0.304,1.03,0.0451,14.2
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.00545,1.22,0.267,0.975,0.0451,12.6
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0.00554,1.27,0.264,1.66,0.0389,12.3
"Des Moines Marina",47.402778,-122.331667,0.0067,1.4,0.323,1.06,0.0457,15.4
"Discovery Bay",48.064974,-122.857218,0.00596,1.56,0.353,1.03,0.0384,16.9
"Donkey Creek Delta",47.337909,-122.59023,0.00502,1.48,0.321,1.22,0.147,15.4
"Eagle Harbor Dr",47.618875,-122.527234,0.00754,1.4,0.317,1.39,0.103,13
"Eastsound, Fishing Bay",48.69395,-122.909933,0.00555,1.67,0.32,1.11,0.0382,16.8
"Edmonds Ferry",47.8142069,-122.3822018,0.00645,1.47,0.305,1.23,0.0575,15.7
"Edmonds Marina",47.81094,-122.387955,0.00904,1.44,0.304,1.49,0.0576,14.2
"Eld Inlet",47.0769,-123.0034725,0.00497,1.54,0.298,1.08,0.0436,16
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0.00645,1.34,0.295,1.05,0.0467,14.6
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0.00581,1.39,0.316,1.58,0.0486,16.5
"Everett Harbor",47.97252,-122.22982,0.00653,1.32,0.269,1.02,0.0577,11.5
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0.0066,1.41,0.29,1.54,0.0397,13.6
"Filucy Bay",47.19483,-122.748665,0.0072,1.38,0.296,0.977,0.0389,13.2
