site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr_biomarker,ibr_morphometric,ibr_combined,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
77,Aiston Preserve,7,48.6793778,-122.6300583,4712860.25,3.440125,0.81125,33.0675,0.69325,0.0525,2.718845889,12.71920429,15.43805018,0,0.913807933,0,10.11160417,1.286763023,11.39836719,1.86765393,0.005649625,2.139119284,4.012422839,0,13.19783118,0
13,Arroyo Beach,11,47.50161,-122.38593,4750942.667,6.83175,0.87,31.975,0.665833333,0.0525,2.001375792,6.284054738,8.28543053,5.496493742,1.218410577,0,6.620491767,2.414090673,9.03458244,4.965709481,2.314961583,5.363599564,12.64427063,3.024165668,16.70811458,0
41,Blair Waterway,11,47.27568,-122.4173,4337758.5,6.51775,0.83875,34.155,0.71225,0.05875,1.940816126,5.688324747,7.629140872,8.654466903,6.26324646,2.012647112,8.282830359,2.237846406,10.52067676,14.23481608,4.974135826,9.608021663,28.81697357,14.05814798,17.1068985,0
42,Blair Waterway Two,11,47.2632444,-122.385731,4425866.25,10.796,0.8575,32.0525,0.64725,0.052,1.048208554,17.02453856,18.07274711,0,9.855249892,2.012647112,4.685947408,0.763614778,5.449562187,18.92230897,8.786300782,6.576063172,34.28467292,4.95243102,17.31854006,3.46431662
23,Brackenwood Lane,10,47.68234,-122.5064,1773623.75,7.573125,0.67125,34.62,0.693,0.0525,1.239699007,4.902238849,6.141937856,0,1.127029784,0,7.149746805,0.805973096,7.955719901,4.698216875,1.573226289,4.914909178,11.18635234,0.949046327,19.27573878,0
30,Broad Spit,12,47.78184,-122.83474,2286051.5,7.116,0.66375,34.22,0.71025,0.052,1.179151394,7.555630184,8.734781578,0,0,0,4.898880653,3.488904464,8.387785117,0.941057984,0.059126699,2.368014052,3.368198735,0,8.463128429,0
54,Browns Point Lighthouse,11,47.30515,-122.44441,8047751.75,2.3115,0.84875,36.5325,0.6985,0.057,3.995257317,5.188339904,9.183597221,4.414928496,4.523874106,0,7.182151453,1.791750164,8.973901617,5.24726184,2.484056677,4.140664638,11.87198316,0,16.34937702,1.520919492
64,Cap Sante,7,48.520971,-122.600717,4611059.25,18.5045,0.79,33.09,0.68525,0.0485,1.990322558,18.77841444,20.768737,0,3.005963896,2.138437556,7.703035218,0.989468613,8.692503831,7.813565022,3.304284261,2.201870905,13.31972019,0,13.90623614,0
56,Chambers Bay Park,13,47.1905742,-122.5834897,8752275,11.61675,1.05625,31.15,0.63375,0.047,2.212806335,13.47634953,15.68915587,0,0.852887404,0,7.099151142,0.74916792,7.848319061,1.391544039,0.93444923,2.578658331,4.9046516,0,11.38149971,1.013946328
75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,3716200,3.864,0.86875,34.5775,0.6565,0.0505,2.31876389,14.66956934,16.98833323,0,1.005188726,1.761066223,6.704010387,1.323529208,8.027539595,3.203084453,3.015825558,2.457858943,8.676768954,0,13.35134807,0
