"site_name","latitude","longitude","arsenic","cadmium","copper","lead","mercury","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Aiston Preserve",48.6793778,-122.6300583,1210,276,825,29.6,5.52,12900,-1.47024195402678,-1.37242537257631,-0.0502869676271411,-0.671631003518227,-0.782501434538361,-0.695260387286401,2.36976540608749,3.94278682830601,3.79905193387522,0.450952245219381,0.0177143397495857,0.818096438522771,10.1116041682687,1.28676302349174,11.3983671917605
"Arroyo Beach",47.50159,-122.38577,1640,332,956,41.2,6.12,17700,1.71413031040329,0.976468908116637,0.362653459967991,-0.420249113629976,-0.268785581800378,1.8059261763501,0.814606858342575,1.59389254761307,4.21199236147035,0.19957035533113,0.531430192487569,1.68309012511373,6.62049176742599,2.41409067293243,9.03458244035842
"Blair Waterway",47.2758,-122.4174,1420,284,1020,44.7,5.61,17300,0.0849165937181353,-1.03686904676303,0.0116540965121292,-0.297436587272357,-0.113785108991504,1.59749396271372,0.814606858342575,3.60723050249273,3.86099299801449,0.0767578289735116,0.686430665296443,1.47465791147735,8.2828303588498,2.23784640574731,10.5206767645971
"Blair Waterway Two",47.2632,-122.3856,1390,283,1350,30.7,0,14200,-0.137248913102567,-1.07881358748969,-3.84933890150236,0.335815501759113,-0.733787000227001,-0.0178556929681827,1.03677236516328,3.64917504321939,0,0.556494260057959,0.066428774060946,0.140691744204553,4.68594740838267,0.763614778323458,5.44956218670613
"Brackenwood Ln",47.68203,-122.50668,1470,314,1050,37.2,6.33,15300,0.455192438419306,0.221467175036762,0.507182609626288,-0.239868215542224,-0.445928979296235,0.555332894531848,0.444331013641405,2.34889428069294,4.35652151112865,0.0191894572433779,0.354286794991713,0.432496843295478,7.14974680546299,0.805973095530568,7.95571990099356
"Broad Spit",47.80934,-122.81556,1180,315,774,10.7,0,10400,-1.69240746084748,0.263411715763422,-3.84933890150236,-0.769497235459454,-1.61950398770628,-1.99796172251374,2.59193091290819,2.30694973996628,0,0.548818477160608,0.819288213418335,2.12079777375011,4.89888065287448,3.48890446432906,8.38778511720353
"Browns Point Lighthouse",47.304906,-122.44427,1490,301,1220,45.9,5.8,15900,0.603302776299774,-0.323811854409814,0.142418565250587,0.0863525575952006,-0.0606420897427476,0.867981214986411,0.296220675760936,2.89417331013952,3.99175746675294,0.307031315894046,0.7395736845452,0.74514516375004,7.1821514526534,1.79175016418929,8.97390161684269
"Cap Sante",48.52093,-122.600725,1270,312,869,29.5,4.86,13300,-1.02591094038538,0.137578093583443,-0.504521437981786,-0.587197391647364,-0.786930019475758,-0.486828173650026,1.92543439244609,2.43278336214626,3.34481746352057,0.366518633348518,0.0132857548121893,0.609664224886397,7.70303521811292,0.989468613047104,8.69250383116002
"Chambers Bay Park",47.2009,-122.58342,1390,308,924,39.4,5.03,14400,-0.137248913102567,-0.0302000693231961,-0.387521650163165,-0.481655376808785,-0.348500110673514,0.0863604138500048,1.03677236516328,2.6005615250529,3.46181725133919,0.260976618509939,0.451715663614433,0.0364756373863656,7.09915114155537,0.749167919510738,7.84831906106611
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,1380,331,923,33.5,5.75,12800,-0.211304082042801,0.934524367389977,0.108006862950993,-0.483574322533123,-0.609786621979902,-0.747368440695495,1.11082753410351,1.63583708833973,3.95734576445335,0.262895564234277,0.190429152308045,0.870204491931865,6.70401038689659,1.32352920847419,8.02753959537078
"Chimacum Creek delta",48.04887,-122.7711,1420,312,5180,49.6,5.55,16100,0.0849165937181353,0.137578093583443,-0.0296399462473843,7.68537762597285,0.103215552940919,0.972197321804598,0.814606858342575,2.43278336214626,3.81969895525497,7.9060563842717,0.903431327228867,0.849361270568228,7.06708917574381,9.65884898206879,16.7259381578126
"Chuckanut, Clark's Point",48.691084,-122.504012,1360,290,1790,43.1,6.36,15800,-0.359414419923269,-0.785201802403071,0.527829631006045,1.18015162046774,-0.184642467989847,0.815873161577317,1.25893787198398,3.35556325813278,4.3771685325084,1.40083037876659,0.6155733062981,0.693037110340947,8.99166966262516,2.70944079540563,11.7011104580308
"Commencement Bay Skookum",47.28915,-122.4096,1300,304,1030,45.1,5.23,14200,-0.803745433564674,-0.197978232229835,-0.249874840964788,-0.27824713002898,-0.0960707692419187,-0.0178556929681827,1.70326888562538,2.76833968795954,3.59946406053757,0.0575683717301337,0.704145005046028,0.140691744204553,8.07107263412249,0.902405120980715,8.97347775510321
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,1220,267,975,45.1,5.45,12600,-1.39618678508655,-1.74992623911624,-0.0984633508465728,-0.383789144867558,-0.0960707692419187,-0.851584547513682,2.29571023714726,4.32028769484595,3.75087555065578,0.163110386568712,0.704145005046028,0.974420598750053,10.366873482649,1.84167599036479,12.2085494730138
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,1270,264,1660,38.9,5.54,12300,-1.02591094038538,-1.87575986129622,-0.0365222867073031,0.930688676303828,-0.370643035360496,-1.00790870774096,1.92543439244609,4.44612131702593,3.81281661479505,1.15136743460267,0.429572738927451,1.13074475897733,10.1843723242671,2.71168493250746,12.8960572567745
"Des Moines Marina",47.402778,-122.331667,1400,323,1060,45.7,6.7,15400,-0.0631937441623329,0.598968041576699,0.761829206643286,-0.220678758298846,-0.0694992596175402,0.607440947940942,0.962717196223043,1.97139341415301,4.61116810814564,0,0.730716514670407,0.484604896704572,7.54527871852169,1.21532141137498,8.76060012989667
"Discovery Bay",48.064974,-122.857218,1560,353,1030,38.4,5.96,16900,1.12168895888141,1.85730426337649,0.252536012609289,-0.27824713002898,-0.392785960047478,1.38906174907735,0.222165506820702,0.713057192353215,4.10187491411165,0.0575683717301337,0.407429814240469,1.26622569784098,5.03709761328556,1.73122388381158,6.76832149709714
"Donkey Creek Delta",47.337909,-122.59023,1480,321,1220,147,5.02,15400,0.52924760735954,0.51507896012338,-0.394403990623085,0.0863525575952006,4.41665728196502,0.607440947940942,0.370275844701171,2.05528249560633,3.45493491087927,0.307031315894046,5.21687305625296,0.484604896704572,5.88049325118677,6.00850926885158,11.8890025200384
"Eagle Harbor Dr",47.618875,-122.527234,1400,317,1390,103,7.54,13000,-0.0631937441623329,0.347300797216741,1.33994580527647,0.412573330732625,2.4680799095106,-0.643152333877307,0.962717196223043,2.22306065851296,5.18928470677883,0.633252089031471,3.26829568379855,0.765988385113678,8.37506256151483,4.6675361579437,13.0425987194585
"Eastsound, Fishing Bay",48.69395,-122.909933,1670,320,1110,38.2,5.55,16800,1.93629581722399,0.47313441939672,-0.0296399462473843,-0.124731472081956,-0.401643129922271,1.33695369566825,1.03677236516328,2.09722703633298,3.81969895525497,0.0959472862168895,0.398572644365677,1.21411764443188,6.95369835675123,1.70863757501445,8.66233593176569
"Edmonds Ferry",47.8142069,-122.3822018,1470,305,1230,57.5,6.45,15700,0.455192438419306,-0.156033691503175,0.589770695145314,0.105542014838578,0.453073762995235,0.763765108168223,0.444331013641405,2.72639514723288,4.43910959664767,0.326220773137424,1.25328953728318,0.640929056931853,7.60983575752196,2.22043936735246,9.83027512487442
"Edmonds Marina",47.81094,-122.387955,1440,304,1490,57.6,9.04,14200,0.233026931598604,-0.197978232229835,2.3722968742643,0.604467903166404,0.457502347932632,-0.0178556929681827,0.666496520462107,2.76833968795954,6.22163577576666,0.82514666146525,1.25771812222058,0.140691744204553,9.6564719841883,2.22355652789038,11.8800285120787
"Eld Inlet",47.0769,-123.0034725,1540,298,1080,43.6,4.97,16000,0.973578621000944,-0.449645476589793,-0.428815692922679,-0.18229984381209,-0.162499543302865,0.920089268395504,0.074055168940234,3.0200069323195,3.42052320857968,0.0383789144867558,0.637716230985082,0.797253217159134,6.51458530983941,1.47334836263097,7.98793367247038
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,1340,295,1050,46.7,6.45,14600,-0.507524757803738,-0.575479098769772,0.589770695145314,-0.239868215542224,-0.0252134102435762,0.190576520668192,1.40704820986445,3.14584055449948,4.43910959664767,0.0191894572433779,0.775002364044371,0.0677404694318219,8.9919983610116,0.861932290719571,9.85393065173117
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,1390,316,1580,48.6,5.81,16500,-0.137248913102567,0.305356256490081,0.149300905710506,0.777173018356805,0.0589297035669554,1.18062953544097,1.03677236516328,2.26500519923962,3.99863980721286,0.997851776655651,0.859145477854902,1.0577934842046,7.30041737161577,2.91479073871516,10.2152081103309
"Everett Harbor",47.97252,-122.22982,1320,269,1020,57.7,6.53,11500,-0.655635095684206,-1.66603715766292,0.644829418824665,-0.297436587272357,0.461930932870028,-1.42477313501371,1.55515854774492,4.23639861339263,4.49416832032702,0.0767578289735116,1.26214670715798,1.54760918625008,10.2857254814646,2.88651372238157,13.1722392038461
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,1410,290,1540,39.7,6.6,13600,0.0108614247779012,-0.785201802403071,0.693005802044097,0.700415189383294,-0.335214355861324,-0.330504013422745,0.888662027282809,3.35556325813278,4.54234470354645,0.921093947682139,0.465001418426623,0.453340064659115,8.78656998896204,1.83943543076788,10.6260054197299
"Filucy Bay",47.19483,-122.748665,1380,296,977,38.9,7.2,13200,-0.211304082042801,-0.533534558043112,1.10594622963923,-0.379951253418882,-0.370643035360496,-0.53893622705912,1.11082753410351,3.10389601377282,4.95528513114159,0.159272495120037,0.429572738927451,0.66177227829549,9.17000867901791,1.25061751234298,10.4206261913609
"Friday Harbor",48.5069444,-123.0194444,1690,320,1260,33.1,6,16800,2.08440615510446,0.47313441939672,0.280065374448965,0.163110386568712,-0.627500961729487,1.33695369566825,1.18488270304375,2.09722703633298,4.12940427595132,0.383789144867558,0.17271481255846,1.21411764443188,7.41151401532805,1.7706216018579,9.18213561718595
"Gig Harbor Boat Launch",47.3372,-122.58284,1360,310,1080,75.5,5.99,13800,-0.359414419923269,0.0536890121301233,0.273183033989046,-0.18229984381209,1.25021905172659,-0.226287906604558,1.25893787198398,2.51667244359958,4.1225219354914,0.0383789144867558,2.05043482601454,0.349123957840928,7.89813225107496,2.43793769834222,10.3360699494172
"Hood Canal Holly",47.570193,-122.971775,1430,356,1040,13.1,4.44,12700,0.158971762658369,1.98313788555647,-0.793579737298378,-0.259057672785602,-1.51321794920877,-0.799476494104589,0.740551689402341,0.587223570173236,3.05575916420398,0.0383789144867558,0.713002174920821,0.922312545340959,4.38353442377956,1.67369363474854,6.05722805852809
"Jamestown",48.027069,-122.999191,1380,294,1160,27.5,5,12400,-0.211304082042801,-0.617423639496432,-0.408168671542922,-0.0287841858650669,-0.875501718223686,-0.95580065433187,1.11082753410351,3.18778509522614,3.44117022995944,0.191894572433779,0.0752859439357388,1.07863670556824,7.73978285928908,1.34581722193776,9.08560008122684
