site_name,reporting_area,latitude,longitude,p450,p450_z,p450_ai,sod,sod_z,sod_ai,shell,shell_z,shell_ai,ci1,ci1_z,ci1_ai,ci2,ci2_z,ci2_ai,ci3,ci3_z,ci3_ai
Aiston Preserve,7,48.6793778,-122.6300583,4712860.25,-0.267655874,0.750774532,3.440125,-0.888960754,1.968071357,0.81125,0.254372161,1.937810016,33.0675,-0.286323177,0.151081515,0.69325,0.175725313,0.400367221,0.0525,-0.292355401,1.140247696
Arroyo Beach,11,47.50161,-122.38593,4750942.667,-0.255851289,0.762579118,6.83175,-0.15968607,1.238796674,0.87,0.809720153,2.493158009,31.975,-0.729428024,0.594186362,0.665833333,-0.869677998,1.445770531,0.0525,-0.292355401,1.140247696
Blair Waterway,11,47.27568,-122.4173,4337758.5,-0.383927927,0.63450248,6.51775,-0.227203043,1.306313646,0.83875,0.514322285,2.197760141,34.155,0.154753731,0.289995392,0.71225,0.900199331,0.324106798,0.05875,1.132954219,0.285061924
Blair Waterway Two,11,47.2632444,-122.385731,4425866.25,-0.356616753,0.661813653,10.796,0.692715702,0.386394901,0.8575,0.691561006,2.374998862,32.0525,-0.697994957,0.562753295,0.64725,-1.578264415,2.154356949,0.052,-0.406380171,1.254272466
Brackenwood Lane,10,47.68234,-122.5064,1773623.75,-1.178744827,0.16031442,7.573125,-0.000273984,1.079384587,0.67125,-1.06901029,0.614427566,34.62,0.343352132,0.478593794,0.693,0.16619276,0.409899773,0.0525,-0.292355401,1.140247696
Broad Spit,12,47.78184,-122.83474,2286051.5,-1.019905189,0.001474782,7.116,-0.098566009,1.177676612,0.66375,-1.139905778,0.543532078,34.22,0.181116948,0.316358609,0.71025,0.823938908,0.247846375,0.052,-0.406380171,1.254272466
Browns Point Lighthouse,11,47.30515,-122.44441,8047751.75,0.766076118,1.784506525,2.3115,-1.131640189,2.210750792,0.84875,0.608849603,2.292287459,36.5325,1.119039107,1.254280769,0.6985,0.375908923,0.20018361,0.057,0.733867525,0.11402477
Cap Sante,7,48.520971,-122.600717,4611059.25,-0.299211609,0.719218798,18.5045,2.350214363,1.27110376,0.79,0.05350161,1.736939466,33.09,-0.277197447,0.141955786,0.68525,-0.129316379,0.705408912,0.0485,-1.204553558,2.052445853
Chambers Bay Park,13,47.1905742,-122.5834897,8752275,0.984460501,2.002890908,11.61675,0.869195176,0.209915427,1.05625,2.570291449,4.253729304,31.15,-1.064038091,0.92879643,0.63375,-2.09302227,2.669114804,0.047,-1.546627867,2.394520162
"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,3716200,-0.576595336,0.44183507,3.864,-0.797818217,1.87692882,0.86875,0.797904239,2.481342094,34.5775,0.326114644,0.461356305,0.6565,-1.225559959,1.801652492,0.0505,-0.74845448,1.596346775
Chimacum Creek delta,9,48.04906,-122.7724,2641298.75,-0.909787529,0.108642878,1.903875,-1.219288615,2.298399218,0.90375,1.128749851,2.812187707,32.1025,-0.677715559,0.542473897,0.63525,-2.035826953,2.611919486,0.052,-0.406380171,1.254272466
"Chuckanut, Clark's Point",7,48.68975,-122.50434,2740842.75,-0.878931408,0.139498999,11.211,0.781949917,0.297160686,0.7275,-0.537294126,1.146143729,33.8,0.010770005,0.146011666,0.69025,0.061334678,0.514757855,0.055,0.277768447,0.570123848
Commencement Bay Skookum,11,47.29,-122.41,5884345.75,0.095474992,1.113905399,9.0745,0.322554978,0.756555625,0.755,-0.277344002,1.406093853,32.655,-0.45362821,0.318386549,0.66725,-0.815660186,1.391752719,0.053,-0.178330632,1.026222927
"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,3653913.5,-0.595902576,0.422527831,14.00875,1.383528289,0.304417686,0.8325,0.455242711,2.138680567,34.4975,0.293667607,0.428909268,0.70825,0.747678485,0.171585952,0.05225,-0.349367786,1.197260081
"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,7394026.6,0.563437861,1.581868268,8.1685,0.127744861,0.951365742,0.821,0.346536296,2.029974151,35.642,0.757863028,0.893104689,0.6736,-0.573533343,1.149625876,0.0534,-0.087110816,0.935003111
Des Moines Marina,11,47.40301418,-122.3305538,8935555.25,1.041272742,2.059703149,8.79275,0.261972472,0.817138131,0.995,1.991311627,3.674749482,32.14,-0.66250601,0.527264349,0.653,-1.359015699,1.935108233,0.049,-1.090528789,1.938421084
Discovery Bay,6,48.064957,-122.857524,3982486.25,-0.494053336,0.524377071,9.3325,0.378030707,0.701079897,0.79375,0.088949354,1.77238721,33.9175,0.05842659,0.193668251,0.68325,-0.205576802,0.781669335,0.059,1.189966604,0.342074309
Donkey Creek Delta,11,47.33775,-122.59014,3830029,-0.541311226,0.47711918,2.500625,-1.090974114,2.170084718,0.73375,-0.478214553,1.205223303,34.5325,0.307863186,0.443104847,0.71175,0.881134225,0.305041692,0.052,-0.406380171,1.254272466
Eagle Harbor Dr,10,47.61889,-122.5275,1846400.75,-1.156185798,0.137755392,12.60975,1.082712225,0.003601622,0.8925,1.022406619,2.705844474,44.34,4.285667111,4.420908772,0.70175,0.49983211,0.076260423,0.058,0.961917065,0.11402477
"Eastsound, Fishing Bay",7,48.69368,-122.90985,3018580.5,-0.792839732,0.225590675,7.731875,0.033860791,1.045249812,0.465,-3.018636221,1.335198365,32.3575,-0.574290629,0.439048967,0.68475,-0.148381485,0.724474018,0.0495,-0.976504019,1.824396314
Edmonds Ferry,9,47.81407,-122.3825,8264243.75,0.833183161,1.851613568,0.206375,-1.584288806,2.66339941,0.69,-0.891771568,0.791666287,38.3775,1.867348895,2.002590556,0.703,0.547494875,0.028597659,0.057,0.733867525,0.11402477
Edmonds Marina,9,47.8111,-122.388,16840952.75,3.491745961,4.510176368,13.85375,1.350199847,0.271089244,0.765,-0.182816684,1.500621171,34.205,0.175033129,0.31027479,0.69675,0.309181053,0.26691148,0.0515,-0.520404941,1.368297236
