site_name,p450_median,SOD_median,condition_factor_median,avg_thickness_median,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,NA
Aiston Preserve,3768267.5,2.4435,0.16485,0.8075,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,0.001,0.0001,1.82630719,0.001,31.65599129,19.48061002,NA,77.24550898,NA
Arroyo Beach,3506067,9.484,0.19015,0.8975,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,0.001,168.0932091,186.1031957,NA,104.1176471,NA
Blair Waterway,4917035.5,7.9045,0.19115,0.8,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,15.95208433,4.345567801,9.901293723,0.880114998,247.5323431,280.5366555,NA,98.85714286,NA
Blair Waterway #2,3695838.5,7.7455,0.1475,0.8575,8.373493976,1.704819277,8.13253012,0.184939759,NA,9.164254703,0.0001,17.71755909,0.977520502,299.3656536,403.2272069,NA,85.54216867,NA
Brackenwood Ln,1973126,8.0665,0.19895,0.6875,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,2.005830212,0.0001,2.182815231,0.001,176.9850187,176.9850187,NA,90.53254438,NA
Broad Spit,1583321.5,8.3465,0.18375,0.6525,7.712418301,2.058823529,5.058823529,0.069934641,NA,0.001,0.0001,NA,0.001,35.49905081,18.75421552,NA,67.97385621,NA
Browns Point Lighthouse,8724418,1.5205,0.1909,0.83,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,0.001,2.340272374,8.190953307,0.001,175.520428,181.3711089,NA,90.34090909,NA
Cap Sante,3781764.5,13.159,0.14335,0.8025,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,0.001,0.001,6.175430657,1.082291971,63.66423358,120.9620438,NA,81.09756098,NA
Chambers Bay Park,4608604.5,11.5755,0.1553,1.04,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,0.001,0.001,1.651618399,0.001,70.78364566,76.68228279,NA,83.72093023,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",3907023,3.5525,0.14835,0.8975,7.931034483,1.902298851,5.304597701,0.192528736,0.033045977,0.001,0.001,1.992105044,0.845135473,126.770321,150.9170488,NA,73.56321839,NA
Chimacum Creek delta,2847058.5,2.507,0.16845,0.91,8.352941176,1.835294118,30.47058824,0.291764706,0.032647059,0.001,0.001,NA,0.001,68.63157895,56.77703349,NA,94.70588235,NA
"Chuckanut, Clark's Point",3269287.5,11.1015,0.17685,0.725,7.513812155,1.602209945,9.889502762,0.238121547,0.035138122,0.001,0.001,4.418379052,0.001,80.33416459,74.59600998,NA,87.29281768,NA
Comm Bay Skookum,6222187,7.078,0.1537,0.7475,8.441558442,1.974025974,6.688311688,0.292857143,0.033961039,12.53005873,5.539604912,27.69802456,0.001,342.9279231,369.3069941,NA,92.20779221,NA
"Comm Bay, Dick Gilmur Launch",4040973,18.8445,0.18905,0.8825,7.34939759,1.608433735,5.873493976,0.271686747,0.032831325,11.06804245,4.817853774,24.74033019,0.001,332.0412736,338.5518868,84.6379717,75.90361446,NA
"Comm Bay, Milwaukee Waterway",6366494,5.02,0.154,0.82,8.141025641,1.692307692,10.64102564,0.249358974,0.035512821,10.09568733,6.528544474,8.076549865,0.001,195.1832884,215.3746631,56.53584906,78.84615385,NA
Des Moines Marina,4789381.5,4.737,0.1598,0.9775,8.536585366,1.969512195,6.463414634,0.278658537,0.040853659,0.001,1.347563335,20.21345002,0.001,9800.460617,8575.40304,NA,93.90243902,NA
Discovery Bay,4414990.5,8.721,0.19845,0.7775,8.524590164,1.928961749,5.628415301,0.209836066,0.032568306,0.001,0.001,1.035556775,0.001,117.6769062,98.84860121,NA,92.34972678,NA
Donkey Creek Delta,3213028.5,1.897,0.18305,0.725,8.915662651,1.93373494,7.34939759,0.885542169,0.030240964,1.520785372,0.001,2.578723022,0.001,257.8723022,284.3207434,NA,92.77108434,NA
Eagle Harbor Dr,1787649,19.9085,0.001,0.8675,8.536585366,1.932926829,8.475609756,0.62804878,0.04597561,2.131132075,0.001,4.605995131,0.001,577.4680463,653.0888618,NA,79.26829268,NA
"Eastsound, Fishing Bay",2073044.5,11.1965,0.1465,0.4625,9.027027027,1.72972973,6,0.206486486,0.03,2.975782537,0.001,1.3776771,0.001,292.0675453,270.0247117,NA,90.81081081,NA
Edmonds Ferry,4919136,0.0025,0.1728,0.7425,8.352272727,1.732954545,6.988636364,0.326704545,0.036647727,5.261635514,0.001,2.280042056,0.001,268.9280374,268.9280374,NA,89.20454545,NA
Edmonds Marina,4926426.5,12.555,0.1582,0.765,8.275862069,1.747126437,8.563218391,0.331034483,0.051954023,8.785595568,0.001,3.572808864,0.585706371,374.8520776,374.8520776,NA,81.6091954,NA
Eld Inlet,5414980,18.5505,0.2156,0.6875,8.850574713,1.712643678,6.206896552,0.250574713,0.028563218,0.001,0.001,1.447859155,0.001,64.34929577,75.0741784,NA,91.95402299,NA
Elliot Bay Myrtle Edwards,2362670,39.159,0.1925,0.89,8.170731707,1.798780488,6.402439024,0.284756098,0.039329268,6.173415536,0.001,22.81479655,0.001,8052.281134,9394.32799,140.9149199,89.02439024,NA
