latitude,longitude,site_name,reporting_area,geo6,p450,sod,ibr1overall
48.6793778,-122.6300583,Aiston Preserve,7,6,2.182269139,-1.227594073,-0.367615442
47.50161,-122.38593,Arroyo Beach,11,5,2.216581415,-0.772705445,0.574395874
47.27568,-122.4173,Blair Waterway,11,1,1.844302278,-0.814819485,0.329010424
47.2632444,-122.385731,Blair Waterway Two,11,1,1.923687404,-0.241015697,-0.351351799
47.68234,-122.5064,Brackenwood Lane,10,5,-0.465984389,-0.673271381,0.031130222
47.78184,-122.83474,Broad Spit,12,4,-0.004286735,-0.73458151,-0.713540881
47.30515,-122.44441,Browns Point Lighthouse,11,1,5.187008015,-1.37896655,1.081433965
48.520971,-122.600717,Cap Sante,7,6,2.090546388,0.792857147,-0.463694582
47.1905742,-122.5834897,Chambers Bay Park,13,1,5.82178381,-0.130935768,1.398180065
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",7,6,1.284277765,-1.170743473,-0.540041965
48.04906,-122.7724,Chimacum Creek delta,9,4,0.315791212,-1.433637682,-0.150111115
48.68975,-122.50434,"Chuckanut, Clark's Point",7,6,0.405480404,-0.185355422,-0.214556523
47.29,-122.41,Commencement Bay Skookum,11,1,3.237778149,-0.471905248,-0.148620692
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",11,1,1.228157598,0.189882011,0.573436901
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",11,1,4.598001335,-0.593419005,0.312755295
47.40301418,-122.3305538,Des Moines Marina,11,1,5.986919405,-0.509693881,1.413755628
48.064957,-122.857524,Discovery Bay,6,4,1.524201807,-0.437301993,0.525759184
47.33775,-122.59014,Donkey Creek Delta,11,1,1.38683775,-1.353600889,-0.200491238
47.61889,-122.5275,Eagle Harbor Dr,10,5,-0.400412276,0.002246529,-0.785459394
48.69368,-122.90985,"Eastsound, Fishing Bay",7,6,0.655722253,-0.65197965,-1.440891418
47.81407,-122.3825,Edmonds Ferry,9,3,5.382067413,-1.661308325,0.409071527
47.8111,-122.388,Edmonds Marina,9,3,13.10968643,0.169093233,2.631611111
47.074603,-123.003527,Eld Inlet,13,2,6.767895819,-0.366385437,1.988908701
47.61862,-122.36108,Elliot Bay Myrtle Edwards,10,5,0.130384096,-0.116283032,0.071301701
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",10,5,6.218839183,-0.95132128,1.272981162
47.9726,-122.22977,Everett Harbor,8.2,3,3.174299962,-1.378128293,-0.567480462
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,6,0.802314583,-0.09599721,-0.408950327
47.19483,-122.748665,Filucy Bay,13,2,7.73685765,-1.017174762,1.45364554
48.5069444,-123.0194444,Friday Harbor,7,6,2.841149489,-0.789088343,-0.392080809
47.33785,-122.58277,Gig Harbor Boat Launch,11,1,1.398691988,0.319074204,0.265739791
47.5706,-122.9717,Hood Canal Holly,12,2,-0.625266484,-1.468973015,-0.409974215
48.024789,-122.998135,Jamestown,6,4,0.796727479,-0.649191048,-0.67614349
47.794695,-122.499858,Kingston Marina,10,5,2.8561675,-1.102744052,0.617731539
47.54167,-122.64034,Kitsap St Boat Launch,10,5,0.506519951,-0.247453512,0.259538232
47.30973,-122.68868,Kopachuck State Park,13,2,4.255358192,-1.055164576,1.188437568
47.5833538,-122.6414587,Lions Park,10,5,3.678205884,-0.290908763,0.069925064
48.77636877,-122.5378679,Locust Beach,7,6,0.07026993,-0.864109006,-0.647832195
47.57995505,-122.6786,Madrona Pont,10,5,4.258804518,-1.082726471,0.492552056
47.55622,-122.54281,"Manchester, Stormwater Outfall",10,5,4.887609157,-1.23195301,0.68897929
47.30008,-122.74566,Maple Hollow Park,13,2,9.565095314,-1.069146705,1.956011503
48.018127,-122.699524,Maristone Island,9,4,2.180726701,-0.921546386,0.114494422
47.11795,-122.83359,"Meyer's Point, Henderson Inlet",13,2,-0.034363708,0.351229748,-0.304336668
47.4436,-122.360316,Miller Creek,11,1,12.2611726,-1.150440884,3.052324826
47.3539722,-122.69175,Minter Bay,13,2,5.170821767,-1.017074171,1.365433746
47.94968,-122.30158,Mukilteo,8.2,3,5.786854723,-0.668795088,0.397860111
48.52108,-122.61531,N Avenue Park,7,6,4.031193324,-1.494998105,0.554121087
48.255358,-122.507014,North Camano,8.1,3,9.129837744,-1.588162005,1.866237059
48.02218,-122.728709,Oak Bay County Park,9,4,0.040019288,-0.101060283,-0.387436767
48.21423,-122.718972,Penn Cove Reference,8.1,4,-2.50E-10,5.55111512312578e-17,-2.78E-17
47.2619,-122.7376,Penrose Point State Park,13,2,4.750101165,-1.095769753,1.223941643
47.3062,-122.5145,Point Defiance Ferry,11,1,-0.157244858,-0.823369708,-0.647551858
48.12823,-123.45715,Port Angeles Yacht Club,6,4,3.043014654,-0.61625313,0.540904808
