"","site_number","site_name","reporting_area","latitude","longitude","p450","sod","shell","weight_initial","weight_change","weight_final","length","height","width","ci1","ci2","ci3","t_p450","t_sod","t_shell","t_weight_initial","t_weight_change","t_weight_final","t_length","t_height","t_width","t_ci1","t_ci2","t_ci3"
"1","77","Aiston Preserve","7",48.6793778,-122.6300583,4712860.25,3.440125,0.81125,12.95925,8.97575,3.98375,55.4825,19.0175,25.705,33.0675,0.69325,0.0525,22.1681714712119,1.78246098748659,-0.301781521775586,3.69591032139768,3.16603249337283,1.99412711400313,5.79396089077423,4.24925569993658,4.6839771069756,5.04734207256218,-0.528552383622608,-4.25153876699596
"2","13","Arroyo Beach","11",47.50161,-122.38593,4750942.667,6.83175,0.87,15.2695,10.18883333,5.080833333,57.89666667,20.445,26.70166667,31.975,0.665833333,0.0525,22.1797823661521,2.77225518216576,-0.200912693925996,3.93258091672543,3.34891696038677,2.34506514006594,5.85540838408471,4.35367615775164,4.73885789003989,4.99887245399427,-0.586766998290154,-4.25153876699596
"3","41","Blair Waterway","11",47.27568,-122.4173,4337758.5,6.51775,0.83875,15.229,10.83275,4.39625,56.86,20.64,27.1425,34.155,0.71225,0.05875,22.0485183040884,2.70437401597993,-0.253687233574541,3.92874930641667,3.43732762663662,2.13627342985058,5.8293421939028,4.36737106564853,4.76248170331897,5.09402488708305,-0.489544378338236,-4.08926733809709
"4","42","Blair Waterway Two","11",47.2632444,-122.385731,4425866.25,10.796,0.8575,12.00375,7.7635,4.24025,53.025,19.185,23.7575,32.0525,0.64725,0.052,22.0775284227728,3.43242497680476,-0.221791423601912,3.58541327249201,2.95670720579646,2.08414932684686,5.72860081064319,4.26190685982807,4.5703111243188,5.00236498205716,-0.627605034761976,-4.265344566521
"5","23","Brackenwood Lane","10",47.68234,-122.5064,1773623.75,7.573125,0.67125,17.169,11.896,5.2735,60.8175,20.325,27.755,34.62,0.693,0.0525,20.7582685634162,2.92088874164952,-0.575077911789312,4.10173410760804,3.57240464739033,2.39876079044476,5.92641460820228,4.34518344718767,4.79467578798686,5.11353381959191,-0.529072742524873,-4.25153876699596
"6","30","Broad Spit","12",47.78184,-122.83474,2286051.5,7.116,0.66375,14.126,10.02675,4.09975,57.7875,19.4275,25.875,34.22,0.71025,0.052,21.1244264741704,2.83106651060507,-0.591288138970571,3.82028109650187,3.32578215161598,2.03553593783881,5.85268555234858,4.28002835661061,4.69348695749933,5.09676785471469,-0.493601168472546,-4.265344566521
"7","54","Browns Point Lighthouse","11",47.30515,-122.44441,8047751.75,2.3115,0.84875,15.79525,11.01775,4.7775,57.8175,19.7725,26.3425,36.5325,0.6985,0.057,22.9401543721605,1.20882936257385,-0.236588425529993,3.98141886647078,3.46175772757425,2.25625587320273,5.85343432363353,4.30542338930187,4.71932036403724,5.19110857878688,-0.517667979252624,-4.13289427049735
"8","64","Cap Sante","7",48.520971,-122.600717,4611059.25,18.5045,0.79,11.15275,7.6525,3.50075,54.2325,17.645,24.36,33.09,0.68525,0.0485,22.1366667731638,4.20980424877646,-0.340075441597622,3.47932758280766,2.93593113975227,1.80766403787657,5.7610857718691,4.141187525005,4.60644222813161,5.04832338653781,-0.545297671836312,-4.36587144247496
"9","56","Chambers Bay Park","13",47.1905742,-122.5834897,8752275,11.61675,1.05625,13.44125,8.56725,4.87425,56.4675,19.0125,25.195,31.15,0.63375,0.047,23.0612266382251,3.53813459954159,0.0789513413948219,3.74859540599096,3.09883218823,2.28518024870397,5.8193488548157,4.24887634283713,4.65506555119503,4.96116025813664,-0.658014252771384,-4.41119543298445
"10","75","Cherry Point Aquatic Reserve, Conoco Phillips","7",48.8208,-122.7101,3716200,3.864,0.86875,12.99975,8.543,4.45675,55.025,18.755,23.535,34.5775,0.6565,0.0505,21.825396716697,1.95009509417369,-0.202987022163855,3.70041197373892,3.09474278238656,2.15599203569233,5.7820153350042,4.22920335788675,4.55673594791453,5.11176165883618,-0.6071330837692,-4.30757280191029
