"site_name","mercuryTotal","arsenic","cadmium","copper","lead","Zinc","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Aiston Preserve",0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595,28.00337691,19.48061002,79.13997821,97.40305011,31.65599129,97.40305011
"Arroyo Beach",0.036,9.647058824,1.952941176,5.623529412,0.242352941,104.1176471,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249,49.22729694,186.1031957,216.1198402,408.2263648,168.0932091,408.2263648
"Blair Waterway",0.032057143,8.114285714,1.622857143,5.828571429,0.255428571,98.85714286,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998,50.60661236,280.5366555,456.559655,715.0934356,247.5323431,715.0934356
"Blair Waterway #2",-0.0236,8.373493976,1.704819277,8.13253012,0.184939759,85.54216867,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502,54.98552822,403.2272069,610.9503136,1038.615533,299.3656536,1038.615533
"Brackenwood Ln",0.037455621,8.698224852,1.857988166,6.213017751,0.220118343,90.53254438,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137,44.24625468,176.9850187,212.3820225,389.3670412,176.9850187,389.3670412
"Broad Spit",-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458,30.14070352,18.75421552,107.1669458,127.2607482,35.49905081,127.2607482
"Browns Point Lighthouse",0.032954545,8.465909091,1.710227273,6.931818182,0.260795455,90.34090909,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949,53.2411965,181.3711089,257.4299611,438.80107,175.520428,438.80107
"Cap Sante",0.029634146,7.743902439,1.902439024,5.298780488,0.179878049,81.09756098,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971,29.28554745,120.9620438,254.6569343,375.6189781,63.66423358,375.6189781
"Chambers Bay Park",0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457,45.41950596,76.68228279,106.1754685,182.8577513,70.78364566,182.8577513
"Cherry Point Aquatic Reserve, Conoco Phillips",0.033045977,7.931034483,1.902298851,5.304597701,0.192528736,73.56321839,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473,39.23843268,150.9170488,169.0270946,325.9808253,126.770321,325.9808253
"Chimacum Creek delta",0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234,29.32440191,56.77703349,112.3062201,168.4593301,68.63157895,168.4593301
"Chuckanut, Clark's Point",0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377,31.55985037,74.59600998,131.9775561,206.5735661,80.33416459,206.5735661
"Comm Bay Skookum",0.033961039,8.441558442,1.974025974,6.688311688,0.292857143,92.20779221,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228,92.32674853,369.3069941,461.6337427,857.3198078,342.9279231,857.3198078
"Comm Bay, Dick Gilmur Launch",0.032831325,7.34939759,1.608433735,5.873493976,0.271686747,75.90361446,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981,84.6379717,338.5518868,442.7216981,781.2735849,332.0412736,781.2735849
"Comm Bay, Milwaukee Waterway",0.035512821,8.141025641,1.692307692,10.64102564,0.249358974,78.84615385,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315,56.53584906,215.3746631,390.3665768,599.0107817,195.1832884,599.0107817
"Des Moines Marina",0.040853659,8.536585366,1.969512195,6.463414634,0.278658537,93.90243902,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819,55.12759097,8575.40304,6125.287886,14700.69093,9800.460617,15313.21971
"Discovery Bay",0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322,16.94547449,98.84860121,136.5052112,235.3538124,117.6769062,235.3538124
"Donkey Creek Delta",0.030240964,8.915662651,1.93373494,7.34939759,0.885542169,92.77108434,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341,105.793765,284.3207434,238.0359712,522.3567146,257.8723022,522.3567146
"Eagle Harbor Dr",0.04597561,8.536585366,1.932926829,8.475609756,0.62804878,79.26829268,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528,103.119294,653.0888618,364.3548387,1031.19294,577.4680463,1031.19294
"Eastsound, Fishing Bay",0.03,9.027027027,1.72972973,6,0.206486486,90.81081081,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764,24.79818781,270.0247117,242.4711697,512.4958814,292.0675453,518.0065898
"Edmonds Ferry",0.036647727,8.352272727,1.732954545,6.988636364,0.326704545,89.20454545,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486,47.93934579,268.9280374,257.235514,532.0098131,268.9280374,526.1635514
"Edmonds Marina",0.051954023,8.275862069,1.747126437,8.563218391,0.331034483,81.6091954,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371,52.71357341,374.8520776,304.567313,702.8476454,374.8520776,702.8476454
