"site_name","p450_Range_Min","p450_Range_Max","p450_Percentile_2.5","p450_Percentile_97.5","p450_Median","SOD_Range_Min","SOD_Range_Max","SOD_Percentile_2.5","SOD_Percentile_97.5","SOD_Median","condition_factor_Range_Min","condition_factor_Range_Max","condition_factor_Percentile_2.5","condition_factor_Percentile_97.5","condition_factor_Median","avg_thickness_Range_Min","avg_thickness_Range_Max","avg_thickness_Percentile_2.5","avg_thickness_Percentile_97.5","avg_thickness_Median"
"Aiston Preserve",1508156,5965780,1609668.275,5868962.65,3768267.5,0.0025,8.871,0.0030625,8.57145,2.4435,0.1374,0.1782,0.138795,0.1778625,0.16485,0.7,0.93,0.70675,0.922125,0.8075
"Arroyo Beach",1813227,9587219,1834965.125,9199497.5,3506067,0.0025,18.105,0.0815625,17.7525,9.484,0.1136,0.2017,0.11975,0.200975,0.19015,0.645,0.965,0.671875,0.96375,0.8975
"Blair Waterway",3631858,6052641,3691150.3,6004566.6,4917035.5,0.672,9.59,1.104,9.574025,7.9045,0.1731,0.2066,0.1743825,0.2055125,0.19115,0.68,1.075,0.68225,1.061125,0.8
"Blair Waterway #2",2469960,4998033,2547696.9,4914572.4,3695838.5,1.269,26.424,1.3716,25.40625,7.7455,0.1293,0.1604,0.13017,0.1599275,0.1475,0.745,0.97,0.75025,0.96475,0.8575
"Brackenwood Ln",1269238,2212557,1307841.625,2208787.65,1973126,0.0025,23.205,0.0131125,22.6638,8.0665,0.1732,0.21,0.1744675,0.209835,0.19895,0.555,0.755,0.56025,0.754625,0.6875
"Broad Spit (Fisherman's Point)",1266317,4813963,1275334.25,4586422.975,1583321.5,0.897,10.875,1.385925,10.75515,8.3465,0.1206,0.2064,0.1245675,0.20547,0.18375,0.56,0.79,0.566375,0.78025,0.6525
"Browns Point Lighthouse",2165448,9992165,2577222,9977232.725,8724418,0.0025,2.472,0.1155625,2.401425,1.5205,0.1766,0.2028,0.17681,0.20277,0.1909,0.8,0.935,0.8015,0.927875,0.83
"Cap Sante",1293754,6057021,1457748.25,5908983.3,3781764.5,4.895,133.268,5.4239,124.350725,13.159,0.1248,0.1538,0.1254075,0.1538,0.14335,0.6,0.955,0.609375,0.949375,0.8025
"Chambers Bay Park",3856796,4935346,3899037.2,4924984.825,4608604.5,0.0025,15.598,0.6517375,15.51505,11.5755,0.1084,0.1829,0.111445,0.1813025,0.1553,0.885,1.26,0.893625,1.2465,1.04
"Cherry Point Aquatic Reserve, Conoco Phillips",2991933,4058856,3055279.5,4052753.775,3907023,1.005,9.761,1.03935,9.452075,3.5525,0.121,0.1979,0.122605,0.19463,0.14835,0.705,0.975,0.716625,0.972,0.8975
"Chimacum Creek delta",1783000,3089178,1854938.5,3078884.925,2847058.5,0.0025,3.757,0.1655875,3.688,2.507,0.1266,0.2014,0.1294275,0.19924,0.16845,0.75,1.045,0.755625,1.04125,0.91
"Chuckanut, Clark's Point",1063470,4424850,1220212.5,4346876.625,3269287.5,2.988,25.619,3.3993,24.7274,11.1015,0.1482,0.203,0.1490475,0.20234,0.17685,0.475,0.985,0.488125,0.971125,0.725
"Comm Bay Skookum",4654335,6882929,4732727.6,6849891.9,6222187,4.194,17.324,4.4019,16.56395,7.078,0.1433,0.1637,0.1439,0.16313,0.1537,0.66,0.865,0.662625,0.860125,0.7475
"Comm Bay, Dick Gilmur Launch",2353073,4982158,2437468,4935098.75,4040973,8.819,118.683,9.264725,111.5013,18.8445,0.1568,0.2117,0.158075,0.211145,0.18905,0.635,0.93,0.652625,0.927375,0.8825
"Comm Bay, Milwaukee Waterway",3705987,15260103,3787136.9,14553456.6,6366494,0.0025,16.268,0.49525,15.218,5.02,0.1402,0.1901,0.14139,0.18775,0.154,0.75,0.955,0.75,0.9425,0.82
"Des Moines Marina",3868923,6097784,3871212.6,6066398.6,4789381.5,4.027,25.058,4.055725,23.55845,4.737,0.1502,0.1739,0.15077,0.1729925,0.1598,0.88,1.145,0.884875,1.134875,0.9775
"Discovery Bay",1513923,5775686,1654852.125,5750284.775,4414990.5,0.0025,17.512,0.1136875,17.395375,8.721,0.1633,0.2133,0.1651075,0.213015,0.19845,0.745,0.875,0.745375,0.86975,0.7775
"Donkey Creek Delta",2003071,4311572,2028727.15,4294271.9,3213028.5,0.0025,6.206,0.0164875,6.010925,1.897,0.1687,0.1865,0.16966,0.1863575,0.18305,0.635,0.85,0.6395,0.842875,0.725
"Eagle Harbor Dr",939029,2870476,985372.325,2806567.15,1787649,2.07,58.783,2.855625,56.419675,19.9085,Inf,-Inf,NA,NA,NA,0.815,1.02,0.81575,1.01175,0.8675
"Eastsound, Fishing Bay",582761,5287826,624124.325,5117125.325,2073044.5,0.0025,25.449,0.6536875,24.568425,11.1965,0.1392,0.1583,0.1394625,0.1577,0.1465,0.355,0.58,0.35875,0.5755,0.4625
"Edmonds Ferry",2077255,6928220,2220895.975,6847038.8,4919136,0.0025,0.818,0.0025,0.7568375,0.0025,0.1654,0.2114,0.16588,0.20858,0.1728,0.39,0.885,0.410625,0.880125,0.7425
"Edmonds Marina",2444905,52717198,2497822.9,49266086.35,4926426.5,7.034,34.355,7.3616,32.806475,12.555,0.1524,0.1807,0.152745,0.1791025,0.1582,0.645,0.885,0.6465,0.8835,0.765
"Eld Inlet",1226696,6522867,1516485.275,6464107.5,5414980,10.464,35.599,10.7493,34.64155,18.5505,0.1662,0.244,0.16848,0.243295,0.2156,0.62,0.835,0.62075,0.82825,0.6875
"Elliot Bay Myrtle Edwards",1975307,3125326,1978036,3100977.2,2362670,20.437,44.994,21.202,44.6395,39.159,0.1533,0.238,0.15369,0.23422,0.1925,0.615,0.94,0.6275,0.9395,0.89
"Elliott Bay, Harbor Island, Pier 17",6892889,12192291,7018780.625,11961843.9,8845553.5,0.975,13.24,1.0134,12.738325,4.019,0.1443,0.1887,0.1444575,0.1872675,0.158,0.66,1.04,0.669375,1.0325,0.8625
"Everett Harbor",3196587,6420811,3355761,6400464.25,5734214,0.0025,1.496,0.0025,1.3839875,0.0025,0.1313,0.1688,0.131615,0.167135,0.14105,0.675,0.885,0.675375,0.8835,0.7725
