latitude,longitude,reporting_area,site_number,site_name,avg_p450,avg_SOD
48.12823,-123.45715,7,1,Port Angeles Yacht Club,5751355,7.3855
48.024789,-122.998135,11,2,Jamestown,3263515,24.48733333
48.21423,-122.718972,11,3,Penn Cove Reference,2427656.25,23.86
48.255358,-122.507014,11,7,North Camano,12290521,0.75175
48.04906,-122.7724,10,8,Chimacum Creek delta,2641573.75,2.193375
48.02667,-122.75076,12,9,S of Skunk Island,3556922.75,11.307
48.02218,-122.728709,11,10,Oak Bay County Park,2335145,19.80775
48.018127,-122.699524,7,11,Maristone Island,4772560.833,5.67875
48.064957,-122.857524,13,12,Discovery Bay,4029897.5,8.739125
47.50161,-122.38593,7,13,Arroyo Beach,4480859.833,8.832583333
47.58766,-122.35065,9,14,"Elliott Bay, Harbor Island, Pier 17",9194071.75,5.56325
47.63237,-122.37869,7,15,"Smith Cove, Terminal 91",3958924,19.66125
47.6663,-122.4018,11,16,"Salmon Bay, Commodore Park",3756618.5,1.48175
47.607,-122.342,11,17,"Seattle Aquarium, Pier 59",3135234,23.887625
47.671678,-122.406663,11,18,Shilshole Bay,2862823.75,9.90675
47.61862,-122.36108,11,19,Elliot Bay Myrtle Edwards,2469547.6,34.8252
47.4436,-122.360316,6,20,Miller Creek,5747266.5,4.015375
47.40301418,-122.3305538,11,21,Des Moines Marina,4886367.5,9.63975
47.44896,-122.372267,10,22,Three Tree Point,7417010.25,8.125125
47.68234,-122.5064,7,23,Brackenwood Ln,1857011.75,9.835125
47.66142,-122.49884,9,24,Skiff Point,5664098.75,4.23625
47.54167,-122.64034,9,25,Kitsap St Boat Launch,2885042.5,30.745
47.66586,-122.56698,13,26,Williams Olson Park,2970859,6.457625
47.60255,-122.66992,10,27,Rocky Point,4508401,9.8955
47.57995505,-122.6786,10,28,Madrona Pont,5804701,3.8715
47.5706,-122.9717,8.2,29,Hood Canal Holly,788472,1.640416667
47.78184,-122.83474,7,30,Broad Spit (Fisherman's Point),2311730.75,7.11625
47.61889,-122.5275,13,31,Eagle Harbor Dr,1846200.75,25.1675
47.578117,-122.524833,7,32,Rich Passage,3203053.25,2.245
47.55622,-122.54281,11,33,"Manchester, Stormwater Outfall",6122829.75,2.682375
47.7296079,-122.5506191,12,34,Suquamish Stormwater Outfall,4338555.5,5.81925
47.6427936,-122.6967068,6,35,"Silverdale, Dyes Inlet",1652091.25,26.031
47.794695,-122.499858,10,36,Kingston Marina,5281103,4.064
47.5833538,-122.6414587,10,37,Lions Park,6543253.75,14.79325
47.17650485,-122.9046464,13,38,Squaxin Island,6368736.25,5.85875
47.346537,-122.82236,10,39,Reach Island,5905498,4.58375
47.29464,-122.53053,7,40,Salmon Beach,1904018.75,18.330875
47.27568,-122.4173,10,41,Blair Waterway,4879642.5,6.51775
47.2632444,-122.385731,10,42,Blair Waterway #2,3714917.5,10.796
47.3062,-122.5145,13,43,Point Defiance Ferry,2181856.75,10.88425
47.33775,-122.59014,9,44,Donkey Creek Delta (PSS13175 - 000049),3185175,2.500625
47.29,-122.41,13,45,Comm Bay Skookum,5919817,8.9185
47.259189,-122.434689,11,46,Thea Foss Waterway,3423037.5,18.6908
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",3937679,11.214
47.292549,-122.412175,8.2,48,"Comm Bay, Dick Gilmur Launch",3792068,41.29775
47.2694,-122.4243,7,49,"Comm Bay, Milwaukee Waterway",7608741.8,6.3977
47.2619,-122.7376,8.1,50,Pennrose Point State Park,4193869.5,4.4995
47.30008,-122.74566,9,51,Maple Hollow Park,3639570,4.6215
47.30973,-122.68868,8.1,52,Kopachuck State Park,7285132.25,4.726
47.32598,-122.66724,13,53,Raft Island Park,4523051.5,3.778125
47.30515,-122.44441,11,54,Browns Point Lighthouse,7401612.25,1.378875
47.3539722,-122.69175,6,55,Minter Bay,6206748.75,1.991375
47.1905742,-122.5834897,13,56,Chambers Bay Park,4502337.75,9.687875
47.38566,-122.627255,13,57,Purdy - Dexters,4743078.25,1.760875
47.33785,-122.58277,13,58,Gig Harbor Boat Launch,4097009.75,7.509375
47.19483,-122.748665,13,59,Filucy Bay,6265039.75,5.313125
48.69368,-122.90985,10,60,"Eastsound, Fishing Bay",2504169,11.961125
48.5069444,-123.0194444,10,61,Friday Harbor,3954243.2,6.7096
48.52108,-122.61531,9,62,N Avenue Park,4183302,1.443625
48.482448,-122.583879,10,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",3345616,18.015
48.520971,-122.600717,11,64,Cap Sante,3728576,41.12025
47.94968,-122.30158,10,65,Mukilteo,5076322.75,7.6065
47.9726,-122.22977,10,66,Everett Harbor,5271456.5,0.375875
48.0617,-122.2939,10,67,Tulalip Bay,5544824.5,6.253833333
47.8111,-122.388,10,68,Edmonds Marina,16253739,16.62475
47.81407,-122.3825,10,69,Edmonds Ferry,4710936.75,0.206375
48.0697859,-122.2997764,13,70,Tulalip Reservation,3773556.5,3.182125
47.11795,-122.83359,10,71,Meyer's Point - Henderson Inlet,2519276.5,24.0125
47.074603,-123.003527,11,72,Eld Inlet,4644880.75,20.791
47.052362,-122.910912,11,73,West Bay Park,5731487.25,2.996125
48.68975,-122.50434,8.2,74,"Chuckanut, Clark's Point",3006723.75,12.7025
48.8208,-122.7101,8.2,75,"Cherry Point Aquatic Reserve, Conoco Phillips",3716208.75,4.46775
48.77636877,-122.5378679,13,76,Locust Beach,2401828,5.4015
48.6793778,-122.6300583,10,77,Aiston Preserve,3752617.75,3.440125
