latitude,longitude,site_name,site_number,sample,p450,SOD,condition_factor,avg_thickness,economic_index
48.6793778,-122.6300583,Aiston Preserve,77,239,5965780,0,0.156,0.7,0.0018
48.6793778,-122.6300583,Aiston Preserve,77,240,1508156,4.877,0.1374,0.79,0.002
48.6793778,-122.6300583,Aiston Preserve,77,241,4674882,8.871,0.1782,0.825,0.002
48.6793778,-122.6300583,Aiston Preserve,77,242,2861653,0.01,0.1737,0.93,0.0021
47.50161,-122.38593,Arroyo Beach,13,281,3448794,7.084,0.1866,0.92,0.0022
47.50161,-122.38593,Arroyo Beach,13,282,6485447,0.635,0.1959,0.965,0.0022
47.50161,-122.38593,Arroyo Beach,13,283,3563340,11.884,0.1937,0.86,0.002
47.50161,-122.38593,Arroyo Beach,13,284,1813227,18.105,0.2017,0.955,0.0022
47.50161,-122.38593,Arroyo Beach,13,285,1987132,15.285,0.1136,0.875,0.0021
47.50161,-122.38593,Arroyo Beach,13,286,9587219,0,0.1628,0.645,0.0016
47.27568,-122.4173,Blair Waterway,41,149,4422422,0.672,0.1921,0.89,0.0021
47.27568,-122.4173,Blair Waterway,41,150,5411649,6.432,0.1731,0.68,0.0017
47.27568,-122.4173,Blair Waterway,41,151,6052641,9.59,0.1902,1.075,0.0026
47.27568,-122.4173,Blair Waterway,41,152,3631858,9.377,0.2066,0.71,0.0016
47.2632444,-122.385731,Blair Waterway #2,42,141,3885225,26.424,0.1293,0.745,0.0021
47.2632444,-122.385731,Blair Waterway #2,42,142,2469960,12.854,0.1541,0.97,0.0026
47.2632444,-122.385731,Blair Waterway #2,42,143,3506452,2.637,0.1604,0.9,0.0022
47.2632444,-122.385731,Blair Waterway #2,42,144,4998033,1.269,0.1409,0.815,0.0021
47.68234,-122.5064,Brackenwood Ln,23,96,1269238,0,0.1901,0.555,0.0013
47.68234,-122.5064,Brackenwood Ln,23,97,2212557,15.989,0.1732,0.625,0.0015
47.68234,-122.5064,Brackenwood Ln,23,98,1783953,23.205,0.2078,0.75,0.0016
47.68234,-122.5064,Brackenwood Ln,23,99,2162299,0.144,0.21,0.755,0.0017
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,269,1266317,0.897,0.1206,0.645,0.0016
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,270,1780096,10.875,0.1735,0.56,0.0013
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,271,4813963,7.416,0.194,0.79,0.0019
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,272,1386547,9.277,0.2064,0.66,0.0015
47.30515,-122.44441,Browns Point Lighthouse,54,194,2165448,0,0.1794,0.84,0.002
47.30515,-122.44441,Browns Point Lighthouse,54,195,9793068,1.51,0.1766,0.8,0.002
47.30515,-122.44441,Browns Point Lighthouse,54,196,7655768,2.472,0.2028,0.82,0.0019
47.30515,-122.44441,Browns Point Lighthouse,54,197,9992165,1.531,0.2024,0.935,0.0021
48.520971,-122.600717,Cap Sante,64,214,1293754,14.371,0.1248,0.955,0.0023
48.520971,-122.600717,Cap Sante,64,215,4083185,4.895,0.1538,0.725,0.0019
48.520971,-122.600717,Cap Sante,64,216,3480344,133.268,0.1538,0.6,0.0015
48.520971,-122.600717,Cap Sante,64,217,6057021,11.947,0.1329,0.88,0.0024
