site_name,site_number,sample,p450,SOD
Des Moines Marina,21,1,5679312,4.0265
Des Moines Marina,21,2,6097784,4.4095
Des Moines Marina,21,3,3868923,5.0643
Des Moines Marina,21,4,3899451,25.0582
Suquamish Stormwater Outfall,34,5,5346329,0.5120
Suquamish Stormwater Outfall,34,6,2044561,6.0487
Suquamish Stormwater Outfall,34,7,5633230,2.3260
Suquamish Stormwater Outfall,34,8,4330102,14.3901
Pennrose Point State Park,50,9,7518449,2.8153
Pennrose Point State Park,50,10,2993202,4.8452
Pennrose Point State Park,50,11,3607485,7.4377
Pennrose Point State Park,50,12,2656342,2.8997
S of Skunk Island,9,13,3719291,8.9894
S of Skunk Island,9,14,5059896,7.3337
S of Skunk Island,9,15,4168799,0.9780
S of Skunk Island,9,16,1279705,27.9267
Mukilteo,65,17,7725177,7.6128
Mukilteo,65,18,5159851,6.4003
Mukilteo,65,19,3877914,0.2711
Mukilteo,65,20,3542349,16.1416
Edmonds Marina,68,21,3150477,7.0343
Edmonds Marina,68,22,6702376,11.4022
Edmonds Marina,68,23,52717198,34.3545
Edmonds Marina,68,24,2444905,13.7081
"Chuckanut, Clark's Point",74,25,4424850,2.9881
"Chuckanut, Clark's Point",74,26,3385205,8.4724
"Chuckanut, Clark's Point",74,27,3153370,13.7311
"Chuckanut, Clark's Point",74,28,1063470,25.6186
"Elliott Bay, Harbor Island, Pier 17",14,29,6892889,1.4865
"Elliott Bay, Harbor Island, Pier 18",14,30,12192291,6.5511
"Elliott Bay, Harbor Island, Pier 19",14,31,8571444,13.2404
"Elliott Bay, Harbor Island, Pier 20",14,32,9119663,0.9753
"Cherry Point Aquatic Reserve, Conoco Phillips",75,33,4058856,5.6422
"Cherry Point Aquatic Reserve, Conoco Phillips",75,34,2991933,9.7609
"Cherry Point Aquatic Reserve, Conoco Phillips",75,35,3977493,1.0051
"Cherry Point Aquatic Reserve, Conoco Phillips",75,36,3836553,1.4627
Comm Bay Skookum,45,37,6882929,7.1902
Comm Bay Skookum,45,38,6222187,4.1942
Comm Bay Skookum,45,39,0,17.3238
Comm Bay Skookum,45,40,4654335,6.9658
Penn Cove Reference,3,41,2017393,22.2334
Penn Cove Reference,3,42,3364046,34.4919
Penn Cove Reference,3,43,956176,29.8403
Penn Cove Reference,3,44,3373010,8.8750
"Silverdale, Dyes Inlet",35,45,958833,8.6381
"Silverdale, Dyes Inlet",35,46,2088081,6.5688
"Silverdale, Dyes Inlet",35,47,1877700,15.5722
"Silverdale, Dyes Inlet",35,48,1683751,73.3449
"Eastsound, Fishing Bay",60,49,3011817,-1.0950
"Eastsound, Fishing Bay",60,50,582761,13.7083
"Eastsound, Fishing Bay",60,51,5287826,25.4487
"Eastsound, Fishing Bay",60,52,1134272,8.6853
Kitsap St Boat Launch,25,53,3524590,2.0563
Kitsap St Boat Launch,25,54,990580,72.9814
Kitsap St Boat Launch,25,55,1166004,12.5067
Kitsap St Boat Launch,25,56,5858996,35.4358
Eagle Harbor Dr,31,57,2870476,27.2717
Eagle Harbor Dr,31,58,939029,2.0699
Eagle Harbor Dr,31,59,2018358,12.5449
Eagle Harbor Dr,31,60,1556940,58.7833
"Fidalgo Bay Aq Reserve, Weaverling Spit",63,61,0,5.9924
"Fidalgo Bay Aq Reserve, Weaverling Spit",63,62,1669995,22.3159
"Fidalgo Bay Aq Reserve, Weaverling Spit",63,63,4332608,26.7211
"Fidalgo Bay Aq Reserve, Weaverling Spit",63,64,4034245,17.0313
Meyer's Point - Henderson Inlet,71,65,3404367,17.3312
Meyer's Point - Henderson Inlet,71,66,2281563,8.1887
Meyer's Point - Henderson Inlet,71,67,1153344,6.9833
Meyer's Point - Henderson Inlet,71,68,3237832,63.5467
Elliot Bay Myrtle Edwards,19,69,1975307,39.1592
Elliot Bay Myrtle Edwards,19,70,2362670,41.4485
Elliot Bay Myrtle Edwards,19,71,3125326,28.0871
Elliot Bay Myrtle Edwards,19,72,2002597,20.4370
Elliot Bay Myrtle Edwards,19,73,2881838,44.9936
"Purdy, Burley Lagoon",47,74,3562058,13.9375
"Purdy, Burley Lagoon",47,75,4066301,15.7973
"Purdy, Burley Lagoon",47,76,1243643,9.5295
"Purdy, Burley Lagoon",47,77,6878714,5.5905
"Seattle Aquarium, Pier 59",17,78,2711200,84.4189
"Seattle Aquarium, Pier 60",17,79,2381238,9.3933
"Seattle Aquarium, Pier 61",17,80,4956424,1.7363
"Seattle Aquarium, Pier 62",17,81,2492074,-0.3001
Jamestown,2,82,2974772,27.3531
Jamestown,2,83,5366142,39.5811
Jamestown,2,84,2235746,25.8438
Jamestown,2,85,3343459,20.4528
Jamestown,2,86,2786163,15.5820
Jamestown,2,87,2874808,18.1113
Oak Bay County Park,10,88,2226326,12.5327
Oak Bay County Park,10,89,3074754,11.4850
Oak Bay County Park,10,90,2424855,51.7288
Oak Bay County Park,10,91,1614645,3.4837
"Smith Cove, Terminal 91",15,92,2166819,15.2124
"Smith Cove, Terminal 92",15,93,7732418,17.1481
"Smith Cove, Terminal 93",15,94,1617973,10.0018
"Smith Cove, Terminal 94",15,95,4318486,36.2834
Brackenwood Ln,23,96,1269238,-2.3698
Brackenwood Ln,23,97,2212557,15.9887
Brackenwood Ln,23,98,1783953,23.2054
Brackenwood Ln,23,99,2162299,0.1439
Chimacum Creek delta,8,100,2951937,3.7566
Chimacum Creek delta,8,101,1783000,2.8366
Chimacum Creek delta,8,102,2742180,-0.4895
Chimacum Creek delta,8,103,3089178,2.1772
Hood Canal Holly,29,104,0,-9.6531
Hood Canal Holly,29,105,0,9.8302
Hood Canal Holly,29,106,291641,-4.2478
Hood Canal Holly,29,107,1693665,-7.4935
Hood Canal Holly,29,108,0,-8.5595
Hood Canal Holly,29,109,380110,-7.0629
Point Defiance Ferry,43,110,2209441,4.6467
Point Defiance Ferry,43,111,1743980,24.6773
Point Defiance Ferry,43,112,2845932,3.1703
Point Defiance Ferry,43,113,1928074,11.0433
"Comm Bay, Dick Gilmur Launch",48,114,0,118.6828
"Comm Bay, Dick Gilmur Launch",48,115,4982158,22.9274
