DO NOT SORT,a79 removed (lipids)
og column name,column identifier
alpha_chlordane,a1
alpha_hexachlorocyclohexane,a2
aldrin,a3
beta_chlordane,a4
BDE100,a5
BDE153,a6
BDE154,a7
BDE155,a8
BDE183,a9
BDE028,a10
BDE047,a11
BDE049,a12
BDE066,a13
BDE085,a14
BDE099,a15
beta_hexachlorocyclohexane,a16
Br5DE04,a17
Br5DE05,a18
Br6DE01,a19
Br7DE01,a20
PCB101,a21
PCB105,a22
PCB011,a23
PCB110,a24
PCB118,a25
PCB128,a26
PCB138,a27
PCB149,a28
PCB151,a29
PCB153,a30
PCB156,a31
PCB158,a32
PCB017,a33
PCB170,a34
PCB171,a35
PCB177,a36
PCB018,a37
PCB180,a38
PCB183,a39
PCB187,a40
PCB191,a41
PCB194,a42
PCB195,a43
PCB198,a44
PCB199,a45
PCB205,a46
PCB206,a47
PCB208,a48
PCB209,a49
PCB028,a50
PCB031,a51
PCB033,a52
PCB044,a53
PCB049,a54
PCB052,a55
PCB066,a56
PCB070,a57
PCB074,a58
PCB082,a59
PCB087,a60
PCB095,a61
PCB099,a62
cis_nonachlor,a63
dieldrin,a64
Endosulfan_1,a65
hexachlorobenzene,a66
heptachlor,a67
heptachlor_epoxide,a68
gamma_hexachlorocyclohexane,a69
mirex,a70
nonachlor3,a71
opDDD,a72
opDDE,a73
opDDT,a74
Oxychlordane,a75
ppDDD,a76
ppDDE,a77
ppDDT,a78
lipids,a79
acenaphthene,a80
acenaphthylene,a81
anthracene,a82
benz[a]anthracene,a83
benzo[a]pyrene,a84
benzo[b]fluoranthene,a85
benzo[e]pyrene,a86
benzo[k]fluoranthene,a87
benzo[ghi]perylene,a88
C1-benzanthracenes/chrysenes,a89
C1-dibenzothiophenes,a90
C1-fluoranthenes/pyrenes,a91
C1-fluorenes,a92
C1-naphthalenes,a93
C1-phenanthrenes/anthracenes,a94
C2-benzanthracenes/chrysenes,a95
C2-dibenzothiophenes,a96
C2-fluoranthenes/pyrenes,a97
C2-fluorenes,a98
C2-naphthalenes,a99
C2-phenanthrenes/anthracenes,a100
C3-benzanthracenes/chrysenes,a101
C3-dibenzothiophenes,a102
C3-fluoranthenes/pyrenes,a103
C3-fluorenes,a104
C3-naphthalenes,a105
C3-phenanthrenes/anthracenes,a106
C4-benzanthracenes/chrysenes,a107
C4-dibenzothiophenes,a108
C4-fluoranthenes/pyrenes,a109
C4-naphthalenes,a110
C4-phenanthrenes/anthracenes,a111
chrysene,a112
"dibenz[a,h]anthracene",a113
dibenzothiophene,a114
"2,6-dimethylnaphthalene",a115
"1,7-dimethylphenanthrene",a116
fluoranthene,a117
fluorene,a118
"indeno[1,2,3-cd]pyrene",a119
1-methylnaphthalene,a120
2-methylnaphthalene,a121
1-methylphenanthrene,a122
3-methylphenanthrene,a123
9-methylphenanthrene,a124
naphthalene,a125
perylene,a126
phenanthrene,a127
pyrene,a128
Retene,a129
"2,3,5-trimethylnaphthalene",a130
