sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
1,47.40301418,-122.3305538,Des Moines Marina,21,11,5083144,4.027,0.88,0.032,0.667,0.049,13.892,4.625,9.267,57.31,26.6,19.15,2.1563390459813068,0.10480711640920856
2,47.40301418,-122.3305538,Des Moines Marina,21,11,10486498,4.41,1.145,0.034,0.664,0.051,15.309,5.149,10.16,58.42,26.46,19.39,4.916028024959493,1.861315720847943
3,47.40301418,-122.3305538,Des Moines Marina,21,11,3510592,5.064,0.945,0.029,0.636,0.044,13.815,5.022,8.793,58.53,26.81,19.1,3.3619745087622426,0.2818564366463153
4,47.40301418,-122.3305538,Des Moines Marina,21,11,16661987,21.67,1.01,0.034,0.645,0.052,13.466,4.776,8.69,55.06,25.56,18.39,6.424402371069794,1.691630746919193
5,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,5049235,0.512,1.015,0.036,0.688,0.052,12.915,4.034,8.881,55.52,23.69,18.87,4.416451998883793,-0.17496640244793826
6,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,1547925,6.049,1.065,0.035,0.655,0.055,16.868,5.826,11.042,58.65,26.34,20.32,4.562093084242541,1.191658883842939
7,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,5631535,2.326,1.02,0.018,0.658,0.059,15.689,5.359,10.33,55.96,35.5,29.45,9.892485200150112,3.25507599283609
8,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,2072179,14.39,0.985,0.024,0.659,0.072,14.717,5.017,9.7,51.31,31.55,24.5,8.025415595786242,1.3066290406577776
9,47.2619,-122.7376,Pennrose Point State Park,50,13,7519523,2.458,0.955,0.042,0.66,0.117,18.242,6.199,12.043,46.86,28.2,21.57,6.597438248021334,1.3252785432080176
10,47.2619,-122.7376,Pennrose Point State Park,50,13,2798616,4.845,0.81,0.021,0.643,0.05,11.143,3.983,7.16,52.15,28.83,22.84,5.047030568855002,-0.35716938928499264
11,47.2619,-122.7376,Pennrose Point State Park,50,13,9112235,7.438,0.855,0.022,0.694,0.046,14.388,4.402,9.986,60.21,31.36,24.3,5.933465089506651,1.9853539153697204
12,47.2619,-122.7376,Pennrose Point State Park,50,13,10820981,2.951,0.81,0.02,0.709,0.046,13.61,3.954,9.656,59.56,32.33,24.54,7.145407267533023,1.837546530365037
13,48.02667,-122.75076,S of Skunk Island,9,9,2931739,8.989,0.815,0.032,0.716,0.056,11.037,3.136,7.901,51.91,24.96,18.88,3.503331780051092,-1.426249340748817
14,48.02667,-122.75076,S of Skunk Island,9,9,8066086,8.102,0.855,0.036,0.683,0.059,14.671,4.645,10.026,55.51,25.49,19.86,1.4494167965178044,0.49750491009059084
15,48.02667,-122.75076,S of Skunk Island,9,9,5473914,0.978,0.78,0.034,0.709,0.061,15.33,4.466,10.864,56.41,26.58,21.52,2.0509095301093176,0.357872259774083
16,48.02667,-122.75076,S of Skunk Island,9,9,1279970,22.376,0.695,0.034,0.735,0.058,11.752,3.118,8.634,53.03,24.84,19.26,5.4580795937036095,-1.4919226490221036
17,47.94968,-122.30158,Mukilteo,65,8.2,13015373,7.613,0.805,0.032,0.686,0.047,10.483,3.296,7.187,53.29,23.91,17.78,4.727149173398855,-0.5546917427902956
18,47.94968,-122.30158,Mukilteo,65,8.2,6552124,6.4,0.83,0.033,0.709,0.053,12.325,3.583,8.742,54.96,25.82,18.71,2.0777758473396757,-0.5374031469660996
19,47.94968,-122.30158,Mukilteo,65,8.2,11487224,0.271,0.855,0.032,0.675,0.049,13.777,4.478,9.299,57.59,26.17,19.4,3.3039096782286994,0.6877753911939781
