site_name,analyte,dryvalue
Arroyo Beach,alpha_chlordane,1.320732357
Arroyo Beach,alpha_hexachlorocyclohexane,-1.14063249
Arroyo Beach,aldrin,-1.200665779
Arroyo Beach,beta_chlordane,-1.380765646
Arroyo Beach,BDE100,-1.380765646
Arroyo Beach,BDE153,-1.200665779
Arroyo Beach,BDE154,-1.380765646
Arroyo Beach,BDE155,-1.380765646
Arroyo Beach,BDE183,-1.14063249
Arroyo Beach,BDE028,-1.380765646
Arroyo Beach,BDE047,3.241797603
Arroyo Beach,BDE049,-1.380765646
Arroyo Beach,BDE066,-1.380765646
Arroyo Beach,BDE085,-1.380765646
Arroyo Beach,BDE099,2.341298269
Arroyo Beach,beta_hexachlorocyclohexane,-0.780432756
Arroyo Beach,Br5DE04,-1.380765646
Arroyo Beach,Br5DE05,-1.380765646
Arroyo Beach,Br6DE01,-1.380765646
Arroyo Beach,Br7DE01,-1.14063249
Arroyo Beach,PCB101,3.061697736
Arroyo Beach,PCB105,1.740965379
Arroyo Beach,PCB011,-1.380765646
Arroyo Beach,PCB110,2.821564581
Arroyo Beach,PCB118,3.361864181
Arroyo Beach,PCB128,-1.380765646
Arroyo Beach,PCB138,5.042796272
Arroyo Beach,PCB149,2.701498003
Arroyo Beach,PCB151,-1.380765646
Arroyo Beach,PCB153,4.922729694
Arroyo Beach,PCB156,-1.380765646
Arroyo Beach,PCB158,-1.380765646
Arroyo Beach,PCB017,-1.380765646
Arroyo Beach,PCB170,-1.380765646
Arroyo Beach,PCB171,-1.380765646
Arroyo Beach,PCB177,-1.380765646
Arroyo Beach,PCB018,1.680932091
Arroyo Beach,PCB180,-1.380765646
Arroyo Beach,PCB183,-1.380765646
Arroyo Beach,PCB187,-1.380765646
Arroyo Beach,PCB191,-1.380765646
Arroyo Beach,PCB194,-1.380765646
Arroyo Beach,PCB195,-1.380765646
Arroyo Beach,PCB198,-1.320732357
Arroyo Beach,PCB199,-1.380765646
Arroyo Beach,PCB205,-1.380765646
Arroyo Beach,PCB206,-1.320732357
Arroyo Beach,PCB208,-1.380765646
Arroyo Beach,PCB209,-1.380765646
Arroyo Beach,PCB028,1.620898802
Arroyo Beach,PCB031,1.680932091
Arroyo Beach,PCB033,-1.320732357
Arroyo Beach,PCB044,-1.380765646
Arroyo Beach,PCB049,-1.380765646
Arroyo Beach,PCB052,1.560865513
Arroyo Beach,PCB066,-1.380765646
Arroyo Beach,PCB070,1.500832224
Arroyo Beach,PCB074,-1.380765646
