site_name,DryValue
Aiston Preserve,97.40305011
Arroyo Beach,408.2263648
Blair Waterway,715.0934356
Blair Waterway #2,1038.615533
Brackenwood Ln,389.3670412
Broad Spit,127.2607482
Browns Point Lighthouse,438.80107
Cap Sante,375.6189781
Chambers Bay Park,182.8577513
"Cherry Point Aquatic Reserve, Conoco Phillips",325.9808253
Chimacum Creek delta,168.4593301
"Chuckanut, Clark's Point",206.5735661
Comm Bay Skookum,857.3198078
"Comm Bay, Dick Gilmur Launch",781.2735849
"Comm Bay, Milwaukee Waterway",599.0107817
Des Moines Marina,15313.21971
Discovery Bay,235.3538124
Donkey Creek Delta,522.3567146
Eagle Harbor Dr,1031.19294
"Eastsound, Fishing Bay",518.0065898
Edmonds Ferry,526.1635514
Edmonds Marina,702.8476454
Eld Inlet,171.5981221
Elliot Bay Myrtle Edwards,12078.4217
"Elliott Bay, Harbor Island, Pier 17",3195.16749
Everett Harbor,372.815402
"Fidalgo Bay Aq Reserve, Weaverling Spit",699.5619988
Filucy Bay,148.2731137
Friday Harbor,532.693683
Gig Harbor Boat Launch,418.6468172
Hood Canal Holly,88.78341014
Jamestown,119.3191046
Kingston Marina,273.0109661
Kitsap St Boat Launch,758.678184
Kopachuck State Park,141.6949476
Lions Park,289.592789
Locust Beach,147.2050301
Madrona Pont,259.1396534
"Manchester, Stormwater Outfall",369.4213572
Maple Hollow Park,176.6666667
Maristone Island,134.0549635
Meyer's Point - Henderson Inlet,200.7369403
Miller Creek,285.962118
Minter Bay,164.4770408
Mukilteo,440.1976325
N Avenue Park,2333.523573
North Camano,165.0462287
Oak Bay County Park,141.0699797
Penn Cove Reference,160.9309232
Pennrose Point State Park,204.6394325
Point Defiance Ferry,694.8239772
Port Angeles Yacht Club,1983.402062
Purdy - Dexters,149.1567745
"Purdy, Burley Lagoon",215.4213346
Raft Island Park,147.7486631
Reach Island,192.6577869
Rich Passage,338.9587459
Rocky Point,310.5201711
S of Skunk Island,294.2841328
"Salmon Bay, Commodore Park",1041.764706
Salmon Beach,428.6576402
"Seattle Aquarium, Pier 59",3304.96063
Shilshole Bay,1954.456036
"Silverdale, Dyes Inlet",370.1199095
Skiff Point,449.879868
"Smith Cove, Terminal 91",7153.277061
Squaxin Island,174.7870787
Suquamish Stormwater Outfall,425.312212
Thea Foss Waterway,1103.394632
Three Tree Point,312.2311133
Tulalip Bay,356.8917647
Tulalip Reservation,253.4904661
West Bay Park,384.6705525
Williams Olson Park,301.2530562
