site_name,DryValue
Aiston Preserve,79.13997821
Arroyo Beach,216.1198402
Blair Waterway,456.559655
Blair Waterway #2,610.9503136
Brackenwood Ln,212.3820225
Broad Spit,107.1669458
Browns Point Lighthouse,257.4299611
Cap Sante,254.6569343
Chambers Bay Park,106.1754685
"Cherry Point Aquatic Reserve, Conoco Phillips",169.0270946
Chimacum Creek delta,112.3062201
"Chuckanut, Clark's Point",131.9775561
Comm Bay Skookum,461.6337427
"Comm Bay, Dick Gilmur Launch",442.7216981
"Comm Bay, Milwaukee Waterway",390.3665768
Des Moines Marina,6125.287886
Discovery Bay,136.5052112
Donkey Creek Delta,238.0359712
Eagle Harbor Dr,364.3548387
"Eastsound, Fishing Bay",242.4711697
Edmonds Ferry,257.235514
Edmonds Marina,304.567313
Eld Inlet,96.52394366
Elliot Bay Myrtle Edwards,3220.912454
"Elliott Bay, Harbor Island, Pier 17",1141.131247
Everett Harbor,206.3799547
"Fidalgo Bay Aq Reserve, Weaverling Spit",438.8161629
Filucy Bay,88.96386823
Friday Harbor,206.8104887
Gig Harbor Boat Launch,172.3839836
Hood Canal Holly,109.2718894
Jamestown,106.0614263
Kingston Marina,149.5060052
Kitsap St Boat Launch,419.8019285
Kopachuck State Park,87.71591992
Lions Park,157.9597031
Locust Beach,121.6041553
Madrona Pont,138.6095821
"Manchester, Stormwater Outfall",198.3929511
Maple Hollow Park,111.2345679
Maristone Island,112.8883904
Meyer's Point - Henderson Inlet,148.6940299
Miller Creek,171.5772708
Minter Bay,98.68622449
Mukilteo,245.9927946
N Avenue Park,1248.163772
North Camano,107.9148418
Oak Bay County Park,102.5963489
Penn Cove Reference,109.7256294
Pennrose Point State Park,125.4241683
Point Defiance Ferry,370.5727878
Port Angeles Yacht Club,781.3402062
Purdy - Dexters,91.78878428
"Purdy, Burley Lagoon",129.2528008
Raft Island Park,91.46345811
Reach Island,110.9241803
Rich Passage,190.2926293
Rocky Point,176.5702934
S of Skunk Island,162.156563
"Salmon Bay, Commodore Park",476.2352941
Salmon Beach,202.4216634
"Seattle Aquarium, Pier 59",1101.653543
Shilshole Bay,714.1281669
"Silverdale, Dyes Inlet",212.4762443
Skiff Point,236.7788779
"Smith Cove, Terminal 91",2145.983118
Squaxin Island,97.10393258
Suquamish Stormwater Outfall,231.9884793
Thea Foss Waterway,584.1500994
Three Tree Point,176.7345924
Tulalip Bay,188.1792941
Tulalip Reservation,135.5879237
West Bay Park,182.212367
Williams Olson Park,144.601467
