latitude,longitude,sample_id,site_number,site_name,reporting_area,p450,sod,ibr1overall
48.6793778,-122.6300583,239,77,Aiston Preserve,7,6.690260885,-1.688652273,0.005697532
48.6793778,-122.6300583,240,77,Aiston Preserve,7,-0.839743494,-1.034878753,-1.666029253
48.6793778,-122.6300583,241,77,Aiston Preserve,7,2.364289033,-0.499198901,0.358373119
48.6793778,-122.6300583,242,77,Aiston Preserve,7,0.514270132,-1.687646365,-0.168503167
47.50161,-122.38593,281,13,Arroyo Beach,11,0.895603272,-0.738873386,0.26404737
47.50161,-122.38593,282,13,Arroyo Beach,11,3.778303885,-1.603820649,1.722053871
47.50161,-122.38593,283,13,Arroyo Beach,11,5.75821372,-0.095091892,2.115590051
47.50161,-122.38593,284,13,Arroyo Beach,11,-0.4300847,-0.870848593,0.592807794
47.50161,-122.38593,285,13,Arroyo Beach,11,-0.273473696,0.361054122,-0.691340351
47.50161,-122.38593,286,13,Arroyo Beach,11,3.570926008,-1.688652273,-0.556783493
47.27568,-122.4173,149,41,Blair Waterway,11,1.751378043,-1.598858167,0.397353514
47.27568,-122.4173,150,41,Blair Waterway,11,2.570338835,-0.826320373,-0.25778537
47.27568,-122.4173,151,41,Blair Waterway,11,1.846150681,-0.402765798,1.148472077
47.27568,-122.4173,152,41,Blair Waterway,11,1.209341554,-0.431333602,0.028001476
47.2632444,-122.385731,141,42,Blair Waterway Two,11,4.617517366,1.855029553,-0.041576776
47.2632444,-122.385731,142,42,Blair Waterway Two,11,0.040740314,0.035005619,-0.298033993
47.2632444,-122.385731,143,42,Blair Waterway Two,11,0.818686662,-1.335310117,-0.529905808
47.2632444,-122.385731,144,42,Blair Waterway Two,11,2.217805274,-1.518787843,-0.535890618
47.68234,-122.5064,96,23,Brackenwood Lane,10,-0.920048767,-1.688652273,-0.95242447
47.68234,-122.5064,97,23,Brackenwood Lane,10,-0.25162083,0.455475408,-0.050146963
47.68234,-122.5064,98,23,Brackenwood Lane,10,-0.576025156,-0.775756701,0.713025416
47.68234,-122.5064,99,23,Brackenwood Lane,10,-0.116242804,-0.684151959,0.414066903
47.78184,-122.83474,269,30,Broad Spit,12,-0.922962603,-1.56881503,-2.389722193
47.78184,-122.83474,270,30,Broad Spit,12,-0.552787452,-0.230420127,-0.604346572
47.78184,-122.83474,271,30,Broad Spit ,12,2.273570897,-0.694345166,0.438789235
47.78184,-122.83474,272,30,Broad Spit,12,-0.814967783,-0.444745716,-0.298883995
47.30515,-122.44441,194,54,Browns Point Lighthouse,11,-0.37931062,-1.188313343,-0.124418917
47.30515,-122.44441,195,54,Browns Point Lighthouse,11,7.286054667,-1.486464647,0.778200207
47.30515,-122.44441,196,54,Browns Point Lighthouse,11,6.90245551,-1.357440106,1.69868196
47.30515,-122.44441,197,54,Browns Point Lighthouse,11,6.938832504,-1.483648103,1.973272609
48.520971,-122.600717,214,64,Cap Sante,7,-0.898665322,0.238467395,-0.739705068
48.520971,-122.600717,215,64,Cap Sante,7,1.613776347,-1.032464572,-1.160261416
48.520971,-122.600717,216,64,Cap Sante,7,-0.672751162,4.052068025,-0.658462229
48.520971,-122.600717,217,64,Cap Sante,7,8.319825689,-0.08664226,0.703650386
47.1905742,-122.5834897,127,56,Chambers Bay Park,13,18.45813459,0.40303404,4.495489023
47.1905742,-122.5834897,128,56,Chambers Bay Park,13,1.160141521,0.254696054,-0.905323027
47.1905742,-122.5834897,129,56,Chambers Bay Park,13,1.972388057,-0.527632583,0.496688791
