site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Aiston Preserve,48.6793778,-122.6300583,7,77,241,0.825,0.1782,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,239,0.7,0.156,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,240,0.79,0.1374,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,242,0.93,0.1737,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Arroyo Beach,47.50161,-122.38593,11,13,281,0.92,0.1866,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,282,0.965,0.1959,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,283,0.86,0.1937,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,284,0.955,0.2017,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,285,0.875,0.1136,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,286,0.645,0.1628,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Blair Waterway,47.27568,-122.4173,11,41,149,0.89,0.1921,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,150,0.68,0.1731,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,151,1.075,0.1902,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,152,0.71,0.2066,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway #2,47.2632444,-122.385731,11,42,141,0.745,0.1293,3,4,4,5,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502
