site_name,analyte,dryvalue
Aiston Preserve,Sum40CBs,23.1332244
Arroyo Beach,Sum40CBs,34.81930759
Blair Waterway,Sum40CBs,37.4048874
Blair Waterway #2,Sum40CBs,42.15557164
Brackenwood Ln,Sum40CBs,29.49750312
Broad Spit,Sum40CBs,23.4427694
Browns Point Lighthouse,Sum40CBs,40.36969844
Cap Sante,Sum40CBs,22.28248175
Chambers Bay Park,Sum40CBs,35.39182283
"Cherry Point Aquatic Reserve, Conoco Phillips",Sum40CBs,30.18340975
Chimacum Creek delta,Sum40CBs,22.46124402
"Chuckanut, Clark's Point",Sum40CBs,22.37880299
Comm Bay Skookum,Sum40CBs,72.54244527
"Comm Bay, Dick Gilmur Launch",Sum40CBs,71.61674528
"Comm Bay, Milwaukee Waterway",Sum40CBs,47.11320755
Des Moines Marina,Sum40CBs,44.10207278
Discovery Bay,Sum40CBs,11.76769062
Donkey Creek Delta,Sum40CBs,79.34532374
Drayton Harbor,Sum40CBs,22.00470852
Eagle Harbor Dr,Sum40CBs,75.62081558
"Eastsound, Fishing Bay",Sum40CBs,15.98105437
Edmonds Ferry,Sum40CBs,35.66219626
Edmonds Marina,Sum40CBs,40.99944598
Eld Inlet,Sum40CBs,31.10215962
Elliot Bay Myrtle Edwards,Sum40CBs,120.784217
"Elliott Bay, Harbor Island, Pier 17",Sum40CBs,108.4074684
Everett Harbor,Sum40CBs,34.61857305
"Fidalgo Bay Aq Reserve, Weaverling Spit",Sum40CBs,22.89475632
Filucy Bay,Sum40CBs,41.51647184
Friday Harbor,Sum40CBs,16.29415971
Gig Harbor Boat Launch,Sum40CBs,55.40913758
Hood Canal Holly,Sum40CBs,18.43963134
Jamestown,Sum40CBs,32.48131182
Kingston Marina,Sum40CBs,36.40146214
Kitsap St Boat Launch,Sum40CBs,116.3306549
Kopachuck State Park,Sum40CBs,31.71267874
Lions Park,Sum40CBs,58.57672322
Locust Beach,Sum40CBs,20.48069984
Madrona Pont,Sum40CBs,53.0332314
"Manchester, Stormwater Outfall",Sum40CBs,41.04681746
Maple Hollow Park,Sum40CBs,35.98765432
Maristone Island,Sum40CBs,31.04430735
Meyer's Point - Henderson Inlet,Sum40CBs,49.06902985
Miller Creek,Sum40CBs,43.84752475
Minter Bay,Sum40CBs,31.57959184
Mukilteo,Sum40CBs,31.07277406
N Avenue Park,Sum40CBs,26.59131514
North Camano,Sum40CBs,19.04379562
Oak Bay County Park,Sum40CBs,30.13767748
Penn Cove Reference,Sum40CBs,24.87114267
Penrose Point State Park,Sum40CBs,42.2481409
Point Defiance Ferry,Sum40CBs,48.05865842
Port Angeles Yacht Club,Sum40CBs,57.69896907
Purdy - Dexters,Sum40CBs,32.6997544
"Purdy, Burley Lagoon",Sum40CBs,44.93073551
Raft Island Park,Sum40CBs,33.06755793
Reach Island,Sum40CBs,21.01721311
Rich Passage,Sum40CBs,55.89845985
Rocky Point,Sum40CBs,60.88630807
S of Skunk Island,Sum40CBs,18.01739589
"Salmon Bay, Commodore Park",Sum40CBs,96.73529412
Salmon Beach,Sum40CBs,34.53075435
"Seattle Aquarium, Pier 59",Sum40CBs,110.1653543
Shilshole Bay,Sum40CBs,90.20566319
"Silverdale, Dyes Inlet",Sum40CBs,68.54072398
Skiff Point,Sum40CBs,21.31009901
"Smith Cove, Terminal 91",Sum40CBs,143.0655412
Squaxin Island,Sum40CBs,25.24702247
"Suquamish, Stormwater Outfall",Sum40CBs,48.33093318
Thea Foss Waterway,Sum40CBs,61.66028827
Three Tree Point,Sum40CBs,37.11426441
Tulalip Bay,Sum40CBs,33.74249412
Tulalip Reservation,Sum40CBs,22.99099576
West Bay Park,Sum40CBs,46.56538267
Williams Olson Park,Sum40CBs,40.36790954
Aiston Preserve,SumBDEs,-1.095784314
Arroyo Beach,SumBDEs,5.643129161
Blair Waterway,SumBDEs,15.95208433
Blair Waterway #2,SumBDEs,9.164254703
Brackenwood Ln,SumBDEs,2.005830212
Broad Spit,SumBDEs,-1.272607482
Browns Point Lighthouse,SumBDEs,7.020817121
Cap Sante,SumBDEs,-1.400613139
Chambers Bay Park,SumBDEs,5.898637138
"Cherry Point Aquatic Reserve, Conoco Phillips",SumBDEs,-1.026235932
Chimacum Creek delta,SumBDEs,-1.559808612
"Chuckanut, Clark's Point",SumBDEs,-1.319775561
Comm Bay Skookum,SumBDEs,12.53005873
"Comm Bay, Dick Gilmur Launch",SumBDEs,11.06804245
"Comm Bay, Milwaukee Waterway",SumBDEs,10.09568733
Des Moines Marina,SumBDEs,5.083988945
Discovery Bay,SumBDEs,-0.894344487
Donkey Creek Delta,SumBDEs,1.520785372
Eagle Harbor Dr,SumBDEs,2.131132075
"Eastsound, Fishing Bay",SumBDEs,2.975782537
Edmonds Ferry,SumBDEs,5.261635514
Edmonds Marina,SumBDEs,8.785595568
Eld Inlet,SumBDEs,-1.233361502
Elliot Bay Myrtle Edwards,SumBDEs,6.173415536
