sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell
13,48.02667,-122.75076,S of Skunk Island,9,9,2931739,8.989,0.815
14,48.02667,-122.75076,S of Skunk Island,9,9,8066086,8.102,0.855
15,48.02667,-122.75076,S of Skunk Island,9,9,NA,0.978,0.78
16,48.02667,-122.75076,S of Skunk Island,9,9,1279970,22.376,0.695
21,47.8111,-122.388,Edmonds Marina,68,9,2670664,7.034,0.665
22,47.8111,-122.388,Edmonds Marina,68,9,6702704,11.402,0.885
23,47.8111,-122.388,Edmonds Marina,68,9,52691211,23.271,0.865
24,47.8111,-122.388,Edmonds Marina,68,9,NA,13.708,0.645
37,47.29,-122.41,Comm Bay Skookum,45,11,6405636,7.884,0.695
38,47.29,-122.41,Comm Bay Skookum,45,11,6222160,4.124,0.8
39,47.29,-122.41,Comm Bay Skookum,45,11,NA,17.324,0.66
40,47.29,-122.41,Comm Bay Skookum,45,11,4652774,6.966,0.865
61,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,NA,5.992,0.73
62,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1670358,13.528,0.755
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4330874,10.958,0.74
64,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3613765,17.031,0.825
104,47.5706,-122.9717,Hood Canal Holly,29,12,NA,-2.253,0.725
105,47.5706,-122.9717,Hood Canal Holly,29,12,NA,9.83,0.69
106,47.5706,-122.9717,Hood Canal Holly,29,12,291625,-1.043,0.755
107,47.5706,-122.9717,Hood Canal Holly,29,12,1692340,-1.628,0.575
108,47.5706,-122.9717,Hood Canal Holly,29,12,NA,-0.271,0.63
109,47.5706,-122.9717,Hood Canal Holly,29,12,380080,-6.292,0.685
114,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,NA,31.015,0.635
115,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4636577,11.286,0.93
116,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4040140,4.915,0.87
117,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,2353038,8.819,0.895
118,47.259189,-122.434689,Thea Foss Waterway,46,11,735845,8.373,0.87
119,47.259189,-122.434689,Thea Foss Waterway,46,11,1453865,13.402,0.89
120,47.259189,-122.434689,Thea Foss Waterway,46,11,NA,13.817,0.925
121,47.259189,-122.434689,Thea Foss Waterway,46,11,NA,23.09,0.95
122,47.259189,-122.434689,Thea Foss Waterway,46,11,8793140,0.255,0.85
123,47.29464,-122.53053,Salmon Beach,40,11,917068,0,0.935
124,47.29464,-122.53053,Salmon Beach,40,11,2352820,12.933,0.685
125,47.29464,-122.53053,Salmon Beach,40,11,NA,8.918,0.8
126,47.29464,-122.53053,Salmon Beach,40,11,1382918,7.345,1.035
202,47.30008,-122.74566,Maple Hollow Park,51,13,5080836,-4.055,0.8
203,47.30008,-122.74566,Maple Hollow Park,51,13,34233996,3.694,0.665
204,47.30008,-122.74566,Maple Hollow Park,51,13,1210309,-4.118,0.735
205,47.30008,-122.74566,Maple Hollow Park,51,13,NA,14.787,0.9
265,47.33775,-122.59014,Donkey Creek Delta,44,11,4434123,0.189,0.755
266,47.33775,-122.59014,Donkey Creek Delta,44,11,2345306,-0.369,0.635
267,47.33775,-122.59014,Donkey Creek Delta,44,11,1872905,6.206,0.695
268,47.33775,-122.59014,Donkey Creek Delta,44,11,NA,3.605,0.85
