latitude,longitude,reporting_area,site_number,site_name,sample_id,p450,PAHgroup8
47.4030,-122.3306,11,21,Des Moines Marina,1,5083144.37,8
47.4030,-122.3306,11,21,Des Moines Marina,2,10486497.94,8
47.4030,-122.3306,11,21,Des Moines Marina,3,3510592.064,8
47.4030,-122.3306,11,21,Des Moines Marina,4,16661987.34,8
47.7296,-122.5506,10,34,Suquamish Stormwater Outfall,5,5049234.832,5
47.7296,-122.5506,10,34,Suquamish Stormwater Outfall,6,1547924.931,5
47.7296,-122.5506,10,34,Suquamish Stormwater Outfall,7,5631534.737,5
47.7296,-122.5506,10,34,Suquamish Stormwater Outfall,8,2072178.784,5
47.2619,-122.7376,13,50,Pennrose Point State Park,9,7519523.24,3
47.2619,-122.7376,13,50,Pennrose Point State Park,10,2798616.172,3
47.2619,-122.7376,13,50,Pennrose Point State Park,11,9112234.612,3
47.2619,-122.7376,13,50,Pennrose Point State Park,12,10820981.27,3
48.0267,-122.7508,9,9,S of Skunk Island,13,2931739.411,4
48.0267,-122.7508,9,9,S of Skunk Island,14,8066086.487,4
48.0267,-122.7508,9,9,S of Skunk Island,16,1279969.501,4
47.9497,-122.3016,8.2,65,Mukilteo,17,13015373,6
47.9497,-122.3016,8.2,65,Mukilteo,18,6552123.968,6
47.9497,-122.3016,8.2,65,Mukilteo,19,11487223.84,6
47.9497,-122.3016,8.2,65,Mukilteo,20,3799311.348,6
47.8111,-122.3880,9,68,Edmonds Marina,21,2670663.546,7
47.8111,-122.3880,9,68,Edmonds Marina,22,6702703.93,7
47.8111,-122.3880,9,68,Edmonds Marina,23,52691210.55,7
48.6898,-122.5043,7,74,"Chuckanut, Clark's Point",25,4394757.107,3
48.6898,-122.5043,7,74,"Chuckanut, Clark's Point",26,2351039.245,3
48.6898,-122.5043,7,74,"Chuckanut, Clark's Point",27,3154062.109,3
48.6898,-122.5043,7,74,"Chuckanut, Clark's Point",28,1063513.081,3
47.5877,-122.3507,10,14,"Elliott Bay, Harbor Island, Pier 17",29,6895112.507,8
47.5877,-122.3507,10,14,"Elliott Bay, Harbor Island, Pier 17",30,12184392.72,8
47.5877,-122.3507,10,14,"Elliott Bay, Harbor Island, Pier 17",31,8570642.497,8
47.5877,-122.3507,10,14,"Elliott Bay, Harbor Island, Pier 17",32,9121682.642,8
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",33,4058829.908,4
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",34,2992400.261,4
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",35,3977529.473,4
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",36,3836040.833,4
47.2900,-122.4100,11,45,Comm Bay Skookum,37,6405635.77,7
47.2900,-122.4100,11,45,Comm Bay Skookum,38,6222160.272,7
47.2900,-122.4100,11,45,Comm Bay Skookum,40,4652774.201,7
48.2142,-122.7190,8.1,3,Penn Cove Reference,41,1820616.389,2
48.2142,-122.7190,8.1,3,Penn Cove Reference,42,3013774.793,2
48.2142,-122.7190,8.1,3,Penn Cove Reference,43,956165.3963,2
48.2142,-122.7190,8.1,3,Penn Cove Reference,44,3372680.626,2
47.6428,-122.6967,10,35,"Silverdale, Dyes Inlet",45,958896.736,5
47.6428,-122.6967,10,35,"Silverdale, Dyes Inlet",46,1900324.089,5
47.6428,-122.6967,10,35,"Silverdale, Dyes Inlet",47,1494268.126,5
47.6428,-122.6967,10,35,"Silverdale, Dyes Inlet",48,1326495.432,5
48.6937,-122.9099,7,60,"Eastsound, Fishing Bay",49,5588536.414,6
48.6937,-122.9099,7,60,"Eastsound, Fishing Bay",50,420155.34,6
48.6937,-122.9099,7,60,"Eastsound, Fishing Bay",51,5289198.37,6
48.6937,-122.9099,7,60,"Eastsound, Fishing Bay",52,776432.7164,6
47.5417,-122.6403,10,25,Kitsap St Boat Launch,53,3525403.086,7
47.5417,-122.6403,10,25,Kitsap St Boat Launch,54,990428.3988,7
47.5417,-122.6403,10,25,Kitsap St Boat Launch,55,1035758.422,7
