SiteName,DryValue
Aiston Preserve,23.1332244
Aiston Preserve,28.00337691
Arroyo Beach,34.81930759
Arroyo Beach,49.22729694
Blair Waterway,37.4048874
Blair Waterway,50.60661236
Blair Waterway #2,42.15557164
Blair Waterway #2,54.98552822
Brackenwood Ln,29.49750312
Brackenwood Ln,44.24625468
Broad Spit,23.4427694
Broad Spit,30.14070352
Browns Point Lighthouse,40.36969844
Browns Point Lighthouse,53.2411965
Cap Sante,22.28248175
Cap Sante,29.28554745
Chambers Bay Park,35.39182283
Chambers Bay Park,45.41950596
"Cherry Point Aquatic Reserve, Conoco Phillips",30.18340975
"Cherry Point Aquatic Reserve, Conoco Phillips",39.23843268
Chimacum Creek delta,22.46124402
Chimacum Creek delta,29.32440191
"Chuckanut, Clark's Point",22.37880299
"Chuckanut, Clark's Point",31.55985037
Comm Bay Skookum,72.54244527
Comm Bay Skookum,92.32674853
"Comm Bay, Dick Gilmur Launch",71.61674528
"Comm Bay, Dick Gilmur Launch",84.6379717
"Comm Bay, Milwaukee Waterway",47.11320755
"Comm Bay, Milwaukee Waterway",56.53584906
Des Moines Marina,44.10207278
Des Moines Marina,55.12759097
Discovery Bay,11.76769062
Discovery Bay,16.94547449
Donkey Creek Delta,79.34532374
Donkey Creek Delta,105.793765
Drayton Harbor,22.00470852
Drayton Harbor,25.88789238
Eagle Harbor Dr,75.62081558
Eagle Harbor Dr,103.119294
"Eastsound, Fishing Bay",15.98105437
"Eastsound, Fishing Bay",24.79818781
Edmonds Ferry,35.66219626
Edmonds Ferry,47.93934579
Edmonds Marina,40.99944598
Edmonds Marina,52.71357341
Eld Inlet,31.10215962
Eld Inlet,42.36328638
Elliot Bay Myrtle Edwards,120.784217
Elliot Bay Myrtle Edwards,140.9149199
"Elliott Bay, Harbor Island, Pier 17",108.4074684
"Elliott Bay, Harbor Island, Pier 17",136.9357496
Everett Harbor,34.61857305
Everett Harbor,46.60192525
"Fidalgo Bay Aq Reserve, Weaverling Spit",22.89475632
"Fidalgo Bay Aq Reserve, Weaverling Spit",26.71054904
Filucy Bay,41.51647184
Filucy Bay,54.56450584
Friday Harbor,16.29415971
Friday Harbor,25.69463647
Gig Harbor Boat Launch,55.40913758
Gig Harbor Boat Launch,73.8788501
Hood Canal Holly,18.43963134
Hood Canal Holly,25.26912442
Jamestown,32.48131182
Jamestown,39.11015096
Kingston Marina,36.40146214
Kingston Marina,49.40198433
Kitsap St Boat Launch,116.3306549
Kitsap St Boat Launch,146.6777822
Kopachuck State Park,31.71267874
Kopachuck State Park,43.18322212
Lions Park,58.57672322
Lions Park,85.56150583
Locust Beach,20.48069984
Locust Beach,28.80098414
Madrona Pont,53.0332314
Madrona Pont,72.31804281
"Manchester, Stormwater Outfall",41.04681746
"Manchester, Stormwater Outfall",55.41320358
Maple Hollow Park,35.98765432
Maple Hollow Park,49.07407407
Maristone Island,31.04430735
Maristone Island,36.68872686
Meyer's Point - Henderson Inlet,49.06902985
Meyer's Point - Henderson Inlet,56.50373134
Miller Creek,43.84752475
Miller Creek,54.01506672
Minter Bay,31.57959184
Minter Bay,42.10612245
Mukilteo,31.07277406
Mukilteo,42.07771487
N Avenue Park,26.59131514
N Avenue Park,35.81687345
North Camano,19.04379562
North Camano,26.66131387
Oak Bay County Park,30.13767748
Oak Bay County Park,36.54994929
Penn Cove Baseline 1,19.48172135
Penn Cove Baseline 1,26.47515978
Penn Cove Baseline 2,16.7755102
Penn Cove Baseline 2,22.36734694
Penn Cove Baseline 3,26.64533513
Penn Cove Baseline 3,31.44149545
Penn Cove Reference,24.87114267
Penn Cove Reference,34.38069722
Penrose Point State Park,42.2481409
Penrose Point State Park,50.16966732
Point Defiance Ferry,48.05865842
Point Defiance Ferry,63.69219791
Port Angeles Yacht Club,57.69896907
Port Angeles Yacht Club,72.12371134
Purdy - Dexters,32.6997544
Purdy - Dexters,44.74703234
"Purdy, Burley Lagoon",44.93073551
"Purdy, Burley Lagoon",59.08699464
Raft Island Park,33.06755793
Raft Island Park,43.62103387
Reach Island,21.01721311
Reach Island,30.35819672
Rich Passage,55.89845985
Rich Passage,71.35973597
Rocky Point,60.88630807
Rocky Point,85.2408313
S of Skunk Island,18.01739589
S of Skunk Island,28.22725356
"Salmon Bay, Commodore Park",96.73529412
"Salmon Bay, Commodore Park",126.5
Salmon Beach,34.53075435
Salmon Beach,47.62862669
"Seattle Aquarium, Pier 59",110.1653543
"Seattle Aquarium, Pier 59",136.0866142
Shilshole Bay,90.20566319
Shilshole Bay,112.757079
"Silverdale, Dyes Inlet",68.54072398
"Silverdale, Dyes Inlet",95.95701357
Skiff Point,21.31009901
Skiff Point,31.37320132
"Smith Cove, Terminal 91",143.0655412
"Smith Cove, Terminal 91",175.5804369
Squaxin Island,25.24702247
Squaxin Island,35.60477528
"Suquamish, Stormwater Outfall",48.33093318
"Suquamish, Stormwater Outfall",63.7968318
Thea Foss Waterway,61.66028827
Thea Foss Waterway,84.37723658
Three Tree Point,37.11426441
Three Tree Point,48.30745527
Tulalip Bay,33.74249412
Tulalip Bay,46.07148235
Tulalip Reservation,22.99099576
Tulalip Reservation,29.47563559
West Bay Park,46.56538267
West Bay Park,64.78661936
Williams Olson Park,40.36790954
Williams Olson Park,58.44309291
