sample_id,latitude,longitude,lat_range,long_range,label,site_name,site_number,reporting_area,geo_group,p16,p42,plmw,phmw,pcb,p450,sod,shell,ci1,ci2,ci3
1,47.40301418,-122.3305538,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Des Moines Marina,21,11,4,1,1,1,1,1,5083144,4.027,0.880,0.032,0.667,0.049
2,47.40301418,-122.3305538,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Des Moines Marina,21,11,4,1,1,1,1,1,10486498,4.410,1.145,0.034,0.664,0.051
3,47.40301418,-122.3305538,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Des Moines Marina,21,11,4,1,1,1,1,1,3510592,5.064,0.945,0.029,0.636,0.044
4,47.40301418,-122.3305538,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Des Moines Marina,21,11,4,1,1,1,1,1,16661987,21.670,1.010,0.034,0.645,0.052
5,47.7296079,-122.5506191,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Suquamish Stormwater Outfall,34,10,3,2,2,2,1,2,5049235,0.512,1.015,0.036,0.688,0.052
6,47.7296079,-122.5506191,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Suquamish Stormwater Outfall,34,10,3,2,2,2,1,2,1547925,6.049,1.065,0.035,0.655,0.055
7,47.7296079,-122.5506191,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Suquamish Stormwater Outfall,34,10,3,2,2,2,1,2,5631535,2.326,1.020,0.018,0.658,0.059
8,47.7296079,-122.5506191,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Suquamish Stormwater Outfall,34,10,3,2,2,2,1,2,2072179,14.390,0.985,0.024,0.659,0.072
9,47.2619,-122.7376,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Pennrose Point State Park,50,13,3,2,2,2,1,2,7519523,2.458,0.955,0.042,0.660,0.117
10,47.2619,-122.7376,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Pennrose Point State Park,50,13,3,2,2,2,1,2,2798616,4.845,0.810,0.021,0.643,0.050
11,47.2619,-122.7376,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Pennrose Point State Park,50,13,5,2,3,3,2,2,9112235,7.438,0.855,0.022,0.694,0.046
12,47.2619,-122.7376,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Pennrose Point State Park,50,13,5,2,3,3,2,2,10820981,2.951,0.810,0.020,0.709,0.046
13,48.02667,-122.75076,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",S of Skunk Island,9,9,5,2,3,3,2,2,2931739,8.989,0.815,0.032,0.716,0.056
14,48.02667,-122.75076,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",S of Skunk Island,9,9,5,2,3,3,2,2,8066086,8.102,0.855,0.036,0.683,0.059
15,48.02667,-122.75076,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",S of Skunk Island,9,9,5,3,3,4,2,3,NA,0.978,0.780,0.034,0.709,0.061
16,48.02667,-122.75076,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",S of Skunk Island,9,9,5,3,3,4,2,3,1279970,22.376,0.695,0.034,0.735,0.058
17,47.94968,-122.30158,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Mukilteo,65,8.2,5,3,3,4,2,3,13015373,7.613,0.805,0.032,0.686,0.047
18,47.94968,-122.30158,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Mukilteo,65,8.2,5,3,3,4,2,3,6552124,6.400,0.830,0.033,0.709,0.053
19,47.94968,-122.30158,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Mukilteo,65,8.2,3,2,2,2,1,2,11487224,0.271,0.855,0.032,0.675,0.049
20,47.94968,-122.30158,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Mukilteo,65,8.2,3,2,2,2,1,2,3799311,16.142,0.675,0.034,0.726,0.054
21,47.8111,-122.388,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Edmonds Marina,68,9,3,2,2,2,1,2,2670664,7.034,0.665,0.037,0.719,0.055
