"","region","site_name"
"1","Central","Arroyo Beach"
"2","Central","Brackenwood Ln"
"3","Central","Des Moines Marina"
"4","Central","Eagle Harbor Dr"
"5","Central","Elliot Bay Myrtle Edwards"
"6","Central","Elliott Bay, Harbor Island, Pier 17"
"7","Central","Hood Canal Holly"
"8","Central","Kitsap St Boat Launch"
"9","Central","Lions Park"
"10","Central","Madrona Pont"
"11","Central","Manchester, Stormwater Outfall"
"12","Central","Miller Creek"
"13","Central","Purdy - Dexters"
"14","Central","Purdy, Burley Lagoon"
"15","Central","Rich Passage"
"16","Central","Rocky Point"
"17","Central","Salmon Bay, Commodore Park"
"18","Central","Seattle Aquarium, Pier 59"
"19","Central","Shilshole Bay"
"20","Central","Silverdale, Dyes Inlet"
"21","Central","Skiff Point"
"22","Central","Smith Cove, Terminal 91"
"23","Central","Suquamish Stormwater Outfall"
"24","Central","Three Tree Point"
"25","Central","Williams Olson Park"
"26","North","Aiston Preserve"
"27","North","Broad Spit (Fisherman's Point)"
"28","North","Cap Sante"
"29","North","Cherry Point Aquatic Reserve, Conoco Phillips"
"30","North","Chimacum Creek delta"
"31","North","Chuckanut, Clark's Point"
"32","North","Discovery Bay"
"33","North","Eastsound, Fishing Bay"
"34","North","Edmonds Ferry"
"35","North","Edmonds Marina"
"36","North","Everett Harbor"
"37","North","Fidalgo Bay Aq Reserve, Weaverling Spit"
"38","North","Friday Harbor"
"39","North","Jamestown"
"40","North","Kingston Marina"
"41","North","Locust Beach"
"42","North","Maristone Island"
"43","North","Mukilteo"
"44","North","N Avenue Park"
"45","North","North Camano"
"46","North","Oak Bay County Park"
"47","North","Penn Cove Reference"
"48","North","Port Angeles Yacht Club"
"49","North","S of Skunk Island"
"50","North","Tulalip Bay"
"51","North","Tulalip Reservation"
"52","South","Blair Waterway"
"53","South","Blair Waterway #2"
"54","South","Browns Point Lighthouse"
"55","South","Chambers Bay Park"
"56","South","Comm Bay Skookum"
"57","South","Comm Bay, Dick Gilmur Launch"
"58","South","Comm Bay, Milwaukee Waterway"
"59","South","Donkey Creek Delta"
"60","South","Eld Inlet"
"61","South","Filucy Bay"
"62","South","Gig Harbor Boat Launch"
"63","South","Kopachuck State Park"
"64","South","Maple Hollow Park"
"65","South","Meyer's Point - Henderson Inlet"
"66","South","Minter Bay"
"67","South","Pennrose Point State Park"
"68","South","Point Defiance Ferry"
"69","South","Raft Island Park"
"70","South","Reach Island"
"71","South","Salmon Beach"
"72","South","Squaxin Island"
"73","South","Thea Foss Waterway"
"74","South","West Bay Park"
