site_number,individual ,valve,notch,top,opp,bottom,avg,total_avg,total_avg
21,1,L,0.54,0.42,0.65,2.11,0.93,,0.88
21,1,R,0.47,0.38,0.58,1.87,0.83,0.88,1.145
21,2,L,0.79,0.68,0.88,2.27,1.16,,0.945
21,2,R,0.65,0.69,1,2.18,1.13,1.145,1.01
21,3,L,0.62,0.8,0.85,1.75,1.01,,1.015
21,3,R,0.44,0.55,0.7,1.83,0.88,0.945,1.065
21,4,L,0.66,0.42,0.78,1.94,0.95,,1.02
21,4,R,0.58,0.46,0.9,2.35,1.07,1.01,0.985
34,5,L,0.55,1,0.58,1.68,0.95,,0.955
34,5,R,0.58,1.41,0.62,1.72,1.08,1.015,0.81
34,6,L,0.58,0.69,0.66,2.33,1.07,,0.855
34,6,R,0.52,0.64,0.68,2.39,1.06,1.065,0.81
34,7,L,0.57,0.58,0.61,2.43,1.05,,0.815
34,7,R,0.49,0.46,0.55,2.44,0.99,1.02,0.855
34,8,L,0.6,0.78,0.57,2.13,1.02,,0.78
34,8,R,0.49,0.59,0.47,2.26,0.95,0.985,0.695
50,9,L,0.55,0.57,0.71,1.81,0.91,,0.805
50,9,R,0.53,0.76,0.64,2.08,1,0.955,0.83
50,10,L,0.45,0.56,0.64,1.49,0.79,,0.855
50,10,R,0.55,0.41,0.51,1.84,0.83,0.81,0.675
50,11,L,0.4,0.69,0.61,1.58,0.82,,0.665
50,11,R,0.56,0.83,0.41,1.76,0.89,0.855,0.885
50,12,L,0.51,0.42,0.69,1.73,0.84,,0.865
50,12,R,0.4,0.38,0.54,1.81,0.78,0.81,0.645
9,13,L,0.6,0.43,0.46,1.81,0.83,,0.985
9,13,R,0.58,0.45,0.54,1.64,0.8,0.815,0.8
9,14,L,0.59,0.63,0.67,1.76,0.91,,0.475
9,14,R,0.55,0.54,0.46,1.65,0.8,0.855,0.65
9,15,L,0.66,0.55,0.51,1.29,0.75,,0.785
9,15,R,0.52,0.57,0.49,1.64,0.81,0.78,0.66
9,16,L,0.47,0.44,0.28,1.51,0.68,,1.04
9,16,R,0.43,0.5,0.31,1.61,0.71,0.695,0.94
65,17,L,0.52,0.26,0.56,1.94,0.82,,0.705
65,17,R,0.47,0.28,0.55,1.86,0.79,0.805,0.86
65,18,L,0.46,0.41,0.43,1.95,0.81,,0.935
65,18,R,0.44,0.34,0.47,2.14,0.85,0.83,0.975
