SiteName,Analyte,Units,DryValue,Comments
Aiston Preserve,SumPAHsHMW,ng/g,19.48061002,NA
Arroyo Beach,SumPAHsHMW,ng/g,186.1031957,dNPH Surrogate recovery below minimum QA value (60%)
Blair Waterway,SumPAHsHMW,ng/g,280.5366555,NA
Blair Waterway #2,SumPAHsHMW,ng/g,403.2272069,NA
Brackenwood Ln,SumPAHsHMW,ng/g,176.9850187,dNPH Surrogate recovery below minimum QA value (60%)
Broad Spit,SumPAHsHMW,ng/g,18.75421552,NA
Browns Point Lighthouse,SumPAHsHMW,ng/g,181.3711089,NA
Cap Sante,SumPAHsHMW,ng/g,120.9620438,NA
Chambers Bay Park,SumPAHsHMW,ng/g,76.68228279,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",SumPAHsHMW,ng/g,150.9170488,NA
Chimacum Creek delta,SumPAHsHMW,ng/g,56.77703349,NA
"Chuckanut, Clark's Point",SumPAHsHMW,ng/g,74.59600998,NA
Comm Bay Skookum,SumPAHsHMW,ng/g,369.3069941,NA
"Comm Bay, Dick Gilmur Launch",SumPAHsHMW,ng/g,338.5518868,NA
"Comm Bay, Milwaukee Waterway",SumPAHsHMW,ng/g,215.3746631,NA
Des Moines Marina,SumPAHsHMW,ng/g,8575.40304,NA
Discovery Bay,SumPAHsHMW,ng/g,98.84860121,NA
Donkey Creek Delta,SumPAHsHMW,ng/g,284.3207434,NA
Eagle Harbor Dr,SumPAHsHMW,ng/g,653.0888618,NA
"Eastsound, Fishing Bay",SumPAHsHMW,ng/g,270.0247117,dNPH Surrogate recovery below minimum QA value (60%)
Edmonds Ferry,SumPAHsHMW,ng/g,268.9280374,NA
Edmonds Marina,SumPAHsHMW,ng/g,374.8520776,NA
Eld Inlet,SumPAHsHMW,ng/g,75.0741784,NA
Elliot Bay Myrtle Edwards,SumPAHsHMW,ng/g,9394.32799,NA
"Elliott Bay, Harbor Island, Pier 17",SumPAHsHMW,ng/g,2054.036244,dNPH Surrogate recovery below minimum QA value (60%)
Everett Harbor,SumPAHsHMW,ng/g,166.4354473,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumPAHsHMW,ng/g,254.3861814,NA
Filucy Bay,SumPAHsHMW,ng/g,59.30924548,NA
Friday Harbor,SumPAHsHMW,ng/g,319.6162098,NA
Gig Harbor Boat Launch,SumPAHsHMW,ng/g,246.2628337,NA
Hood Canal Holly,SumPAHsHMW,ng/g,11.61013825,NA
Jamestown,SumPAHsHMW,ng/g,15.24633004,NA
Kingston Marina,SumPAHsHMW,ng/g,123.5049608,NA
Kitsap St Boat Launch,SumPAHsHMW,ng/g,354.0498192,NA
Kopachuck State Park,SumPAHsHMW,ng/g,53.97902765,NA
Lions Park,SumPAHsHMW,ng/g,131.6330859,NA
Locust Beach,SumPAHsHMW,ng/g,27.5209404,NA
Madrona Pont,SumPAHsHMW,ng/g,120.5300714,NA
"Manchester, Stormwater Outfall",SumPAHsHMW,ng/g,171.0284061,NA
Maple Hollow Park,SumPAHsHMW,ng/g,64.77777778,NA
Maristone Island,SumPAHsHMW,ng/g,23.98878295,NA
Meyer's Point - Henderson Inlet,SumPAHsHMW,ng/g,52.7863806,NA
Miller Creek,SumPAHsHMW,ng/g,120.7395609,NA
Minter Bay,SumPAHsHMW,ng/g,65.79081633,NA
Mukilteo,SumPAHsHMW,ng/g,194.2048379,NA
N Avenue Park,SumPAHsHMW,ng/g,1085.359801,dNPH Surrogate recovery below minimum QA value (60%)
North Camano,SumPAHsHMW,ng/g,54.59221411,NA
Oak Bay County Park,SumPAHsHMW,ng/g,33.98504057,NA
Penn Cove Reference,SumPAHsHMW,ng/g,46.81626856,NA
Penrose Point State Park,SumPAHsHMW,ng/g,85.8165362,NA
Point Defiance Ferry,SumPAHsHMW,ng/g,335.831589,NA
Port Angeles Yacht Club,SumPAHsHMW,ng/g,1202.061856,dNPH Surrogate recovery below minimum QA value (60%)
Purdy - Dexters,SumPAHsHMW,ng/g,57.36799018,NA
"Purdy, Burley Lagoon",SumPAHsHMW,ng/g,86.16853385,NA
Raft Island Park,SumPAHsHMW,ng/g,61.91372549,NA
Reach Island,SumPAHsHMW,ng/g,81.73360656,NA
Rich Passage,SumPAHsHMW,ng/g,142.7194719,NA
Rocky Point,SumPAHsHMW,ng/g,133.9498778,dNPH Surrogate recovery below minimum QA value (60%)
S of Skunk Island,SumPAHsHMW,ng/g,132.1275698,dNPH Surrogate recovery below minimum QA value (60%)
"Salmon Bay, Commodore Park",SumPAHsHMW,ng/g,535.7647059,NA
Salmon Beach,SumPAHsHMW,ng/g,226.2359768,dNPH Surrogate recovery below minimum QA value (60%)
"Seattle Aquarium, Pier 59",SumPAHsHMW,ng/g,2203.307087,NA
Shilshole Bay,SumPAHsHMW,ng/g,1277.913562,NA
"Silverdale, Dyes Inlet",SumPAHsHMW,ng/g,150.7895928,NA
Skiff Point,SumPAHsHMW,ng/g,213.1009901,dNPH Surrogate recovery below minimum QA value (60%)
"Smith Cove, Terminal 91",SumPAHsHMW,ng/g,4682.144985,NA
Squaxin Island,SumPAHsHMW,ng/g,77.68314607,NA
"Suquamish, Stormwater Outfall",SumPAHsHMW,ng/g,193.3237327,NA
Thea Foss Waterway,SumPAHsHMW,ng/g,545.2067594,NA
Three Tree Point,SumPAHsHMW,ng/g,141.387674,NA
Tulalip Bay,SumPAHsHMW,ng/g,168.7124706,NA
Tulalip Reservation,SumPAHsHMW,ng/g,117.9025424,NA
West Bay Park,SumPAHsHMW,ng/g,202.4581855,NA
Williams Olson Park,SumPAHsHMW,ng/g,156.6515892,NA
