site_name,analyte,dryvalue
Arroyo Beach,Sum40CBs,34.81930759
Brackenwood Ln,Sum40CBs,29.49750312
Salmon Beach,Sum40CBs,34.53075435
Chimacum Creek delta,Sum40CBs,22.46124402
Skiff Point,Sum40CBs,21.31009901
S of Skunk Island,Sum40CBs,18.01739589
Blair Waterway,Sum40CBs,37.4048874
"Chuckanut, Clark's Point",Sum40CBs,22.37880299
Kitsap St Boat Launch,Sum40CBs,116.3306549
"Eastsound, Fishing Bay",Sum40CBs,15.98105437
"Elliott Bay, Harbor Island, Pier 17",Sum40CBs,108.4074684
Williams Olson Park,Sum40CBs,40.36790954
Rocky Point,Sum40CBs,60.88630807
N Avenue Park,Sum40CBs,26.59131514
Port Angeles Yacht Club,Sum40CBs,57.69896907
Discovery Bay,Sum40CBs,11.76769062
Squaxin Island,Sum40CBs,25.24702247
Eld Inlet,Sum40CBs,31.10215962
North Camano,Sum40CBs,19.04379562
Reach Island,Sum40CBs,21.01721311
Friday Harbor,Sum40CBs,16.29415971
Tulalip Reservation,Sum40CBs,22.99099576
Drayton Harbor,Sum40CBs,22.00470852
Three Tree Point,Sum40CBs,37.11426441
Cap Sante,Sum40CBs,22.28248175
Locust Beach,Sum40CBs,20.48069984
Blair Waterway #2,Sum40CBs,42.15557164
West Bay Park,Sum40CBs,46.56538267
Lions Park,Sum40CBs,58.57672322
Madrona Pont,Sum40CBs,53.0332314
Aiston Preserve,Sum40CBs,23.1332244
Penn Cove Reference,Sum40CBs,24.87114267
Hood Canal Holly,Sum40CBs,18.43963134
Broad Spit,Sum40CBs,23.4427694
Penn Cove Baseline 1,Sum40CBs,19.48172135
Penn Cove Baseline 2,Sum40CBs,16.7755102
Penn Cove Baseline 3,Sum40CBs,26.64533513
"Manchester, Stormwater Outfall",Sum40CBs,41.04681746
"Suquamish, Stormwater Outfall",Sum40CBs,48.33093318
"Silverdale, Dyes Inlet",Sum40CBs,68.54072398
Kingston Marina,Sum40CBs,36.40146214
Eagle Harbor Dr,Sum40CBs,75.62081558
Point Defiance Ferry,Sum40CBs,48.05865842
"Smith Cove, Terminal 91",Sum40CBs,143.0655412
Donkey Creek Delta,Sum40CBs,79.34532374
Comm Bay Skookum,Sum40CBs,72.54244527
Thea Foss Waterway,Sum40CBs,61.66028827
"Salmon Bay, Commodore Park",Sum40CBs,96.73529412
"Seattle Aquarium, Pier 59",Sum40CBs,110.1653543
"Cherry Point Aquatic Reserve, Conoco Phillips",Sum40CBs,30.18340975
Mukilteo,Sum40CBs,31.07277406
Everett Harbor,Sum40CBs,34.61857305
Tulalip Bay,Sum40CBs,33.74249412
Edmonds Marina,Sum40CBs,40.99944598
Edmonds Ferry,Sum40CBs,35.66219626
Rich Passage,Sum40CBs,55.89845985
Meyer's Point - Henderson Inlet,Sum40CBs,49.06902985
"Purdy, Burley Lagoon",Sum40CBs,44.93073551
"Comm Bay, Dick Gilmur Launch",Sum40CBs,71.61674528
