site_name,Analyte,Units,DryValue,Comments
Aiston Preserve,SumPAHs16,ng/g,31.65599129,NA
Arroyo Beach,SumPAHs16,ng/g,168.0932091,NA
Blair Waterway,SumPAHs16,ng/g,247.5323431,NA
Blair Waterway #2,SumPAHs16,ng/g,299.3656536,NA
Brackenwood Ln,SumPAHs16,ng/g,176.9850187,NA
Broad Spit,SumPAHs16,ng/g,35.49905081,NA
Browns Point Lighthouse,SumPAHs16,ng/g,175.520428,NA
Cap Sante,SumPAHs16,ng/g,63.66423358,NA
Chambers Bay Park,SumPAHs16,ng/g,70.78364566,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",SumPAHs16,ng/g,126.770321,NA
Chimacum Creek delta,SumPAHs16,ng/g,68.63157895,NA
"Chuckanut, Clark's Point",SumPAHs16,ng/g,80.33416459,NA
Comm Bay Skookum,SumPAHs16,ng/g,342.9279231,NA
"Comm Bay, Dick Gilmur Launch",SumPAHs16,ng/g,332.0412736,NA
"Comm Bay, Milwaukee Waterway",SumPAHs16,ng/g,195.1832884,NA
Des Moines Marina,SumPAHs16,ng/g,9800.460617,NA
Discovery Bay,SumPAHs16,ng/g,117.6769062,NA
Donkey Creek Delta,SumPAHs16,ng/g,257.8723022,NA
Eagle Harbor Dr,SumPAHs16,ng/g,577.4680463,NA
"Eastsound, Fishing Bay",SumPAHs16,ng/g,292.0675453,NA
Edmonds Ferry,SumPAHs16,ng/g,268.9280374,NA
Edmonds Marina,SumPAHs16,ng/g,374.8520776,NA
Eld Inlet,SumPAHs16,ng/g,64.34929577,NA
Elliot Bay Myrtle Edwards,SumPAHs16,ng/g,8052.281134,NA
"Elliott Bay, Harbor Island, Pier 17",SumPAHs16,ng/g,1882.866557,NA
Everett Harbor,SumPAHs16,ng/g,173.0928652,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumPAHs16,ng/g,165.3510179,NA
Filucy Bay,SumPAHs16,ng/g,65.24017003,NA
Friday Harbor,SumPAHs16,ng/g,338.4171633,NA
Gig Harbor Boat Launch,SumPAHs16,ng/g,233.949692,NA
Hood Canal Holly,SumPAHs16,ng/g,24.58617512,NA
Jamestown,SumPAHs16,ng/g,31.15554399,NA
Kingston Marina,SumPAHs16,ng/g,123.5049608,NA
Kitsap St Boat Launch,SumPAHs16,ng/g,303.4712736,NA
Kopachuck State Park,SumPAHs16,ng/g,59.37693041,NA
Lions Park,SumPAHs16,ng/g,118.4697773,NA
Locust Beach,SumPAHs16,ng/g,46.08157463,NA
Madrona Pont,SumPAHs16,ng/g,108.4770642,NA
"Manchester, Stormwater Outfall",SumPAHs16,ng/g,171.0284061,NA
Maple Hollow Park,SumPAHs16,ng/g,71.97530864,NA
Maristone Island,SumPAHs16,ng/g,41.62759394,NA
Meyer's Point - Henderson Inlet,SumPAHs16,ng/g,66.16884328,NA
Miller Creek,SumPAHs16,ng/g,114.3848472,NA
Minter Bay,SumPAHs16,ng/g,78.94897959,NA
Mukilteo,SumPAHs16,ng/g,207.1518271,NA
N Avenue Park,SumPAHs16,ng/g,976.8238213,NA
North Camano,SumPAHs16,ng/g,63.47931873,NA
Oak Bay County Park,SumPAHs16,ng/g,47.45081136,NA
Penn Cove Reference,SumPAHs16,ng/g,64.37236927,NA
Pennrose Point State Park,SumPAHs16,ng/g,85.8165362,NA
Point Defiance Ferry,SumPAHs16,ng/g,335.831589,NA
Port Angeles Yacht Club,SumPAHs16,ng/g,1081.85567,NA
Purdy - Dexters,SumPAHs16,ng/g,68.84158821,NA
"Purdy, Burley Lagoon",SumPAHs16,ng/g,86.16853385,NA
Raft Island Park,SumPAHs16,ng/g,70.35650624,NA
Reach Island,SumPAHs16,ng/g,81.73360656,NA
Rich Passage,SumPAHs16,ng/g,142.7194719,NA
Rocky Point,SumPAHs16,ng/g,133.9498778,NA
S of Skunk Island,SumPAHs16,ng/g,144.1391671,NA
"Salmon Bay, Commodore Park",SumPAHs16,ng/g,409.2647059,NA
Salmon Beach,SumPAHs16,ng/g,214.3288201,NA
"Seattle Aquarium, Pier 59",SumPAHs16,ng/g,1879.291339,NA
Shilshole Bay,SumPAHs16,ng/g,1052.399404,NA
"Silverdale, Dyes Inlet",SumPAHs16,ng/g,137.081448,NA
Skiff Point,SumPAHs16,ng/g,213.1009901,NA
"Smith Cove, Terminal 91",SumPAHs16,ng/g,4161.906653,NA
Squaxin Island,SumPAHs16,ng/g,71.20955056,NA
Suquamish Stormwater Outfall,SumPAHs16,ng/g,206.2119816,NA
Thea Foss Waterway,SumPAHs16,ng/g,454.3389662,NA
Three Tree Point,SumPAHs16,ng/g,129.6053678,NA
Tulalip Bay,SumPAHs16,ng/g,181.6903529,NA
Tulalip Reservation,SumPAHs16,ng/g,123.7976695,NA
West Bay Park,SumPAHs16,ng/g,161.9665484,NA
Williams Olson Park,SumPAHs16,ng/g,150.6265281,NA
