"SiteName","Analyte","Units","DryValue","Comments","DryValue_Group"
"Aiston Preserve","SumPAHs16","ng/g",31.65599129,NA,"1"
"Arroyo Beach","SumPAHs16","ng/g",168.0932091,NA,"2"
"Blair Waterway","SumPAHs16","ng/g",247.5323431,NA,"2"
"Blair Waterway #2","SumPAHs16","ng/g",299.3656536,NA,"3"
"Brackenwood Ln","SumPAHs16","ng/g",176.9850187,NA,"2"
"Broad Spit","SumPAHs16","ng/g",35.49905081,NA,"1"
"Browns Point Lighthouse","SumPAHs16","ng/g",175.520428,NA,"2"
"Cap Sante","SumPAHs16","ng/g",63.66423358,NA,"1"
"Chambers Bay Park","SumPAHs16","ng/g",70.78364566,NA,"1"
"Cherry Point Aquatic Reserve, Conoco Phillips","SumPAHs16","ng/g",126.770321,NA,"1"
"Chimacum Creek delta","SumPAHs16","ng/g",68.63157895,NA,"1"
"Chuckanut, Clark's Point","SumPAHs16","ng/g",80.33416459,NA,"1"
"Comm Bay Skookum","SumPAHs16","ng/g",342.9279231,NA,"3"
"Comm Bay, Dick Gilmur Launch","SumPAHs16","ng/g",332.0412736,NA,"3"
"Comm Bay, Milwaukee Waterway","SumPAHs16","ng/g",195.1832884,NA,"2"
"Des Moines Marina","SumPAHs16","ng/g",9800.460617,NA,"8"
"Discovery Bay","SumPAHs16","ng/g",117.6769062,NA,"1"
"Donkey Creek Delta","SumPAHs16","ng/g",257.8723022,NA,"2"
"Eagle Harbor Dr","SumPAHs16","ng/g",577.4680463,NA,"3"
"Eastsound, Fishing Bay","SumPAHs16","ng/g",292.0675453,NA,"3"
"Edmonds Ferry","SumPAHs16","ng/g",268.9280374,NA,"2"
"Edmonds Marina","SumPAHs16","ng/g",374.8520776,NA,"3"
"Eld Inlet","SumPAHs16","ng/g",64.34929577,NA,"1"
"Elliot Bay Myrtle Edwards","SumPAHs16","ng/g",8052.281134,NA,"7"
"Elliott Bay, Harbor Island, Pier 17","SumPAHs16","ng/g",1882.866557,NA,"5"
"Everett Harbor","SumPAHs16","ng/g",173.0928652,NA,"2"
"Fidalgo Bay Aq Reserve, Weaverling Spit","SumPAHs16","ng/g",165.3510179,NA,"2"
"Filucy Bay","SumPAHs16","ng/g",65.24017003,NA,"1"
"Friday Harbor","SumPAHs16","ng/g",338.4171633,NA,"3"
"Gig Harbor Boat Launch","SumPAHs16","ng/g",233.949692,NA,"2"
"Hood Canal Holly","SumPAHs16","ng/g",24.58617512,NA,"1"
"Jamestown","SumPAHs16","ng/g",31.15554399,NA,"1"
"Kingston Marina","SumPAHs16","ng/g",123.5049608,NA,"1"
"Kitsap St Boat Launch","SumPAHs16","ng/g",303.4712736,NA,"3"
"Kopachuck State Park","SumPAHs16","ng/g",59.37693041,NA,"1"
"Lions Park","SumPAHs16","ng/g",118.4697773,NA,"1"
"Locust Beach","SumPAHs16","ng/g",46.08157463,NA,"1"
"Madrona Pont","SumPAHs16","ng/g",108.4770642,NA,"1"
"Manchester, Stormwater Outfall","SumPAHs16","ng/g",171.0284061,NA,"2"
"Maple Hollow Park","SumPAHs16","ng/g",71.97530864,NA,"1"
"Maristone Island","SumPAHs16","ng/g",41.62759394,NA,"1"
"Meyer's Point - Henderson Inlet","SumPAHs16","ng/g",66.16884328,NA,"1"
"Miller Creek","SumPAHs16","ng/g",114.3848472,NA,"1"
"Minter Bay","SumPAHs16","ng/g",78.94897959,NA,"1"
"Mukilteo","SumPAHs16","ng/g",207.1518271,NA,"2"
"N Avenue Park","SumPAHs16","ng/g",976.8238213,NA,"4"
"North Camano","SumPAHs16","ng/g",63.47931873,NA,"1"
"Oak Bay County Park","SumPAHs16","ng/g",47.45081136,NA,"1"
"Penn Cove Reference","SumPAHs16","ng/g",64.37236927,NA,"1"
"Penrose Point State Park","SumPAHs16","ng/g",85.8165362,NA,"1"
"Point Defiance Ferry","SumPAHs16","ng/g",335.831589,NA,"3"
"Port Angeles Yacht Club","SumPAHs16","ng/g",1081.85567,NA,"4"
"Purdy - Dexters","SumPAHs16","ng/g",68.84158821,NA,"1"
"Purdy, Burley Lagoon","SumPAHs16","ng/g",86.16853385,NA,"1"
"Raft Island Park","SumPAHs16","ng/g",70.35650624,NA,"1"
"Reach Island","SumPAHs16","ng/g",81.73360656,NA,"1"
"Rich Passage","SumPAHs16","ng/g",142.7194719,NA,"2"
"Rocky Point","SumPAHs16","ng/g",133.9498778,NA,"2"
"S of Skunk Island","SumPAHs16","ng/g",144.1391671,NA,"2"
"Salmon Bay, Commodore Park","SumPAHs16","ng/g",409.2647059,NA,"3"
"Salmon Beach","SumPAHs16","ng/g",214.3288201,NA,"2"
"Seattle Aquarium, Pier 59","SumPAHs16","ng/g",1879.291339,NA,"5"
"Shilshole Bay","SumPAHs16","ng/g",1052.399404,NA,"4"
"Silverdale, Dyes Inlet","SumPAHs16","ng/g",137.081448,NA,"2"
"Skiff Point","SumPAHs16","ng/g",213.1009901,NA,"2"
"Smith Cove, Terminal 91","SumPAHs16","ng/g",4161.906653,NA,"6"
"Squaxin Island","SumPAHs16","ng/g",71.20955056,NA,"1"
"Suquamish, Stormwater Outfall","SumPAHs16","ng/g",206.2119816,NA,"2"
"Thea Foss Waterway","SumPAHs16","ng/g",454.3389662,NA,"3"
"Three Tree Point","SumPAHs16","ng/g",129.6053678,NA,"1"
"Tulalip Bay","SumPAHs16","ng/g",181.6903529,NA,"2"
"Tulalip Reservation","SumPAHs16","ng/g",123.7976695,NA,"1"
"West Bay Park","SumPAHs16","ng/g",161.9665484,NA,"2"
