site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2
Aiston Preserve,48.6793778,-122.6300583,7,77,239,9716178.442,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low,low
Aiston Preserve,48.6793778,-122.6300583,7,77,240,1358796.759,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low,low
Aiston Preserve,48.6793778,-122.6300583,7,77,241,4914880.479,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low,low
Aiston Preserve,48.6793778,-122.6300583,7,77,242,2861585.576,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low,low
Hood Canal Holly,47.5706,-122.9717,12,29,106,291624.5775,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low,low
Hood Canal Holly,47.5706,-122.9717,12,29,107,1692339.728,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low,low
Hood Canal Holly,47.5706,-122.9717,12,29,109,380080.3829,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low,low
Jamestown,48.024789,-122.998135,6,2,82,2974825.251,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
Jamestown,48.024789,-122.998135,6,2,87,2874749.561,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
Jamestown,48.024789,-122.998135,6,2,83,4846845.298,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
Jamestown,48.024789,-122.998135,6,2,84,2235572.381,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
Jamestown,48.024789,-122.998135,6,2,85,3342764.583,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
Jamestown,48.024789,-122.998135,6,2,86,2775717.403,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low,low
