Sample ID,Value,Site ID
1,333779,21
2,633792,21
3,270738,21
4,481880,21
5,897849,34
6,164404,34
7,757106,34
8,129128,34
9,723275,50
10,760225,50
11,569155,50
12,792521,50
13,10096,9
14,536050,9
15,,9
16,160603,9
17,725533,65
18,529703,65
19,501553,65
20,200958,65
21,414460,68
22,970505,68
23,595704,68
24,124100,68
25,376647,74
26,76643,74
27,457870,74
28,180684,74
29,646553,14
30,247504,14
31,813430,14
32,1026874,14
33,731812,75
34,529572,75
35,675776,75
36,552080,75
37,707147,45
38,1156083,45
39,,45
40,588309,45
41,488538,3
42,452551,3
43,290486,3
44,677638,3
45,264543,35
46,534440,35
47,205831,35
48,195793,35
49,480827,60
50,136319,60
51,656748,60
52,114350,60
53,416960,25
54,221197,25
55,419153,25
56,811472,25
57,389237,31
58,221141,31
59,443433,31
60,313412,31
61,,63
62,178189,63
63,519914,63
64,454779,63
65,595122,71
66,360031,71
67,226842,71
68,245476,71
69,562777,19
70,650443,19
71,392541,19
72,383698,19
73,457348,19
74,792914,47
75,804722,47
76,331680,47
77,568870,47
78,170534,17
79,418860,17
80,615397,17
81,653173,17
82,736851,2
83,492471,2
84,469507,2
85,407568,2
86,380114,2
87,867330,2
88,104415,10
89,796669,10
90,368335,10
91,715126,10
92,568790,15
93,523485,15
94,434588,15
95,453442,15
96,179978,23
97,528731,23
98,656928,23
99,261423,23
100,371059,8
101,521528,8
102,576955,8
103,462450,8
104,-141764,29
105,-59917,29
106,72677,29
107,103822,29
108,,29
109,49262,29
110,363896,43
111,298509,43
112,441120,43
113,492624,43
114,,48
115,704559,48
116,438041,48
117,562856,48
118,141305,46
119,479708,46
120,422473,46
121,,46
122,1152785,46
123,121753,40
124,280182,40
125,586956,40
126,150058,40
127,491813,56
128,452961,56
129,495260,56
130,598078,56
131,816045,58
132,487212,58
133,691365,58
134,191342,58
135,467023,67
136,629428,67
137,909955,67
138,1135822,67
139,623826,67
140,867230,67
141,502188,42
142,615772,42
143,368283,42
144,686406,42
145,1330031,57
146,832923,57
147,1090134,57
148,767262,57
149,797432,41
150,673616,41
151,407384,41
152,430012,41
153,629070,28
154,1055518,28
155,922688,28
156,745986,28
157,747535,49
158,510617,49
159,627886,49
160,1011095,49
161,751444,49
162,861221,12
163,315930,12
164,288402,12
165,766541,12
166,720562,36
167,669759,36
168,771593,36
169,1054638,36
170,400430,32
171,481175,32
172,1063195,32
173,646964,32
174,1188355,59
175,844485,59
176,709701,59
177,806397,59
178,547955,55
179,1163440,55
180,918970,55
181,753359,55
182,744377,73
183,540893,73
184,955678,73
185,1199641,73
186,865903,72
187,206602,72
188,640078,72
189,499773,72
190,499877,70
191,901611,70
192,653287,70
193,657573,70
194,280870,54
195,589348,54
196,968659,54
197,1436873,54
198,687836,38
199,326901,38
200,724593,38
201,363146,38
202,805601,51
203,532472,51
204,532125,51
205,,51
206,563405,66
207,893058,66
208,756287,66
209,1070217,66
210,977132,62
211,474704,62
212,297125,62
213,548938,62
214,223431,64
215,615336,64
216,102237,64
217,761717,64
218,1399767,53
219,696781,53
220,465027,53
221,443676,53
222,542874,61
223,352300,61
224,428251,61
225,916628,61
226,556205,61
227,459936,69
228,674783,69
229,621409,69
230,775673,69
231,887175,20
232,827734,20
233,433474,20
234,1167749,20
235,628545,76
236,675017,76
237,611547,76
238,1031491,76
239,940771,77
240,403994,77
241,401057,77
242,320219,77
243,856116,1
244,823761,1
245,466589,1
246,1011935,1
247,819718,1
248,869355,1
249,1659727,52
250,1299940,52
251,1026429,52
252,1371719,26
253,1100657,52
254,517886,26
255,423186,26
256,356370,26
257,1470588,24
258,1308620,24
259,997561,24
260,735911,24
261,1352729,33
262,379661,33
263,825505,33
264,990027,33
265,716337,44
266,1152643,44
267,639869,44
268,795844,44
269,612518,30
270,725333,30
271,672992,30
272,292561,30
273,1111277,39
274,955954,39
275,868470,39
276,686880,39
277,943862,22
278,1341927,22
279,976954,22
280,,22
281,886794,13
282,1549373,13
283,754735,13
284,566089,13
285,674234,13
286,248706,13
287,709494,16
288,983740,16
289,404272,16
290,694059,16
291,705687,18
292,850868,18
293,761218,18
294,911439,18
295,1587699,27
296,882414,27
297,979159,27
298,875063,27
299,986358,37
300,690165,37
301,1117538,37
302,1072421,37
303,1285606,7
304,1273951,7
305,1589721,7
306,1744377,7
307,921612,11
308,1677550,11
309,796964,11
310,1462275,11
311,638407,11
312,706816,11
