"SiteName","Analyte","Units","DryValue","Comments","DryValue_Group"
"Aiston Preserve","Sum40CBs","ng/g",23.1332244,NA,"1"
"Arroyo Beach","Sum40CBs","ng/g",34.8193076,NA,"2"
"Blair Waterway","Sum40CBs","ng/g",37.4048874,NA,"2"
"Blair Waterway #2","Sum40CBs","ng/g",42.1555716,NA,"3"
"Brackenwood Ln","Sum40CBs","ng/g",29.4975031,NA,"2"
"Broad Spit","Sum40CBs","ng/g",23.4427694,NA,"1"
"Browns Point Lighthouse","Sum40CBs","ng/g",40.3696984,NA,"3"
"Cap Sante","Sum40CBs","ng/g",22.2824818,NA,"1"
"Chambers Bay Park","Sum40CBs","ng/g",35.3918228,NA,"2"
"Cherry Point Aquatic Reserve, Conoco Phillips","Sum40CBs","ng/g",30.1834098,NA,"2"
"Chimacum Creek delta","Sum40CBs","ng/g",22.461244,NA,"1"
"Chuckanut, Clark's Point","Sum40CBs","ng/g",22.378803,NA,"1"
"Comm Bay Skookum","Sum40CBs","ng/g",72.5424453,NA,"5"
"Comm Bay, Dick Gilmur Launch","Sum40CBs","ng/g",71.6167453,NA,"5"
"Comm Bay, Milwaukee Waterway","Sum40CBs","ng/g",47.1132075,NA,"3"
"Des Moines Marina","Sum40CBs","ng/g",44.1020728,NA,"3"
"Discovery Bay","Sum40CBs","ng/g",11.7676906,NA,"1"
"Donkey Creek Delta","Sum40CBs","ng/g",79.3453237,NA,"5"
"Eagle Harbor Dr","Sum40CBs","ng/g",75.6208156,NA,"5"
"Eastsound, Fishing Bay","Sum40CBs","ng/g",15.9810544,NA,"1"
"Edmonds Ferry","Sum40CBs","ng/g",35.6621963,NA,"2"
"Edmonds Marina","Sum40CBs","ng/g",40.999446,NA,"3"
"Eld Inlet","Sum40CBs","ng/g",31.1021596,NA,"2"
"Elliot Bay Myrtle Edwards","Sum40CBs","ng/g",120.784217,NA,"7"
"Elliott Bay, Harbor Island, Pier 17","Sum40CBs","ng/g",108.407468,NA,"7"
"Everett Harbor","Sum40CBs","ng/g",34.618573,NA,"2"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Sum40CBs","ng/g",22.8947563,NA,"1"
"Filucy Bay","Sum40CBs","ng/g",41.5164718,NA,"3"
"Friday Harbor","Sum40CBs","ng/g",16.2941597,NA,"1"
"Gig Harbor Boat Launch","Sum40CBs","ng/g",55.4091376,NA,"4"
"Hood Canal Holly","Sum40CBs","ng/g",18.4396313,NA,"1"
"Jamestown","Sum40CBs","ng/g",32.4813118,NA,"2"
"Kingston Marina","Sum40CBs","ng/g",36.4014621,NA,"2"
"Kitsap St Boat Launch","Sum40CBs","ng/g",116.330655,NA,"7"
"Kopachuck State Park","Sum40CBs","ng/g",31.7126787,NA,"2"
"Lions Park","Sum40CBs","ng/g",58.5767232,NA,"4"
"Locust Beach","Sum40CBs","ng/g",20.4806998,NA,"1"
"Madrona Pont","Sum40CBs","ng/g",53.0332314,NA,"4"
"Manchester, Stormwater Outfall","Sum40CBs","ng/g",41.0468175,NA,"3"
"Maple Hollow Park","Sum40CBs","ng/g",35.9876543,NA,"2"
"Maristone Island","Sum40CBs","ng/g",31.0443073,NA,"2"
"Meyer's Point - Henderson Inlet","Sum40CBs","ng/g",49.0690299,NA,"3"
"Miller Creek","Sum40CBs","ng/g",43.8475248,NA,"3"
"Minter Bay","Sum40CBs","ng/g",31.5795918,NA,"2"
"Mukilteo","Sum40CBs","ng/g",31.0727741,NA,"2"
"N Avenue Park","Sum40CBs","ng/g",26.5913151,NA,"1"
"North Camano","Sum40CBs","ng/g",19.0437956,NA,"1"
"Oak Bay County Park","Sum40CBs","ng/g",30.1376775,NA,"2"
"Penn Cove Reference","Sum40CBs","ng/g",24.8711427,NA,"1"
"Penrose Point State Park","Sum40CBs","ng/g",42.2481409,NA,"3"
"Point Defiance Ferry","Sum40CBs","ng/g",48.0586584,NA,"3"
