"site_name","Analyte","Units","plmw","Comments","DryValue_Group"
"Aiston Preserve","SumPAHsLMW","ng/g",79.13997821,NA,"1"
"Arroyo Beach","SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Blair Waterway","SumPAHsLMW","ng/g",456.559655,NA,"2"
"Blair Waterway #2","SumPAHsLMW","ng/g",610.9503136,NA,"2"
"Brackenwood Ln","SumPAHsLMW","ng/g",212.3820225,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Broad Spit","SumPAHsLMW","ng/g",107.1669458,NA,"1"
"Browns Point Lighthouse","SumPAHsLMW","ng/g",257.4299611,NA,"1"
"Cap Sante","SumPAHsLMW","ng/g",254.6569343,NA,"1"
"Chambers Bay Park","SumPAHsLMW","ng/g",106.1754685,NA,"1"
"Cherry Point Aquatic Reserve, Conoco Phillips","SumPAHsLMW","ng/g",169.0270946,NA,"1"
"Chimacum Creek delta","SumPAHsLMW","ng/g",112.3062201,NA,"1"
"Chuckanut, Clark's Point","SumPAHsLMW","ng/g",131.9775561,NA,"1"
"Comm Bay Skookum","SumPAHsLMW","ng/g",461.6337427,NA,"2"
"Comm Bay, Dick Gilmur Launch","SumPAHsLMW","ng/g",442.7216981,NA,"2"
"Comm Bay, Milwaukee Waterway","SumPAHsLMW","ng/g",390.3665768,NA,"2"
"Des Moines Marina","SumPAHsLMW","ng/g",6125.287886,NA,"6"
"Discovery Bay","SumPAHsLMW","ng/g",136.5052112,NA,"1"
"Donkey Creek Delta","SumPAHsLMW","ng/g",238.0359712,NA,"1"
"Eagle Harbor Dr","SumPAHsLMW","ng/g",364.3548387,NA,"2"
"Eastsound, Fishing Bay","SumPAHsLMW","ng/g",242.4711697,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Edmonds Ferry","SumPAHsLMW","ng/g",257.235514,NA,"1"
"Edmonds Marina","SumPAHsLMW","ng/g",304.567313,NA,"1"
"Eld Inlet","SumPAHsLMW","ng/g",96.52394366,NA,"1"
"Elliot Bay Myrtle Edwards","SumPAHsLMW","ng/g",3220.912454,NA,"5"
