"","sample_id","latitude","longitude","lat_range","long_range","label","site_name","site_number","reporting_area","geo_group","p450","sod","shell","ci1","ci2","ci3","Analyte.x","Units.x","DryValue.x","Comments.x","p16","Analyte.y","Units.y","DryValue.y","Comments.y","p42","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","phmw.x","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","Analyte.x.x.x","Units.x.x.x","DryValue","Comments.x.x.x","pcb","Analyte.y.y.y","Units.y.y.y","plmw","Comments.y.y.y","DryValue_Group"
"1",239,48.6793778,-122.6300583,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Aiston Preserve",77,7,4,5679312,4.027,0.88,31.754,0.6673,0.0493,"SumPAHs16","ng/g",31.65599129,NA,1,"SumPAHs42_DMNcorrected","ng/g",97.40305011,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"Sum40CBs","ng/g",23.1332244,NA,1,"SumPAHsLMW","ng/g",79.13997821,NA,"1"
"2",240,48.6793778,-122.6300583,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Aiston Preserve",77,7,4,6097784,4.41,1.145,33.897,0.6637,0.051,"SumPAHs16","ng/g",31.65599129,NA,1,"SumPAHs42_DMNcorrected","ng/g",97.40305011,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"Sum40CBs","ng/g",23.1332244,NA,1,"SumPAHsLMW","ng/g",79.13997821,NA,"1"
"3",241,48.6793778,-122.6300583,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Aiston Preserve",77,7,4,3868923,5.064,0.945,29.328,0.6363,0.0439,"SumPAHs16","ng/g",31.65599129,NA,1,"SumPAHs42_DMNcorrected","ng/g",97.40305011,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"Sum40CBs","ng/g",23.1332244,NA,1,"SumPAHsLMW","ng/g",79.13997821,NA,"1"
"4",242,48.6793778,-122.6300583,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Aiston Preserve",77,7,4,3899451,25.058,1.01,33.577,0.6453,0.0519,"SumPAHs16","ng/g",31.65599129,NA,1,"SumPAHs42_DMNcorrected","ng/g",97.40305011,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"SumPAHsHMW","ng/g",19.48061002,NA,1,"Sum40CBs","ng/g",23.1332244,NA,1,"SumPAHsLMW","ng/g",79.13997821,NA,"1"
"5",281,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,5346329,0.512,1.015,35.779,0.6876,0.0519,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"6",282,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,2044561,6.049,1.065,35.169,0.6545,0.0546,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"7",283,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,5633230,2.326,1.02,17.657,0.6584,0.0588,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"8",284,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,4330102,14.39,0.985,24.457,0.6591,0.0718,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"9",285,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,7518449,2.815,0.955,42.24,0.66,0.1167,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"10",286,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Arroyo Beach",13,11,3,2993202,4.845,0.81,20.851,0.6426,0.0503,"SumPAHs16","ng/g",168.0932091,NA,2,"SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",186.1031957,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",34.8193076,NA,2,"SumPAHsLMW","ng/g",216.1198402,"dNPH Surrogate recovery below minimum QA value (60%)","2"
