term,Group1,Group2,null.value,estimate,conf.low,conf.high,adj.p.value,Significant,Group1_CLD,Group2_CLD,metric,block_start_row,block_start_col,header_type,Z,P.unadj,P.adj
reporting_area,13,12,0,1.92423973,0.25657479,3.59190466,0.01234726,Yes,a,b,p450,1,0,term,,,
reporting_area,12,8.2,0,-1.977666,-3.8882162,-0.0671158,0.03696362,Yes,b,a,p450,1,0,term,,,
reporting_area,12,11,0,-1.6624386,-3.3231403,-0.0017368,0.04956026,Yes,b,a,p450,1,0,term,,,
site_number,29,20,0,-3.618678949,-6.296291386,-0.941066511,7.85E-05,Yes,c,a,p450,1,0,term,,,
site_number,59,29,0,3.30356849,0.625956053,5.981180928,0.000878868,Yes,ab,c,p450,1,0,term,,,
site_number,29,14,0,-3.078828126,-5.756440563,-0.401215688,0.004272716,Yes,c,ab,p450,1,0,term,,,
site_number,68,29,0,2.980321987,0.302709549,5.657934424,0.008189808,Yes,ab,c,p450,1,0,term,,,
site_number,29,7,0,-2.965725129,-5.643337567,-0.288112692,0.008997217,Yes,c,ab,p450,1,0,term,,,
site_number,35,20,0,-3.246972984,-6.180150449,-0.31379552,0.009093449,Yes,bc,a,p450,1,0,term,,,
site_number,65,29,0,2.87396901,0.196356572,5.551581447,0.016007629,Yes,ab,c,p450,1,0,term,,,
site_number,55,29,0,2.849631852,0.172019414,5.527244289,0.018567553,Yes,ab,c,p450,1,0,term,,,
site_number,29,21,0,-2.810114393,-5.487726831,-0.132501955,0.023526675,Yes,c,ab,p450,1,0,term,,,
site_number,49,29,0,2.631675417,0.119852302,5.143498532,0.02419557,Yes,ab,c,p450,1,0,term,,,
site_number,73,29,0,2.754686668,0.07707423,5.432299105,0.032497835,Yes,ab,c,p450,1,0,term,,,
site_number,69,29,0,2.738617943,0.061005505,5.41623038,0.035616083,Yes,ab,c,p450,1,0,term,,,
site_number,29,22,0,-2.721502856,-5.399115294,-0.043890419,0.039226759,Yes,c,ab,p450,1,0,term,,,
site_number,51,29,0,2.70616864,0.028556203,5.383781078,0.042732481,Yes,ab,c,p450,1,0,term,,,
site_number,31,20,0,-2.939466154,-5.872643619,-0.006288689,0.048457919,Yes,bc,a,p450,1,0,term,,,
,11,13,,,,,,Yes,a,b,total pah,1,12,group,4.25316302,0,0.0008
,10,13,,,,,,Yes,a,b,total pah,1,12,group,3.78182401,0.0002,0.0028
,11,13,,,,,,Yes,a,b,low pah,6,12,group,3.98264802,0.0001,0.0025
,10,13,,,,,,Yes,a,b,low pah,6,12,group,3.19717982,0.0014,0.025
,11,13,,,,,,Yes,a,c,high pah,11,12,group,4.13280172,0,0.0013
,10,13,,,,,,Yes,ab,c,high pah,11,12,group,3.95453723,0.0001,0.0014
,11,12,,,,,,Yes,a,bc,high pah,11,12,group,2.87849987,0.004,0.0479
,11,13,,,,,,Yes,a,b,ddt,17,12,group,4.24545148,0,0.0008
,10,13,,,,,,Yes,a,b,ddt,17,12,group,4.01326743,0.0001,0.0011
,11,9,,,,,,Yes,a,b,ddt,17,12,group,3.41508537,0.0006,0.0077
,10,9,,,,,,Yes,a,b,ddt,17,12,group,3.17225312,0.0015,0.0136
,11,12,,,,,,Yes,a,b,ddt,17,12,group,3.0976499,0.002,0.014
,10,12,,,,,,Yes,a,b,ddt,17,12,group,2.91599449,0.0035,0.0213
,Des Moines Marina,Jamestown,,,,,,Yes,bci,fj,shell,22,0,group,4.32021931,0,0.006
,Skiff Point,Suquamish Stormwater Outfall,,,,,,Yes,fghj,i,shell,22,0,group,-4.3468714,0,0.0062
,Chambers Bay Park,"Eastsound, Fishing Bay",,,,,,Yes,ci,f,shell,22,0,group,4.37822845,0,0.0065
,Chambers Bay Park,Shilshole Bay,,,,,,Yes,ci,fhj,shell,22,0,group,4.27435821,0,0.0065
,Shilshole Bay,Suquamish Stormwater Outfall,,,,,,Yes,fhj,i,shell,22,0,group,-4.4233042,0,0.0066
,Chambers Bay Park,Jamestown,,,,,,Yes,ci,fj,shell,22,0,group,4.47694087,0,0.0068
,Des Moines Marina,"Eastsound, Fishing Bay",,,,,,Yes,bci,f,shell,22,0,group,4.2351619,0,0.0069
,Chambers Bay Park,Skiff Point,,,,,,Yes,ci,fghj,shell,22,0,group,4.1979254,0,0.0073
