sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_mm_g,weight_change_g,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm
1,47.40301418,-122.3305538,Des Moines Marina,21,11,5083144,4.027,0.880,0.032,0.667,0.049,13.892,4.625,9.267,57.31,5.731,26.60,2.660,19.15,1.915
2,47.40301418,-122.3305538,Des Moines Marina,21,11,10486498,4.410,1.145,0.034,0.664,0.051,15.309,5.149,10.160,58.42,5.842,26.46,2.646,19.39,1.939
3,47.40301418,-122.3305538,Des Moines Marina,21,11,3510592,5.064,0.945,0.029,0.636,0.044,13.815,5.022,8.793,58.53,5.853,26.81,2.681,19.10,1.910
4,47.40301418,-122.3305538,Des Moines Marina,21,11,16661987,21.670,1.010,0.034,0.645,0.052,13.466,4.776,8.690,55.06,5.506,25.56,2.556,18.39,1.839
5,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,5049235,0.512,1.015,0.036,0.688,0.052,12.915,4.034,8.881,55.52,5.552,23.69,2.369,18.87,1.887
6,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,1547925,6.049,1.065,0.035,0.655,0.055,16.868,5.826,11.042,58.65,5.865,26.34,2.634,20.32,2.032
7,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,5631535,2.326,1.020,0.018,0.658,0.059,15.689,5.359,10.330,55.96,5.596,35.50,3.550,29.45,2.945
8,47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,2072179,14.390,0.985,0.024,0.659,0.072,14.717,5.017,9.700,51.31,5.131,31.55,3.155,24.50,2.450
9,47.2619,-122.7376,Pennrose Point State Park,50,13,7519523,2.458,0.955,0.042,0.660,0.117,18.242,6.199,12.043,46.86,4.686,28.20,2.820,21.57,2.157
10,47.2619,-122.7376,Pennrose Point State Park,50,13,2798616,4.845,0.810,0.021,0.643,0.050,11.143,3.983,7.160,52.15,5.215,28.83,2.883,22.84,2.284
11,47.2619,-122.7376,Pennrose Point State Park,50,13,9112235,7.438,0.855,0.022,0.694,0.046,14.388,4.402,9.986,60.21,6.021,31.36,3.136,24.30,2.430
12,47.2619,-122.7376,Pennrose Point State Park,50,13,10820981,2.951,0.810,0.020,0.709,0.046,13.610,3.954,9.656,59.56,5.956,32.33,3.233,24.54,2.454
13,48.02667,-122.75076,S of Skunk Island,9,9,2931739,8.989,0.815,0.032,0.716,0.056,11.037,3.136,7.901,51.91,5.191,24.96,2.496,18.88,1.888
14,48.02667,-122.75076,S of Skunk Island,9,9,8066086,8.102,0.855,0.036,0.683,0.059,14.671,4.645,10.026,55.51,5.551,25.49,2.549,19.86,1.986
15,48.02667,-122.75076,S of Skunk Island,9,9,NA,0.978,0.780,0.034,0.709,0.061,15.330,4.466,10.864,56.41,5.641,26.58,2.658,21.52,2.152
16,48.02667,-122.75076,S of Skunk Island,9,9,1279970,22.376,0.695,0.034,0.735,0.058,11.752,3.118,8.634,53.03,5.303,24.84,2.484,19.26,1.926
17,47.94968,-122.30158,Mukilteo,65,8.2,13015373,7.613,0.805,0.032,0.686,0.047,10.483,3.296,7.187,53.29,5.329,23.91,2.391,17.78,1.778
18,47.94968,-122.30158,Mukilteo,65,8.2,6552124,6.400,0.830,0.033,0.709,0.053,12.325,3.583,8.742,54.96,5.496,25.82,2.582,18.71,1.871
19,47.94968,-122.30158,Mukilteo,65,8.2,11487224,0.271,0.855,0.032,0.675,0.049,13.777,4.478,9.299,57.59,5.759,26.17,2.617,19.40,1.940
20,47.94968,-122.30158,Mukilteo,65,8.2,3799311,16.142,0.675,0.034,0.726,0.054,11.656,3.194,8.462,53.76,5.376,24.74,2.474,18.75,1.875
21,47.8111,-122.388,Edmonds Marina,68,9,2670664,7.034,0.665,0.037,0.719,0.055,11.182,3.145,8.037,52.77,5.277,23.07,2.307,17.68,1.768
22,47.8111,-122.388,Edmonds Marina,68,9,6702704,11.402,0.885,0.035,0.703,0.053,15.016,4.457,10.559,58.43,5.843,26.47,2.647,19.34,1.934
23,47.8111,-122.388,Edmonds Marina,68,9,52691211,23.271,0.865,0.033,0.662,0.050,13.560,4.580,8.980,56.34,5.634,26.48,2.648,18.38,1.838
24,47.8111,-122.388,Edmonds Marina,68,9,NA,13.708,0.645,0.031,0.703,0.048,12.715,3.778,8.937,56.93,5.693,26.91,2.691,18.56,1.856
25,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,4394757,2.552,0.985,0.034,0.667,0.055,18.501,6.167,12.334,60.74,6.074,26.10,2.610,22.56,2.256
26,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,2351039,8.472,0.800,0.037,0.708,0.067,14.773,4.312,10.461,53.85,5.385,25.85,2.585,20.32,2.032
