sample_id,valve,notch,top,opp.notch,bottom,notch_avg,top_avg,opp_avg,bottom_avg,avg_overall
1,L,0.54,0.42,0.65,2.11,0.505,0.4,0.615,1.99,0.8775
1,R,0.47,0.38,0.58,1.87,0.63,0.53,0.73,2.07,0.99
2,L,0.79,0.68,0.88,2.27,0.72,0.685,0.94,2.225,1.1425
2,R,0.65,0.69,1,2.18,0.635,0.745,0.925,1.965,1.0675
3,L,0.62,0.8,0.85,1.75,0.53,0.675,0.775,1.79,0.9425
3,R,0.44,0.55,0.7,1.83,0.55,0.485,0.74,1.885,0.915
4,L,0.66,0.42,0.78,1.94,0.62,0.44,0.84,2.145,1.01125
4,R,0.58,0.46,0.9,2.35,0.565,0.73,0.74,2.015,1.0125
5,L,0.55,1,0.58,1.68,0.565,1.205,0.6,1.7,1.0175
5,R,0.58,1.41,0.62,1.72,0.58,1.05,0.64,2.025,1.07375
6,L,0.58,0.69,0.66,2.33,0.55,0.665,0.67,2.36,1.06125
6,R,0.52,0.64,0.68,2.39,0.545,0.61,0.645,2.41,1.0525
7,L,0.57,0.58,0.61,2.43,0.53,0.52,0.58,2.435,1.01625
7,R,0.49,0.46,0.55,2.44,0.545,0.62,0.56,2.285,1.0025
8,L,0.6,0.78,0.57,2.13,0.545,0.685,0.52,2.195,0.98625
8,R,0.49,0.59,0.47,2.26,0.52,0.58,0.59,2.035,0.93125
9,L,0.55,0.57,0.71,1.81,0.54,0.665,0.675,1.945,0.95625
9,R,0.53,0.76,0.64,2.08,0.49,0.66,0.64,1.785,0.89375
10,L,0.45,0.56,0.64,1.49,0.5,0.485,0.575,1.665,0.80625
10,R,0.55,0.41,0.51,1.84,0.475,0.55,0.56,1.71,0.82375
11,L,0.4,0.69,0.61,1.58,0.48,0.76,0.51,1.67,0.855
11,R,0.56,0.83,0.41,1.76,0.535,0.625,0.55,1.745,0.86375
12,L,0.51,0.42,0.69,1.73,0.455,0.4,0.615,1.77,0.81
12,R,0.4,0.38,0.54,1.81,0.5,0.405,0.5,1.81,0.80375
13,L,0.6,0.43,0.46,1.81,0.59,0.44,0.5,1.725,0.81375
13,R,0.58,0.45,0.54,1.64,0.585,0.54,0.605,1.7,0.8575
14,L,0.59,0.63,0.67,1.76,0.57,0.585,0.565,1.705,0.85625
14,R,0.55,0.54,0.46,1.65,0.605,0.545,0.485,1.47,0.77625
15,L,0.66,0.55,0.51,1.29,0.59,0.56,0.5,1.465,0.77875
15,R,0.52,0.57,0.49,1.64,0.495,0.505,0.385,1.575,0.74
16,L,0.47,0.44,0.28,1.51,0.45,0.47,0.295,1.56,0.69375
16,R,0.43,0.5,0.31,1.61,0.475,0.38,0.435,1.775,0.76625
17,L,0.52,0.26,0.56,1.94,0.495,0.27,0.555,1.9,0.805
17,R,0.47,0.28,0.55,1.86,0.465,0.345,0.49,1.905,0.80125
18,L,0.46,0.41,0.43,1.95,0.45,0.375,0.45,2.045,0.83
18,R,0.44,0.34,0.47,2.14,0.49,0.47,0.515,1.92,0.84875
