variable,statistic,p.value,method,data
hch_index,0.367226247,3.04E-16,Shapiro-Wilk normality test,not-normal
pesticide_index,0.373187483,3.60E-16,Shapiro-Wilk normality test,not-normal
pah_add_index,0.390974719,6.01E-16,Shapiro-Wilk normality test,not-normal
pah_hmw_index,0.424148007,1.61E-15,Shapiro-Wilk normality test,not-normal
pah_lmw_index,0.424308309,1.62E-15,Shapiro-Wilk normality test,not-normal
total_pah_index,0.435318923,2.26E-15,Shapiro-Wilk normality test,not-normal
chlordane_index,0.467866695,6.30E-15,Shapiro-Wilk normality test,not-normal
pbde_index,0.630561343,2.36E-12,Shapiro-Wilk normality test,not-normal
ddt_index,0.633664921,2.68E-12,Shapiro-Wilk normality test,not-normal
pcb_index,0.669545166,1.27E-11,Shapiro-Wilk normality test,not-normal
nutrient_metal_index,0.809402355,2.25E-08,Shapiro-Wilk normality test,not-normal
ibr_bio,0.840575777,1.88E-07,Shapiro-Wilk normality test,not-normal
sod,0.84552686,2.70E-07,Shapiro-Wilk normality test,not-normal
ibr_combined,0.864503717,1.15E-06,Shapiro-Wilk normality test,not-normal
ci1,0.868617734,1.59E-06,Shapiro-Wilk normality test,not-normal
ci2,0.930876134,0.000562013,Shapiro-Wilk normality test,not-normal
shell,0.945552393,0.003101512,Shapiro-Wilk normality test,not-normal
heavy_metal_index,0.959709666,0.018765277,Shapiro-Wilk normality test,not-normal
total_metal_index,0.961625564,0.024210047,Shapiro-Wilk normality test,not-normal
ci3,0.971828554,0.096902998,Shapiro-Wilk normality test,normal
weight_change,0.973313899,0.118753846,Shapiro-Wilk normality test,normal
ibr_morph,0.980278956,0.301032571,Shapiro-Wilk normality test,normal
height,0.981192689,0.337994832,Shapiro-Wilk normality test,normal
weight_initial,0.981474521,0.350117171,Shapiro-Wilk normality test,normal
weight_final,0.984674681,0.511446228,Shapiro-Wilk normality test,normal
p450,0.985321232,0.548838239,Shapiro-Wilk normality test,normal
length,0.98623667,0.603802641,Shapiro-Wilk normality test,normal
width,0.992321394,0.937762008,Shapiro-Wilk normality test,normal
