Individual ,Valve,notch,top,opp,bottom
1,L,0.54,0.42,0.65,2.11
1,R,0.47,0.38,0.58,1.87
2,L,0.79,0.68,0.88,2.27
2,R,0.65,0.69,1,2.18
3,L,0.62,0.8,0.85,1.75
3,R,0.44,0.55,0.7,1.83
4,L,0.66,0.42,0.78,1.94
4,R,0.58,0.46,0.9,2.35
5,L,0.55,1,0.58,1.68
5,R,0.58,1.41,0.62,1.72
6,L,0.58,0.69,0.66,2.33
6,R,0.52,0.64,0.68,2.39
7,L,0.57,0.58,0.61,2.43
7,R,0.49,0.46,0.55,2.44
8,L,0.6,0.78,0.57,2.13
8,R,0.49,0.59,0.47,2.26
9,L,0.55,0.57,0.71,1.81
9,R,0.53,0.76,0.64,2.08
10,L,0.45,0.56,0.64,1.49
10,R,0.55,0.41,0.51,1.84
11,L,0.4,0.69,0.61,1.58
11,R,0.56,0.83,0.41,1.76
12,L,0.51,0.42,0.69,1.73
12,R,0.4,0.38,0.54,1.81
13,L,0.6,0.43,0.46,1.81
13,R,0.58,0.45,0.54,1.64
14,L,0.59,0.63,0.67,1.76
14,R,0.55,0.54,0.46,1.65
15,L,0.66,0.55,0.51,1.29
15,R,0.52,0.57,0.49,1.64
16,L,0.47,0.44,0.28,1.51
16,R,0.43,0.5,0.31,1.61
17,L,0.52,0.26,0.56,1.94
17,R,0.47,0.28,0.55,1.86
18,L,0.46,0.41,0.43,1.95
18,R,0.44,0.34,0.47,2.14
19,L,0.54,0.6,0.56,1.7
19,R,0.51,0.44,0.66,1.81
20,L,0.39,0.54,0.41,1.23
20,R,0.33,0.59,0.53,1.38
21,L,0.43,0.34,0.55,1.76
21,R,0.28,0.25,0.28,1.42
22,L,0.48,0.64,0.49,1.73
22,R,0.74,0.73,0.54,1.69
23,L,0.59,0.63,0.59,1.33
23,R,0.36,0.58,0.86,1.94
24,L,0.47,0.32,0.37,1.01
24,R,0.49,0.29,0.46,1.75
25,L,0.64,0.68,0.67,1.72
25,R,0.85,0.79,0.74,1.76
26,L,0.69,0.38,0.66,1.41
26,R,0.68,0.39,0.54,1.61
27,L,0.65,0.32,0.39,1
27,R,0.37,0.21,0.37,0.49
28,L,0.66,0.45,0.46,0.98
28,R,0.6,0.58,0.5,0.97
29,L,0.51,0.45,0.37,1.57
29,R,0.56,0.5,0.56,1.75
30,L,0.24,0.26,0.48,1.61
30,R,0.21,0.29,0.34,1.84
31,L,0.53,0.78,0.58,2.16
31,R,0.68,0.83,0.52,2.26
32,L,0.47,0.55,0.4,2.14
32,R,0.43,0.53,0.42,2.57
33,L,0.42,0.51,0.52,1.34
33,R,0.47,0.58,0.33,1.44
34,L,0.3,0.73,0.39,1.89
34,R,0.23,0.59,0.54,2.19
35,L,0.62,0.46,0.58,2.11
