site_number,site_name,reporting_area,latitude,longitude,ibr_bio,ibr_morph,ibr_combined
77,Aiston Preserve,7,48.6793778,-122.6300583,6.993865959,1.127387361,8.12125332
13,Arroyo Beach,11,47.50161,-122.38593,4.06595583,0.940100521,5.00605635
41,Blair Waterway,11,47.27568,-122.4173,2.304887611,0.762578816,3.067466427
42,Blair Waterway Two,11,47.2632444,-122.385731,2.640298581,1.552473935,4.192772516
23,Brackenwood Lane,10,47.68234,-122.5064,3.71252553,0.5344433,4.24696883
30,Broad Spit,12,47.78184,-122.83474,1.762640142,0.70836621,2.471006352
54,Browns Point Lighthouse,11,47.30515,-122.44441,4.040994149,0.819905234,4.860899383
64,Cap Sante,7,48.520971,-122.600717,2.084572725,1.493017101,3.577589826
56,Chambers Bay Park,13,47.1905742,-122.5834897,2.046612325,1.616172341,3.662784667
75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,2.902612273,1.495792842,4.398405115
8,Chimacum Creek delta,9,48.04906,-122.7724,4.979870739,1.273030949,6.252901688
74,"Chuckanut, Clark's Point",7,48.68975,-122.50434,1.634552516,0.948975094,2.58352761
45,Commencement Bay Skookum,11,47.29,-122.41,2.274540177,1.189381819,3.463921996
48,"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,1.5431623,0.856205491,2.399367791
49,"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,4.683419165,1.293380459,5.976799624
21,Des Moines Marina,11,47.40301418,-122.3305538,3.044934368,1.262972505,4.307906872
12,Discovery Bay,6,48.064957,-122.857524,2.572494872,0.749517757,3.322012629
44,Donkey Creek Delta,11,47.33775,-122.59014,5.811225325,0.581264106,6.392489431
31,Eagle Harbor Dr,10,47.61889,-122.5275,1.548772886,1.490070833,3.038843718
60,"Eastsound, Fishing Bay",7,48.69368,-122.90985,4.809115088,1.355258472,6.16437356
69,Edmonds Ferry,9,47.81407,-122.3825,11.73499856,1.060317892,12.79531645
68,Edmonds Marina,9,47.8111,-122.388,2.596138596,1.001280414,3.59741901
72,Eld Inlet,13,47.074603,-123.003527,2.374083292,0.885283347,3.259366639
19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,0.991091661,1.024964349,2.016056011
14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,4.014006559,1.144988094,5.158994653
66,Everett Harbor,8.2,47.9726,-122.22977,8.040960223,1.441035894,9.481996117
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,1.184873185,0.940859554,2.125732739
59,Filucy Bay,13,47.19483,-122.748665,4.153802698,1.426755723,5.580558421
61,Friday Harbor,7,48.5069444,-123.0194444,6.834200409,1.276234662,8.110435071
58,Gig Harbor Boat Launch,11,47.33785,-122.58277,1.659022759,1.422542913,3.081565671
29,Hood Canal Holly,12,47.5706,-122.9717,11.36563883,0.42132461,11.78696344
2,Jamestown,6,48.024789,-122.998135,1.16266449,0.715249122,1.877913612
36,Kingston Marina,10,47.794695,-122.499858,2.795962857,0.976987948,3.772950805
25,Kitsap St Boat Launch,10,47.54167,-122.64034,2.039761337,0.986939697,3.026701034
52,Kopachuck State Park,13,47.30973,-122.68868,3.20592715,1.365398088,4.571325239
37,Lions Park,10,47.5833538,-122.6414587,1.991224963,1.437853093,3.429078056
76,Locust Beach,7,48.77636877,-122.5378679,1.146924568,0.713345277,1.860269845
28,Madrona Pont,10,47.57995505,-122.6786,3.029003674,1.298044017,4.327047692
33,"Manchester, Stormwater Outfall",10,47.55622,-122.54281,5.560284357,0.334569573,5.89485393
51,Maple Hollow Park,13,47.30008,-122.74566,8.656934191,0.822841215,9.479775407
11,Maristone Island,9,48.018127,-122.699524,2.574524644,0.74738638,3.321911025
71,"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,1.348764361,0.936146836,2.284911197
20,Miller Creek,11,47.4436,-122.360316,6.752115056,0.693819375,7.445934431
55,Minter Bay,13,47.3539722,-122.69175,3.146539242,1.23483379,4.381373032
65,Mukilteo,8.2,47.94968,-122.30158,3.694533979,1.221900216,4.916434195
62,N Avenue Park,7,48.52108,-122.61531,8.832235265,1.022274811,9.854510075
7,North Camano,8.1,48.255358,-122.507014,9.613818585,0.696715692,10.31053428
10,Oak Bay County Park,9,48.02218,-122.728709,1.361743395,0.987907074,2.349650469
3,Penn Cove Reference,8.1,48.21423,-122.718972,1.46052729,0.325195428,1.785722718
50,Penrose Point State Park,13,47.2619,-122.7376,3.096754487,1.193330879,4.290085366
43,Point Defiance Ferry,11,47.3062,-122.5145,1.173790325,0.998427378,2.172217703
1,Port Angeles Yacht Club,6,48.12823,-123.45715,4.498257665,1.143406628,5.641664292
47,"Purdy, Burley Lagoon",13,47.386977,-122.6367089,1.452576648,1.282114799,2.734691447
57,"Purdy, Dexters",13,47.38566,-122.627255,10.28679714,1.087366311,11.37416345
53,Raft Island Park,13,47.32598,-122.66724,5.284806838,0.713704908,5.998511745
39,Reach Island,13,47.346537,-122.82236,4.803141423,1.11685824,5.919999662
32,Rich Passage,10,47.578117,-122.524833,3.410755396,1.104496279,4.515251675
27,Rocky Point,10,47.60255,-122.66992,2.401462084,0.742586428,3.144048512
16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,2.723968462,0.429109821,3.153078282
40,Salmon Beach,11,47.29464,-122.53053,3.958788878,1.384149311,5.342938189
17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,2.675147275,0.97913255,3.654279825
18,Shilshole Bay,10,47.671678,-122.406663,2.385293902,1.080732834,3.466026737
35,"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,1.509801215,0.657735066,2.16753628
24,Skiff Point,10,47.66142,-122.49884,2.514288786,0.602434359,3.116723145
15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,1.628184118,0.976793309,2.604977427
9,South of Skunk Island,9,48.02667,-122.75076,2.422180745,0.991690475,3.41387122
38,Squaxin Island,13,47.17650485,-122.9046464,5.262448326,1.004184666,6.266632992
34,Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,2.736934223,1.463470396,4.200404619
46,Thea Foss Waterway,11,47.259189,-122.434689,3.273180667,1.425894653,4.699075321
22,Three Tree Point,11,47.44896,-122.372267,2.276102418,0.705050945,2.981153363
67,Tulalip Bay,8.2,48.0617,-122.2939,3.898622915,1.102469027,5.001091941
