"latitude","longitude","site_name","reporting_area","site_number","p450","sod","shell","ci1","ci2","ci3","weight_initial","weight_change","weight_final","length","height","width","ibr_bio","ibr_morph","ibr_combined","ai_z_dieldrin","ai_z_mirex","ai_z_PCB101","ai_z_PCB105","ai_z_PCB110","ai_z_PCB118","ai_z_PCB128","ai_z_PCB138","ai_z_PCB149","ai_z_PCB151","ai_z_PCB153","ai_z_PCB156","ai_z_PCB158","ai_z_PCB017","ai_z_PCB170","ai_z_PCB177","ai_z_PCB018","ai_z_PCB180","ai_z_PCB183","ai_z_PCB187","ai_z_PCB028","ai_z_PCB031","ai_z_PCB033","ai_z_PCB044","ai_z_PCB049","ai_z_PCB052","ai_z_PCB066","ai_z_PCB070","ai_z_PCB074","ai_z_PCB087","ai_z_PCB095","ai_z_PCB099","ai_z_BDE100","ai_z_BDE047","ai_z_BDE099","ai_z_acenaphthene","ai_z_acenaphthylene","ai_z_C1.dibenzothiophenes","ai_z_C1.fluorenes","ai_z_C1.naphthalenes","ai_z_C1.phenanthrenes_anthracenes","ai_z_C2.dibenzothiophenes","ai_z_C2.fluorenes","ai_z_C2.naphthalenes","ai_z_C2.phenanthrenes_anthracenes","ai_z_C3.dibenzothiophenes","ai_z_C3.fluorenes","ai_z_C3.naphthalenes","ai_z_C3.phenanthrenes_anthracenes","ai_z_C4.dibenzothiophenes","ai_z_C4.naphthalenes","ai_z_C4.phenanthrenes_anthracenes","ai_z_dibenzothiophene","ai_z_fluorene","ai_z_naphthalene","ai_z_phenanthrene","ai_z_benz_a_anthracene","ai_z_benzo_a_pyrene","ai_z_benzo_b_fluoranthene","ai_z_benzo_e_pyrene","ai_z_benzo_ghi_perylene","ai_z_benzo_k_fluoranthene","ai_z_C1.benzanthracenes_chrysenes","ai_z_C2.benzanthracenes_chrysenes","ai_z_C2.fluoranthenes_pyrenes","ai_z_C3.benzanthracenes_chrysenes","ai_z_C3.fluoranthenes_pyrenes","ai_z_C4.benzanthracenes_chrysenes","ai_z_C4.fluoranthenes_pyrenes","ai_z_chrysene","ai_z_dibenz_ah_anthracene","ai_z_fluoranthene","ai_z_indeno_123cd_pyrene","ai_z_perylene","ai_z_pyrene","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","ai_z_alpha_hexachlorocyclohexane","ai_z_beta_hexachlorocyclohexane","ai_z_gamma_hexachlorocyclohexane","ai_z_opDDD","ai_z_opDDT","ai_z_ppDDD","ai_z_ppDDT","ai_z_ppDDE","ai_z_alpha_chlordane","ai_z_beta_chlordane","ai_z_trans_Nonachlor","ai_z_1.methylnaphthalene","ai_z_1.methylphenanthrene","ai_z_1_7.dimethylphenanthrene","ai_z_2.methylnaphthalene","ai_z_235.trimethylnaphthalene","ai_z_26.dimethylnaphthalene","ai_z_3.methylphenanthrene","ai_z_9.methylphenanthrene","ai_z_Retene","ai_z_arsenic_ng","ai_z_cadmium_ng","ai_z_copper_ng","ai_z_lead_ng","ai_z_mercury_ng","ai_z_zinc_ng"
48.6793778,-122.6300583,"Aiston Preserve",7,77,0.711128245,-5.833481218,0.413210544,-0.062305683,-0.033813577,-0.131833629,-0.30588988,-0.312478741,-0.281382962,-0.085830521,-0.147249734,-0.101931032,2.522293083,7.947810073,10.47010316,0,0,0.160798688,1.279633366,0,0,0,0,0.043391939,0,0,0,0,2.380379706,0,0,0,0,0,0,2.424972259,0,0,1.211397715,0,1.152124459,0.986521337,1.192201646,0,1.111276746,0.64749194,0.607641378,0,0,0,0,0,0,0,0.736191614,0,0,0,1.070769771,0.005853303,0,0,0,0.009100346,0,0.006938259,0.024605546,0,0,0,0.014195091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004235224,0,0.001414401,0,0,0,2.369765406,3.942786828,3.799051934,0.450952245,0.01771434,0.818096439,0,0,0,0,0,0,0,0.913807933,0,0,0,0.99741047,0,0,1.029053195,0,0,0.074506491,0,0.038149128,2369.765406,3942.786828,450.952245,17.71434,3799.051934,818.096439
47.50159,-122.38577,"Arroyo Beach",11,13,0.984450633,-0.937863382,0.565545597,-0.012980228,-0.076386254,-0.077366443,0.00043657,-0.065689017,0.108902625,-0.00651237,-0.031338969,-0.044733471,1.699972254,6.009459128,7.709431383,0,0,0.900472655,0.407156071,0,0,0,0,0.708735005,0,0,0,0,2.380379706,0,0,1.680246696,0,0,0,2.046070343,1.53495791,1.957698324,1.211397715,0,0.345637338,0.986521337,0.227086028,0,1.111276746,0.602837324,0.607641378,0,1.507308872,1.516856796,0,0,0,0.304092099,0.736191614,0.140248085,0,0.332792564,1.516923842,0.099506146,0,0.300589062,0,0.453197239,0,0.205835015,0.802519342,0,0,0,0.073814474,0.129202987,0,0.148733617,0.123272763,0,0.173722119,0.203413438,0.342929262,0.212950382,0.41516206,0.232411134,0,0,0.174702992,0,0.086278481,0,0,0.072182349,0.814606858,1.593892548,4.211992361,0.199570355,0.531430192,1.683090125,0,0,0,0,0,0,0,1.218410577,2.35441893,0,3.142074812,0.99741047,0.265552955,0.737169223,1.029053195,0,0,0.128693029,0.145667776,2.060052916,814.606858,1593.892548,199.570355,531.430192,4211.992361,1683.090125
47.2758,-122.4174,"Blair Waterway",11,41,0.904075545,-0.697353189,0.390899338,0.027305211,0.040877137,-0.01348867,-0.037769364,-0.035833931,-0.155454942,-0.051992376,-0.020407147,-0.083879026,1.260654622,5.088730234,6.349384857,0,0,0.96479213,0.465321224,0,0,0,0,0.679807046,0,0,0,0,2.380379706,0,0,1.920281939,0,0,0,2.576533025,2.028337238,0.170234637,0.807598476,0,0.864093344,0.986521337,0.624486577,0,1.111276746,0.826110407,0.701124667,5.592864853,4.186969089,4.27831404,0.197481822,0,0.389358981,0.435085618,0.736191614,0.328857578,0.795081402,0.758261539,2.828616812,0.099506146,1.003147447,0.981515304,0,1.108422162,1.593306542,0.969043497,1.729959147,0,0.156063671,0,0.124916802,0.182058754,0.110335475,0.140905532,0.193714342,0.386615797,0.150032739,0.292406818,0.623507749,0.383310687,0.783324641,0.581027834,0,0.453411892,0.206467172,0,0.14851214,0,0.162875865,0.175628391,0.814606858,3.607230502,3.860992998,0.076757829,0.686430665,1.474657911,0,2.012647112,0,1.27851443,0,0.987126306,1.804466685,2.193139039,2.568457015,3.572350039,2.51365985,0.99741047,0.663882387,1.326904601,1.029053195,0,0.656285057,0.264159376,0.321325977,4.3490006,814.606858,3607.230502,76.757829,686.430665,3860.992998,1474.657911
47.2632,-122.3856,"Blair Waterway Two",11,42,0.76736796,-1.113028587,0.498449688,-0.067709709,-0.104703926,-0.145317153,-0.378574972,-0.533363235,-0.14504663,-0.128666677,-0.123186299,-0.236099596,1.28822189,10.43808947,11.72631136,3.46431662,0,1.189910294,1.279633366,0,0,0,0,0.650879086,0,0,0,0,2.380379706,0,0,0,0,0,0,2.500752642,0,1.957698324,1.211397715,0,1.094518236,0.854985158,1.192201646,0,1.111276746,0.960074257,0.934832889,0,2.735486472,2.216944548,0.256726368,0,0,0.467833998,0.736191614,0.290168451,1.028928873,1.221643591,2.676924427,0.89555531,1.636714256,2.055047667,0,1.836449855,1.972665243,1.107808676,2.487052866,0,0.141876065,0,0.110721711,0.170313028,0,0.219186382,0.378623487,0.802410144,0.213204418,0.584813636,1.496418597,0.553670993,2.036644066,1.022608987,0,0.697556756,0.312347773,0,0.134368127,0,0,0.164134386,1.036772365,3.649175043,0,0.55649426,0.066428774,0.140691744,0,2.012647112,0,2.699086018,0,2.041556679,2.220882074,2.893725122,0,0,0,0.99741047,0.505815152,1.474338445,1.029053195,0,0,0.281092669,0.342747709,1.945605531,1036.772365,3649.175043,556.49426,66.428774,0,140.691744
47.68203,-122.50668,"Brackenwood Lane",10,23,-0.329821772,-0.818153192,0.175460551,0.034528587,-0.013834577,-0.145050333,0.045393499,0.09534337,0.101881746,0.06127483,-0.070132795,-0.000548736,1.133828729,4.126246773,5.260075502,0,0,0.771833704,1.279633366,0,0,0,0,0.621951127,0,0,0,0,2.380379706,0,0,1.860273128,0,0,0,2.424972259,1.863877462,1.957698324,1.211397715,0,0.403243561,0.986521337,1.192201646,0,1.111276746,0.602837324,0.607641378,0,0.949046327,0,0,0,0,0,0.736191614,0.154756507,0,0.337005128,1.516923842,0.099506146,0,0.552102358,0,0.389494816,0,0.228962545,0.575391226,0,0,0,0.107882693,0.129202987,0,0.125249361,0.096857171,0,0.157929199,0.152560079,0.19952248,0.19875369,0,0.17430835,0,0,0.164114932,0,0.093350488,0,0,0.081377553,0.444331014,2.348894281,4.356521511,0.019189457,0.354286795,0.432496843,0,0,0,0,0,0,0,1.127029784,0,0,0,0.99741047,0.268714299,0.688024608,1.029053195,0,0,0.145626323,0.145667776,1.640412507,444.331014,2348.894281,19.189457,354.286795,4356.521511,432.496843
47.80934,-122.81556,"Broad Spit",12,30,-0.587177124,-0.602400316,0.10596975,-0.00785815,0.011659058,-0.082240432,-0.080813778,-0.093760313,-0.102178226,-0.016739487,-0.049590847,-0.122459091,0.888060191,5.441527054,6.329587244,0,0,0.096479213,0,0,0,0,0,0.01446398,0,0,0,0,2.380379706,0,0,0,0,0,0,0,0,0.255351955,1.211397715,0,1.152124459,0.986521337,0,0,1.111276746,0.64749194,0.607641378,0,0,0,0,0,0,0,0.736191614,0.004836141,0,0,0,0.011706605,0,0,0,0.001820069,0,0.141077932,0.045425623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03705821,0,0,0,0,0.022068489,2.591930913,2.30694974,0,0.548818477,0.819288213,2.120797774,0,0,0,0,0,0,0,0,0,0,0,0.99741047,0,0,1.029053195,0,0,0.074506491,0,0.267043896,2591.930913,2306.94974,548.818477,819.288213,0,2120.797774
47.304906,-122.44427,"Browns Point Lighthouse",11,54,2.122004509,-2.694473596,0.453093777,0.128933497,0.006611119,0.011632708,0.010774454,-0.028458246,0.04966835,0.003904535,-0.11651979,-0.061332952,2.137998872,4.99021666,7.128215531,1.520919492,0,1.093431081,0.465321224,0,0,0,0,0.679807046,0,0,0,0,2.380379706,0,0,1.800264318,0,0,0.973076018,2.273411492,2.028337238,0.170234637,0.403799238,0,0.691274675,0.394608535,0.397400549,0,1.111276746,0.692146557,0.794607955,0,0,0,0.142186912,0,0,0,0.248064566,0.159592648,0.369479004,0.421256411,0,0.251692015,0.501573724,0.552102358,0.431395989,0.380394469,0.553863703,0.298345134,0.745737313,0,0.106407049,0,0.085170547,0.123330124,0,0.101765106,0.114467566,0,0.134239819,0.216126778,0.405280037,0.212950382,0.563993741,0.27889336,0,0,0.164114932,0,0.080620876,0,0,0.088273956,0.296220676,2.89417331,3.991757467,0.307031316,0.739573685,0.745145164,0,0,0,0,0,1.076865061,1.619393179,1.827615866,2.033361803,2.381566692,0,0.99741047,0.379361364,0.688024608,0.213829235,0,0,0.128693029,0.169231681,1.564114251,296.220676,2894.17331,307.031316,739.573685,3991.757467,745.145164
48.52093,-122.600725,"Cap Sante",7,64,0.132164462,0.057282409,0.397829418,0.078093336,-0.026832182,-0.17556505,-0.510831551,-0.565266028,-0.508295221,-0.122132451,-0.252718819,-0.169664328,1.246883248,11.41732228,12.66420553,0,0,0.225118164,1.279633366,0,0,0,0,0.593023167,0,0,0,0,2.380379706,0,0,0,0,0,0,2.349191875,0,0.170234637,1.211397715,0,1.152124459,0.986521337,1.192201646,0,1.111276746,0.64749194,0.607641378,0,0,0,0,0,0,0,0.736191614,0.072542113,0.425602398,0,1.249231399,0.245838712,1.161539149,0.398740592,0,0.653404854,1.669178282,0.252090074,0.935010743,0,0,0,0.014195091,0.045221045,0,0,0,0,0,0.152560079,0.592332361,0.241343766,1.174986961,0.55778672,0,0.438464247,0.058234331,0,0.024044823,0,0,0.019309928,1.925434392,2.432783362,3.344817464,0.366518633,0.013285755,0.609664225,0,2.138437556,0,0,0,0.74034473,0.925367531,1.340251635,0,0,0,0.99741047,0,0,1.029053195,0,0,0.060959856,0,0.114447384,1925.434392,2432.783362,366.518633,13.285755,3344.817464,609.664225
47.2009,-122.58342,"Chambers Bay Park",13,56,0.916539517,-0.168857495,0.777530909,-0.070703205,-0.134824691,-0.299111481,-0.207585411,-0.343161419,0.07115703,-0.023175584,-0.17873413,-0.15009606,1.527073529,9.326547917,10.85362144,1.013946328,0,0.707514229,0.174495459,0,0,0,0,0.506239289,0,0,0,0,2.380379706,0,0,1.320193833,0,0,0.834065158,2.046070343,1.644597761,0.170234637,0,0,0.230424892,0.065768089,0.170314521,0,0.148170233,0.468873474,0.514158089,0,0,0,0,0,0,0,0.336087476,0.033852986,0,0,0,0.076092935,0,0.202437531,0.200290995,0.107384085,0,0.141077932,0.291481082,0,0,0,0.002839018,0.05403034,0,0.070452766,0.043145467,0,0.068699201,0.083908043,0.152759398,0.088019491,0,0.111557344,0,0,0.063528361,0,0.016972816,0,0.166663676,0.014712326,1.036772365,2.600561525,3.461817251,0.260976619,0.451715664,0.036475637,0,0,0,0,0,0,0,0.852887404,0,0,0,0.99741047,0,0.324354458,0.360836835,0,0,0.018626623,0,0.877429946,1036.772365,2600.561525,260.976619,451.715664,3461.817251,36.475637
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",7,75,0.769887961,-2.494987847,0.564738671,0.046469845,-0.089371729,-0.201922458,-0.35482636,-0.489401725,-0.079428446,-0.093399075,-0.201059879,-0.228624574,1.27754274,10.25667717,11.53421991,0,0,0.289437639,0.058165153,0,0,0,0,0.043391939,0,0,0,0,2.380379706,0,0,2.04029956,0,0,0,2.803874174,2.083157164,0.085117318,0.403799238,0,0.460849783,0.328840446,0.454172056,0,1.111276746,0.200945775,0.607641378,0,0,0,0,0,0,0,0.736191614,0.091886676,0,0,1.338462214,0.146332567,0,0,0,0.225688585,0,0.136452426,0.442899825,0,0,0,0.085170547,0.088092946,0,0.068887149,0.069561059,0,0.075806015,0.123319397,0.405280037,0.19875369,0.861657105,0.55778672,0,0.353760926,0.089998511,0,0.062233659,0,0,0.060688344,1.110827534,1.635837088,3.957345764,0.262895564,0.190429152,0.870204492,0,1.761066223,0,0,0,0,0,1.005188726,0,0,0,0.99741047,0,0,1.029053195,0,0,0.088053125,0,0.343342153,1110.827534,1635.837088,262.895564,190.429152,3957.345764,870.204492
