site_number,reporting_area,site_name,latitude,longitude,p450,sod,shell,length,height,width,weight_change,weight_initial,weight_final,ci1,ci2,ci3,ibr_bio,ibr_morph,ibr_combined,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index,total_con_index,z_alpha_chlordane,z_beta_chlordane,z_trans_nonachlor,z_opDDD,z_opDDT,z_ppDDD,z_ppDDT,z_ppDDE,z_alpha_hexachlorocyclohexane,z_beta_hexachlorocyclohexane,z_gamma_hexachlorocyclohexane,z_arsenic,z_cadmium,z_mercury,z_copper,z_lead,z_zinc,z_acenaphthene,z_acenaphthylene,z_C1-dibenzothiophenes,z_C1-fluorenes,z_C1-naphthalenes,z_C1-phenanthrenes_anthracenes,z_C2-dibenzothiophenes,z_C2-fluorenes,z_C2-naphthalenes,z_C2-phenanthrenes_anthracenes,z_C3-dibenzothiophenes,z_C3-fluorenes,z_C3-naphthalenes,z_C3-phenanthrenes_anthracenes,z_C4-dibenzothiophenes,z_C4-naphthalenes,z_C4-phenanthrenes_anthracenes,z_dibenzothiophene,z_fluorene,z_naphthalene,z_phenanthrene,z_benz_a_anthracene,z_benzo_a_pyrene,z_benzo_b_fluoranthene,z_benzo_e_pyrene,z_benzo_ghi_perylene,z_benzo_k_fluoranthene,z_C1-benzanthracenes_chrysenes,z_C1-fluoranthenes_pyrenes,z_C2-benzanthracenes_chrysenes,z_C2-fluoranthenes_pyrenes,z_C3-benzanthracenes_chrysenes,z_C3-fluoranthenes_pyrenes,z_C4-benzanthracenes_chrysenes,z_C4-fluoranthenes_pyrenes,z_chrysene,z_dibenz_ah_anthracene,z_fluoranthene,z_indeno_123cd_pyrene,z_perylene,z_pyrene,z_1-methylnaphthalene,z_1-methylphenanthrene,z_1_7-dimethylphenanthrene,z_2-methylnaphthalene,z_235-trimethylnaphthalene,z_26-dimethylnaphthalene,z_3-methylphenanthrene,z_9-methylphenanthrene,z_retene,z_BDE100,z_BDE047,z_BDE099,z_PCB101,z_PCB105,z_PCB110,z_PCB118,z_PCB128,z_PCB138,z_PCB149,z_PCB151,z_PCB153,z_PCB156,z_PCB158,z_PCB017,z_PCB170,z_PCB177,z_PCB018,z_PCB180,z_PCB183,z_PCB187,z_PCB028,z_PCB031,z_PCB033,z_PCB044,z_PCB049,z_PCB052,z_PCB066,z_PCB070,z_PCB074,z_PCB087,z_PCB095,z_PCB099,z_dieldrin,z_mirex,z_arsenic,z_cadmium,z_mercury,z_copper,z_lead,z_zinc
77,7,Aiston Preserve,48.6793778,-122.6300583,0.847866067,-5.849011643,0.412795261,-0.07245954,-0.150817343,-0.11275877,-0.354103168,-0.331024941,-0.280553132,-0.018245357,-0.021713194,-0.134198711,6.993865959,1.127387361,8.12125332,0,0.913807933,0,10.11160417,1.286763023,11.39836719,1.86765393,0.005649625,2.139119284,4.012422839,0,13.19783118,0,29.52242914,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-0.388266837,-0.149905073,-0.444459571,-0.115470054,-1.470241954,-1.372425373,-0.050286968,-0.671631004,-0.782501435,-0.695260387,-0.229236898,-0.160755402,-0.234492818,-0.283694536,-0.315388755,-0.344043061,-0.364053743,-0.460124335,-0.12087801,-0.386762828,-0.490803088,-0.531040676,-0.224736767,-0.603583492,-0.533631239,-0.403559976,-0.756260916,-0.185435908,-0.216105622,-0.375148115,-0.283069044,-0.348581828,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.426388469,-0.362816023,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.381523099,-0.283220912,-0.304943041,-0.359927918,-0.389083926,-0.304180403,-0.191452626,-0.399678273,-0.69922958,-0.397009614,-0.181678694,-0.239741722,-0.396374531,-0.301703671,-1.149560392,-0.22868603,-0.770030137,-0.605705551,-0.870885696,-1.335471913,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.639693608,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,-1.324994538,-0.500898343,-0.286546897,-0.696907777,0.287965456,-1.458940947,0.340469274,-0.648232377,-0.421261862,-1.487008635,-0.799739964,-0.966629525,-0.263493966,-0.634168596,-1.12738022,-1.068825603,-0.510352985,-0.115470054,-1.470241954,-1.372425373,-0.050286968,-0.671631004,-0.782501435,-0.695260387
13,11,Arroyo Beach,47.50159,-122.38577,0.96787539,-2.779299725,0.508517553,-0.010674119,-0.050108853,-0.053084555,-0.187387827,-0.104383952,0.062042324,-0.073627953,-0.081863133,-0.15543191,4.06595583,0.940100521,5.00605635,5.496493742,1.218410577,0,6.620491767,2.414090673,9.03458244,4.965709481,2.314961583,5.363599564,12.64427063,3.024165668,16.70811458,0,48.12603764,1.95060041,-0.336594759,2.735699803,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-0.083664193,-0.149905073,-0.444459571,-0.115470054,1.71413031,0.976468908,0.36265346,-0.420249114,-0.268785582,1.805926176,-0.229236898,-0.160755402,-0.234492818,0.020397562,-0.315388755,-0.203794976,-0.364053743,-0.127331771,0.325276062,-0.480415671,-0.490803088,-0.230451614,-0.224736767,-0.1594866,-0.533631239,-0.190786702,0.02165288,-0.185435908,-0.216105622,-0.375148115,-0.195059479,-0.219378841,-0.302027749,-0.233276936,-0.239325265,-0.410055899,-0.235735651,-0.222975031,-0.231477687,-0.204053303,-0.218288338,-0.135671828,-0.251158965,-0.346068858,-0.395481464,-0.211055331,-0.283220912,-0.220078961,-0.359927918,-0.389083926,-0.231998054,-0.191452626,-0.134125318,0.037939643,-0.397009614,-0.181678694,-0.239741722,-0.19317501,-0.156035895,0.948641651,-0.22868603,0.737278735,0.911151245,-0.13121173,0.351317524,-0.574233955,-0.402812367,-0.474532547,-0.377375669,0.025649457,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,0.355252159,-0.500898343,-0.286546897,-0.696907777,-0.09093646,0.076016963,-1.617229051,-0.648232377,-0.421261862,0.010753162,-0.799739964,0.452658149,-0.263493966,-0.634168596,0.122949044,0.146457153,-0.510352985,-0.115470054,1.71413031,0.976468908,0.36265346,-0.420249114,-0.268785582,1.805926176
41,11,Blair Waterway,47.2758,-122.4174,1.069645831,-1.235241779,0.443443123,-0.03669074,-0.033416901,-0.034649686,-0.073636043,-0.089628443,-0.137628647,0.03105049,0.016546353,0.025754813,2.304887611,0.762578816,3.067466427,8.654466903,6.26324646,2.012647112,8.282830359,2.237846406,10.52067676,14.23481608,4.974135826,9.608021663,28.81697357,14.05814798,17.1068985,0,87.43305729,2.164638495,3.235755279,2.107284841,0.830876538,-0.229593899,0.446300742,1.421364527,0.891064269,-0.149905073,1.568187541,-0.115470054,0.084916594,-1.036869047,0.011654097,-0.297436587,-0.113785109,1.597493963,-0.031755077,-0.160755402,0.154866164,0.151391082,-0.315388755,-0.015185482,0.431027659,0.298137204,1.636969031,-0.480415671,0.512344359,0.450474628,-0.224736767,0.495738323,1.059675303,0.57242178,0.949092686,-0.185435908,-0.060041951,-0.375148115,-0.143957151,-0.166523074,-0.191692274,-0.241105021,-0.168883686,-0.023440102,-0.25942503,-0.133981651,-0.152674686,0.076525184,-0.047928033,0.232490753,0.097457735,-0.346068858,0.057930428,-0.179291151,-0.283220912,-0.157845303,-0.359927918,-0.226208062,-0.128552013,-0.191452626,0.264204114,0.627675021,-0.397009614,-0.181678694,0.416543335,-0.057708664,0.019622306,3.237589335,5.364178824,3.416938952,3.672608489,-0.066892254,0.409482677,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.003278502,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,0.595287401,-0.500898343,-0.286546897,-0.696907777,0.439526222,0.569396291,0.510703911,1.370763814,-0.421261862,0.529209168,-0.799739964,0.850058698,-0.263493966,-0.634168596,0.346222127,0.239940441,-0.510352985,-0.115470054,0.084916594,-1.036869047,0.011654097,-0.297436587,-0.113785109,1.597493963
42,11,Blair Waterway Two,47.2632,-122.3856,0.97396538,-0.848228207,0.493074716,-0.138200037,-0.139519956,-0.22184182,-0.559837405,-0.43820853,-0.187699612,-0.060523501,-0.121024017,-0.150017864,2.640298581,1.552473935,4.192772516,0,9.855249892,2.012647112,4.685947408,0.763614778,5.449562187,18.92230897,8.786300782,6.576063172,34.28467292,4.95243102,17.31854006,3.46431662,77.33741981,-0.40381852,-0.336594759,-0.406375009,2.251448126,-0.229593899,1.500731115,1.837779916,1.591650351,-0.149905073,1.568187541,-0.115470054,-0.137248913,-1.078813587,-3.849338902,0.335815502,-0.733787,-0.017855693,0.02748947,-0.160755402,-0.234492818,0.184139462,-0.315388755,-0.053874609,0.66487513,0.761519255,1.485276647,0.514645785,1.145911168,1.524006991,-0.224736767,1.223766016,1.439034004,0.711186959,1.706186404,-0.185435908,-0.074229557,-0.375148115,-0.158152242,-0.1782688,-0.302027749,-0.16282417,0.016025459,0.392354245,-0.196253351,0.158425166,-0.115899952,0.949436033,0.122432273,1.485810179,0.539038889,-0.346068858,0.302075293,-0.07341055,-0.283220912,-0.171989316,-0.359927918,-0.389083926,-0.140046017,-0.191452626,0.106136879,0.775108865,-0.397009614,-0.181678694,-0.239741722,-0.04077537,0.041044038,0.834194267,-0.22868603,1.965456334,1.611238997,0.158225909,-1.335471913,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.032206461,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,-1.324994538,-0.500898343,-0.286546897,-0.696907777,0.363745839,-1.458940947,-1.617229051,-0.648232377,-0.421261862,0.75963406,1.041766532,-0.966629525,-0.263493966,-0.634168596,0.480185977,0.473648664,2.953963635,-0.115470054,-0.137248913,-1.078813587,-3.849338902,0.335815502,-0.733787,-0.017855693
23,10,Brackenwood Ln,47.68203,-122.50668,-0.239118567,-3.128869865,0.135014958,0.060451275,-0.056384511,0.002992348,0.05732411,0.082626236,0.124154912,0.050092817,-0.024215344,-0.132467414,3.71252553,0.5344433,4.24696883,0,1.127029784,0,7.149746805,0.805973096,7.955719901,4.698216875,1.573226289,4.914909178,11.18635234,0.949046327,19.27573878,0,40.49388713,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-0.175044986,-0.149905073,-0.444459571,-0.115470054,0.455192438,0.221467175,0.50718261,-0.239868216,-0.445928979,0.555332895,-0.229236898,-0.160755402,-0.234492818,-0.283694536,-0.315388755,-0.189286553,-0.364053743,-0.123119207,0.325276062,-0.480415671,-0.490803088,0.021061683,-0.224736767,-0.223189023,-0.533631239,-0.167659172,-0.205475235,-0.185435908,-0.216105622,-0.375148115,-0.16099126,-0.219378841,-0.302027749,-0.256761191,-0.265740857,-0.410055899,-0.25152857,-0.27382839,-0.226224154,-0.347460085,-0.23248503,-0.550833887,-0.309261748,-0.346068858,-0.395481464,-0.221643391,-0.283220912,-0.213006955,-0.359927918,-0.389083926,-0.222802851,-0.191452626,-0.130963973,-0.011204972,-0.397009614,-0.181678694,-0.239741722,-0.176241717,-0.156035895,0.529001243,-0.22868603,0.17901619,-0.605705551,-0.25985068,-1.335471913,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.061134421,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,0.53527859,-0.500898343,-0.286546897,-0.696907777,0.287965456,0.404936515,-1.617229051,-0.648232377,-0.421261862,0.068359385,-0.799739964,-0.966629525,-0.263493966,-0.634168596,0.122949044,-1.068825603,-0.510352985,-0.115470054,0.455192438,0.221467175,0.50718261,-0.239868216,-0.445928979,0.555332895
30,12,Broad Spit,47.80934,-122.81556,-0.079949789,-1.038652798,0.119848324,-0.012861448,-0.126613487,-0.102438061,-0.21056707,-0.222709667,-0.253924125,0.031130107,0.013390815,-0.17706401,1.762640142,0.70836621,2.471006352,0,0,0,4.898880653,3.488904464,8.387785117,0.941057984,0.059126699,2.368014052,3.368198735,0,8.463128429,0,20.21911228,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-1.30207477,-0.149905073,-0.444459571,-0.115470054,-1.692407461,0.263411716,-3.849338902,-0.769497235,-1.619503988,-1.997961723,-0.229236898,-0.160755402,-0.234492818,-0.283694536,-0.315388755,-0.33920692,-0.364053743,-0.460124335,-1.191647781,-0.36920292,-0.490803088,-0.531040676,-0.224736767,-0.610863769,-0.533631239,-0.537699649,-0.735440838,-0.185435908,-0.216105622,-0.375148115,-0.268873953,-0.348581828,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.426388469,-0.362816023,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.348700113,-0.283220912,-0.306357443,-0.359927918,-0.389083926,-0.326248892,-0.191452626,-0.399678273,-0.69922958,-0.397009614,-0.181678694,-0.239741722,-0.396374531,-0.301703671,-0.844367368,-0.22868603,-0.770030137,-0.605705551,-0.935205172,-0.055838547,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.697549527,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,-1.324994538,-0.500898343,-0.286546897,-0.696907777,-2.137006803,-1.458940947,0.085117318,-0.648232377,-0.421261862,-1.487008635,-0.799739964,0.225572121,-0.263493966,-0.634168596,-1.12738022,-1.068825603,-0.510352985,-0.115470054,-1.692407461,0.263411716,-3.849338902,-0.769497235,-1.619503988,-1.997961723
54,11,Browns Point Lighthouse,47.304906,-122.44427,1.692194057,-2.282096956,0.482832058,-0.013139591,-0.094866868,-0.072498266,-0.052009259,-0.039535313,-0.016449073,0.12827297,-0.011282252,-0.016138002,4.040994149,0.819905234,4.860899383,4.414928496,4.523874106,0,7.182151453,1.791750164,8.973901617,5.24726184,2.484056677,4.140664638,11.87198316,0,16.34937702,1.520919492,47.65498389,1.629543284,2.044971933,-0.406375009,-0.447637892,-0.229593899,0.536039497,1.236291021,0.525541096,-0.149905073,-0.444459571,-0.115470054,0.603302776,-0.323811854,0.142418565,0.086352558,-0.06064209,0.867981215,-0.087049987,-0.160755402,-0.234492818,-0.283694536,0.172738293,-0.184450412,0.005425261,-0.038867925,-1.191647781,-0.12921751,0.010770636,0.021061683,0.206659221,-0.232289369,0.020232464,-0.098276583,-0.035129149,-0.185435908,-0.109698573,-0.375148115,-0.183703406,-0.225251704,-0.302027749,-0.280245446,-0.248130462,-0.410055899,-0.27521795,-0.210261691,-0.22097062,-0.141702528,-0.218288338,0.013159854,-0.204676738,-0.346068858,-0.395481464,-0.221643391,-0.283220912,-0.225736567,-0.359927918,-0.389083926,-0.215906448,-0.191452626,-0.020316909,-0.011204972,0.418214346,-0.181678694,-0.239741722,-0.19317501,-0.13247199,0.452702986,-0.22868603,-0.770030137,-0.605705551,0.061746696,0.409482677,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.003278502,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,0.47526978,-0.500898343,-0.286546897,0.276168241,0.13640469,0.569396291,0.510703911,0.966964576,-0.421261862,0.356390499,0.581389908,0.62297267,-0.263493966,-0.634168596,0.212258277,0.33342373,1.010566507,-0.115470054,0.603302776,-0.323811854,0.142418565,0.086352558,-0.06064209,0.867981215
64,7,Cap Sante,48.52093,-122.600725,0.602164164,0.397814101,0.359074096,-0.105277684,-0.259203146,-0.1858928,-0.576094204,-0.53533208,-0.458665986,-0.02588507,-0.040385273,-0.259823796,2.084572725,1.493017101,3.577589826,0,3.005963896,2.138437556,7.703035218,0.989468613,8.692503831,7.813565022,3.304284261,2.201870905,13.31972019,0,13.90623614,0,41.06286161,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,0.199519166,0.542265373,0.038176865,-0.149905073,1.693977986,-0.115470054,-1.02591094,0.137578094,-0.504521438,-0.587197392,-0.786930019,-0.486828174,-0.229236898,-0.160755402,-0.234492818,-0.283694536,-0.315388755,-0.271500948,0.061548654,-0.460124335,0.057583619,-0.135070813,0.670736061,-0.132300084,-0.224736767,0.040721016,1.135547043,-0.144531643,0.154144281,-0.185435908,-0.216105622,-0.375148115,-0.254678862,-0.303360783,-0.302027749,-0.382010552,-0.362598028,-0.410055899,-0.409457769,-0.27382839,-0.278759488,0.045349797,-0.189894954,0.624153074,0.074216622,-0.346068858,0.042982783,-0.327523992,-0.283220912,-0.28231262,-0.359927918,-0.389083926,-0.284870476,-0.191452626,-0.399678273,-0.69922958,-0.397009614,-0.181678694,-0.239741722,-0.260908184,-0.301703671,-0.99696388,-0.22868603,-0.770030137,-0.605705551,-0.806566221,-1.335471913,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-1.276108715,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,-1.324994538,-0.500898343,-0.286546897,-0.696907777,0.212185073,-1.458940947,0.170234637,-0.648232377,-0.421261862,-1.487008635,-0.799739964,-0.966629525,-0.263493966,-0.634168596,-1.12738022,-1.068825603,-0.510352985,-0.115470054,-1.02591094,0.137578094,-0.504521438,-0.587197392,-0.786930019,-0.486828174
56,13,Chambers Bay Park,47.2009,-122.58342,1.607100703,0.084869129,0.789066354,-0.048475059,-0.155967517,-0.137329051,-0.448502857,-0.295533904,0.010484414,-0.106929065,-0.151558214,-0.300932651,2.046612325,1.616172341,3.662784667,0,0.852887404,0,7.099151142,0.74916792,7.848319061,1.391544039,0.93444923,2.578658331,4.9046516,0,11.38149971,1.013946328,26.0013041,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-0.449187366,-0.149905073,-0.444459571,-0.115470054,-0.137248913,-0.030200069,-0.38752165,-0.481655377,-0.348500111,0.086360414,-0.229236898,-0.160755402,-0.234492818,-0.283694536,0.084715383,-0.310190075,-0.364053743,-0.460124335,-1.191647781,-0.30481659,-0.490803088,-0.328603144,-0.024445773,-0.505299754,-0.533631239,-0.537699649,-0.48938538,-0.185435908,-0.216105622,-0.375148115,-0.266034935,-0.294551488,-0.302027749,-0.311557787,-0.319452561,-0.410055899,-0.340758568,-0.342480426,-0.305027155,-0.394223166,-0.343219229,-0.550833887,-0.372012754,-0.346068858,-0.395481464,-0.322229962,-0.283220912,-0.289384627,-0.359927918,-0.222420251,-0.289468078,-0.191452626,-0.399678273,-0.374875122,0.271206747,-0.181678694,-0.239741722,-0.303241417,-0.301703671,-0.233981319,-0.22868603,-0.770030137,-0.605705551,-0.324170156,0.118656912,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.176846258,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,-0.004800705,-0.500898343,-0.286546897,0.137157382,-0.09093646,0.185656814,0.170234637,0.563165338,-0.421261862,-0.104459284,0.252549462,0.395886642,-0.263493966,0.625278382,-0.011014805,0.052973864,0.503593343,-0.115470054,-0.137248913,-0.030200069,-0.38752165,-0.481655377,-0.348500111,0.086360414
75,7,"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0.847157948,-2.055454325,0.508169283,-0.08512171,-0.175739331,-0.238947779,-0.45034229,-0.349113008,-0.13666493,0.049397463,-0.100470934,-0.192520477,2.902612273,1.495792842,4.398405115,0,1.005188726,1.761066223,6.704010387,1.323529208,8.027539595,3.203084453,3.015825558,2.457858943,8.676768954,0,13.35134807,0,32.82191157,-0.40381852,-0.336594759,-0.406375009,-0.447637892,-0.229593899,-0.540825564,-0.383102158,-0.296886044,-0.149905073,1.316606652,-0.115470054,-0.211304082,0.934524367,0.108006863,-0.483574323,-0.609786622,-0.747368441,-0.229236898,-0.160755402,-0.234492818,-0.283694536,-0.315388755,-0.252156384,-0.364053743,-0.460124335,0.146814433,-0.234576958,-0.490803088,-0.531040676,-0.224736767,-0.386995254,-0.533631239,-0.260169292,-0.337966636,-0.185435908,-0.216105622,-0.375148115,-0.183703406,-0.260488883,-0.302027749,-0.313123404,-0.293036969,-0.410055899,-0.333651754,-0.303069072,-0.273505955,-0.141702528,-0.23248503,0.310823217,0.074216622,-0.346068858,-0.041720537,-0.295759812,-0.283220912,-0.244123784,-0.359927918,-0.389083926,-0.243492059,-0.191452626,-0.399678273,-0.69922958,-0.397009614,-0.181678694,-0.239741722,-0.233814914,-0.301703671,-0.768069112,-0.22868603,-0.770030137,-0.605705551,-0.742246746,0.002326606,-0.574233955,-0.402812367,-0.474532547,-0.377375669,-0.639693608,-0.325643257,-0.556016418,-0.115470054,-0.162716982,-0.314942546,-0.115470054,-0.286085169,0.715305022,-0.500898343,-0.286546897,-0.696907777,0.666867371,0.624216217,0.425586592,0.966964576,-0.421261862,0.125965607,0.515621819,0.679744177,-0.263493966,-0.634168596,-0.278942505,-1.068825603,-0.510352985,-0.115470054,-0.211304082,0.934524367,0.108006863,-0.483574323,-0.609786622,-0.747368441
