site_name,latitude,longitude,reporting_area,site_number,sample_id,sod,mercury,arsenic,cadmium,copper,lead,Zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup
Aiston Preserve,48.6793778,-122.6300583,7,77,240,4.876828946,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low
Aiston Preserve,48.6793778,-122.6300583,7,77,241,8.871340047,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low
Aiston Preserve,48.6793778,-122.6300583,7,77,242,0.010085806,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low
Aiston Preserve,48.6793778,-122.6300583,7,77,239,-0.231516211,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011,low
Hood Canal Holly,47.5706,-122.9717,12,29,104,-2.252840645,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Hood Canal Holly,47.5706,-122.9717,12,29,106,-1.042776741,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Hood Canal Holly,47.5706,-122.9717,12,29,107,-1.627925903,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Hood Canal Holly,47.5706,-122.9717,12,29,108,-0.271091044,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Hood Canal Holly,47.5706,-122.9717,12,29,105,9.830249155,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Hood Canal Holly,47.5706,-122.9717,12,29,109,-6.291756545,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825,low
Jamestown,48.024789,-122.998135,6,2,82,7.943421681,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Jamestown,48.024789,-122.998135,6,2,83,12.47222522,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Jamestown,48.024789,-122.998135,6,2,84,8.018069641,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Jamestown,48.024789,-122.998135,6,2,85,5.416664521,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Jamestown,48.024789,-122.998135,6,2,87,7.040998451,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Jamestown,48.024789,-122.998135,6,2,86,5.625314342,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046,low
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,269,0.896484575,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,107.1669458,35.49905081,30.14070352,18.75421552,127.2607482,low
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,270,10.87473912,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,107.1669458,35.49905081,30.14070352,18.75421552,127.2607482,low
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,271,7.415835244,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,107.1669458,35.49905081,30.14070352,18.75421552,127.2607482,low
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,272,9.276955011,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,107.1669458,35.49905081,30.14070352,18.75421552,127.2607482,low
Maristone Island,48.018127,-122.699524,9,11,307,12.99176142,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Maristone Island,48.018127,-122.699524,9,11,308,5.332301682,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Maristone Island,48.018127,-122.699524,9,11,309,0.262851136,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Maristone Island,48.018127,-122.699524,9,11,310,4.94871819,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Maristone Island,48.018127,-122.699524,9,11,311,8.388476306,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Maristone Island,48.018127,-122.699524,9,11,312,2.408282836,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,112.8883904,41.62759394,36.68872686,23.98878295,134.0549635,low
Oak Bay County Park,48.02218,-122.728709,9,10,89,7.394624094,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,102.5963489,47.45081136,36.54994929,33.98504057,141.0699797,low
Oak Bay County Park,48.02218,-122.728709,9,10,90,25.05063933,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,102.5963489,47.45081136,36.54994929,33.98504057,141.0699797,low
Oak Bay County Park,48.02218,-122.728709,9,10,91,2.378617931,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,102.5963489,47.45081136,36.54994929,33.98504057,141.0699797,low
Oak Bay County Park,48.02218,-122.728709,9,10,88,12.53274497,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,102.5963489,47.45081136,36.54994929,33.98504057,141.0699797,low
Kopachuck State Park,47.30973,-122.68868,13,52,249,4.823167904,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476,low
Kopachuck State Park,47.30973,-122.68868,13,52,250,4.09548162,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476,low
Kopachuck State Park,47.30973,-122.68868,13,52,251,9.209739195,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476,low
Kopachuck State Park,47.30973,-122.68868,13,52,253,0.775164275,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476,low
Locust Beach,48.77636877,-122.5378679,7,76,236,7.075662067,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low
Locust Beach,48.77636877,-122.5378679,7,76,237,3.413700619,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low
Locust Beach,48.77636877,-122.5378679,7,76,238,3.907380687,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low
Locust Beach,48.77636877,-122.5378679,7,76,235,10.20436255,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low
Raft Island Park,47.32598,-122.66724,13,53,218,-2.938910499,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low
Raft Island Park,47.32598,-122.66724,13,53,219,2.854840932,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low
Raft Island Park,47.32598,-122.66724,13,53,221,1.225909173,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low
Raft Island Park,47.32598,-122.66724,13,53,220,11.02887301,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low
Filucy Bay,47.19483,-122.748665,13,59,174,6.86633235,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low
Filucy Bay,47.19483,-122.748665,13,59,175,2.005993872,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low
Filucy Bay,47.19483,-122.748665,13,59,176,10.58470317,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low
Filucy Bay,47.19483,-122.748665,13,59,177,0.579480274,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low
Purdy - Dexters,47.38566,-122.627255,13,57,146,-0.726438224,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low
Purdy - Dexters,47.38566,-122.627255,13,57,147,-1.350978239,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low
Purdy - Dexters,47.38566,-122.627255,13,57,148,7.035831342,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low
Purdy - Dexters,47.38566,-122.627255,13,57,145,-2.022213643,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,41,3.647970995,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,42,9.55562411,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,43,20.2799322,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,44,16.88754424,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low
Minter Bay,47.3539722,-122.69175,13,55,178,8.582403952,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low
Minter Bay,47.3539722,-122.69175,13,55,179,5.088217182,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low
Minter Bay,47.3539722,-122.69175,13,55,181,4.366696464,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low
Minter Bay,47.3539722,-122.69175,13,55,180,2.001667492,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low
North Camano,48.255358,-122.507014,8.1,7,303,-4.614512812,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low
North Camano,48.255358,-122.507014,8.1,7,304,0.563539484,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low
North Camano,48.255358,-122.507014,8.1,7,305,2.438321368,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low
North Camano,48.255358,-122.507014,8.1,7,306,-1.431361479,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low
Chimacum Creek delta,48.04906,-122.7724,9,8,101,2.836595091,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low
Chimacum Creek delta,48.04906,-122.7724,9,8,102,-0.411084509,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low
Chimacum Creek delta,48.04906,-122.7724,9,8,103,2.177169169,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low
Chimacum Creek delta,48.04906,-122.7724,9,8,100,2.599387649,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low
Eld Inlet,47.074603,-123.003527,13,72,186,10.97488133,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low
Eld Inlet,47.074603,-123.003527,13,72,187,12.53975476,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low
Eld Inlet,47.074603,-123.003527,13,72,188,7.039960378,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low
Eld Inlet,47.074603,-123.003527,13,72,189,8.890455718,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low
Squaxin Island,47.17650485,-122.9046464,13,38,198,2.863819168,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low
Squaxin Island,47.17650485,-122.9046464,13,38,200,-2.758227253,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low
Squaxin Island,47.17650485,-122.9046464,13,38,201,6.787558343,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low
Squaxin Island,47.17650485,-122.9046464,13,38,199,16.64218412,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low
Maple Hollow Park,47.30008,-122.74566,13,51,202,-4.054863729,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low
Maple Hollow Park,47.30008,-122.74566,13,51,203,3.693735405,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low
Maple Hollow Park,47.30008,-122.74566,13,51,204,-4.118362993,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low
Maple Hollow Park,47.30008,-122.74566,13,51,205,14.78725935,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,128,14.49211121,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,129,8.658705938,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,130,7.718495123,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,127,15.5983052,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low
Reach Island,47.346537,-122.82236,13,39,274,0.367192171,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low
Reach Island,47.346537,-122.82236,13,39,275,0.027603544,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low
Reach Island,47.346537,-122.82236,13,39,276,10.30410019,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low
Reach Island,47.346537,-122.82236,13,39,273,7.635785614,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,8.102054819,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,6.983254366,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,28.43107695,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,17.33121699,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low
Penrose Point State Park,47.2619,-122.7376,13,50,9,2.458114405,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low
Penrose Point State Park,47.2619,-122.7376,13,50,10,4.845219744,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low
Penrose Point State Park,47.2619,-122.7376,13,50,11,7.437724633,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low
Penrose Point State Park,47.2619,-122.7376,13,50,12,2.951183557,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,26,8.472448187,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,27,13.73110982,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,28,20.08888619,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,25,2.551723422,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,74,12.06426511,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,76,9.52954338,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,77,5.590486277,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,75,13.01747486,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low
Discovery Bay,48.064957,-122.857524,6,12,162,17.51233423,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,mid
Discovery Bay,48.064957,-122.857524,6,12,163,1.485244682,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,mid
Discovery Bay,48.064957,-122.857524,6,12,164,15.95677737,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,mid
Discovery Bay,48.064957,-122.857524,6,12,165,2.375798532,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,193,10.00722962,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,190,2.633340391,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,191,3.165587108,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,192,-0.872847897,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid
Madrona Pont,47.57995505,-122.6786,10,28,154,4.664119899,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid
Madrona Pont,47.57995505,-122.6786,10,28,155,2.368626171,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid
Madrona Pont,47.57995505,-122.6786,10,28,156,2.732598326,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid
Madrona Pont,47.57995505,-122.6786,10,28,153,8.314830271,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid
Kingston Marina,47.794695,-122.499858,10,36,167,7.72157521,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid
Kingston Marina,47.794695,-122.499858,10,36,168,3.93967446,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid
Kingston Marina,47.794695,-122.499858,10,36,169,1.276097616,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid
Kingston Marina,47.794695,-122.499858,10,36,166,4.546235148,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid
Lions Park,47.5833538,-122.6414587,10,37,299,6.100228734,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid
Lions Park,47.5833538,-122.6414587,10,37,300,13.89101567,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid
Lions Park,47.5833538,-122.6414587,10,37,301,7.869005582,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid
Lions Park,47.5833538,-122.6414587,10,37,302,13.83630825,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid
Miller Creek,47.4436,-122.360316,11,20,234,7.313642106,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid
Miller Creek,47.4436,-122.360316,11,20,231,-1.53347398,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid
Miller Creek,47.4436,-122.360316,11,20,233,7.704130638,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid
Miller Creek,47.4436,-122.360316,11,20,232,1.041075559,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid
S of Skunk Island,48.02667,-122.75076,9,9,13,8.989428286,0.028685714,8,1.748571429,5.702857143,0.462285714,76,162.156563,144.1391671,28.22725356,132.1275698,294.2841328,mid
S of Skunk Island,48.02667,-122.75076,9,9,14,8.102061708,0.028685714,8,1.748571429,5.702857143,0.462285714,76,162.156563,144.1391671,28.22725356,132.1275698,294.2841328,mid
S of Skunk Island,48.02667,-122.75076,9,9,15,0.978012927,0.028685714,8,1.748571429,5.702857143,0.462285714,76,162.156563,144.1391671,28.22725356,132.1275698,294.2841328,mid
