reporting_area,site_name,avg_sod,a94,a96,a100,a102,a104,a105,a106,a108,a110,a111,a89,a91,a95,a97,a101,a103
7,Aiston Preserve,3.381684647,8.522766885,-3.104722222,9.740305011,-3.104722222,-3.104722222,9.131535948,5.600675381,-3.104722222,3.530860566,6.026813725,-2.252445534,-3.104722222,-2.252445534,-3.104722222,-2.252445534,-3.104722222
11,Arroyo Beach,8.197321878,25.81431425,-3.842130493,40.2223036,-3.842130493,5.883262317,13.80765646,34.81930759,-3.842130493,9.004993342,30.61697736,9.605326232,15.00832224,6.603661784,9.004993342,3.181764314,6.003328895
11,Blair Waterway,6.517562309,45.10589363,9.35122185,66.00862482,10.4513656,17.60229995,34.10445616,71.50934356,11.55150934,26.40344993,55.00718735,12.65165309,22.00287494,11.00143747,14.85194058,5.500718735,13.75179684
11,Blair Waterway #2,10.79622215,45.2103232,13.4409069,103.8615533,18.93945972,40.93367101,34.82416787,128.2995658,15.88470815,32.99131693,85.5330439,28.10371442,28.71466474,29.32561505,23.82706223,15.88470815,26.8818138
10,Brackenwood Ln,7.194038853,27.13770287,-3.539700375,38.34675406,-3.539700375,10.61910112,14.1588015,30.08745318,-3.539700375,9.439200999,23.00805243,7.079400749,15.33870162,3.7756804,8.259300874,-2.182815231,4.424625468
12,Broad Spit,7.116003488,10.04690117,-4.353657175,12.72607482,-4.353657175,-4.353657175,9.377107761,5.626264657,-4.353657175,-4.353657175,7.367727527,-2.746152987,-4.353657175,-2.746152987,-4.353657175,-2.746152987,-4.353657175
11,Browns Point Lighthouse,2.311767254,27.49820039,4.622037938,35.1040856,5.558146887,10.53122568,16.38190661,29.25340467,4.270997082,11.11629377,28.08326848,9.946157588,15.79683852,7.605885214,8.776021401,4.212490272,7.020817121
7,Cap Sante,18.50459184,18.46262774,5.793445255,37.56189781,14.00613139,8.276350365,12.73284672,50.93138686,14.00613139,10.82291971,36.92525547,7.639708029,10.18627737,12.09620438,10.82291971,9.549635036,15.27941606
13,Chambers Bay Park,11.61690437,12.38713799,-2.713373083,17.69591141,-2.713373083,3.893100511,7.668228279,11.79727428,-2.713373083,-2.654386712,14.15672913,3.893100511,6.488500852,2.890332198,3.657155026,-1.887563884,2.831345826
7,"Cherry Point Aquatic Reserve, Conoco Phillips",3.863908288,19.92105044,-3.62200917,25.35406419,-3.62200917,-3.62200917,14.48803668,19.92105044,-3.62200917,7.244018341,19.31738224,5.855581492,10.26235932,7.847686536,8.451354731,6.640350146,14.48803668
9,Chimacum Creek delta,1.80051685,13.10239234,-3.868325359,22.46124402,-3.868325359,-3.868325359,11.23062201,12.4784689,-3.868325359,6.863157895,12.4784689,-2.49569378,5.864880383,-2.49569378,-3.868325359,-2.49569378,-3.868325359
7,"Chuckanut, Clark's Point",11.2110419,14.34538653,-3.098603491,20.65735661,-3.098603491,3.155985037,10.90249377,13.19775561,-3.098603491,6.885785536,24.10024938,3.55765586,6.885785536,-2.008354115,4.188852868,-2.008354115,-3.098603491
11,Comm Bay Skookum,9.07430531,47.48232782,7.913721303,65.94767752,9.892151628,12.53005873,32.31436199,65.94767752,6.001238655,23.74116391,46.82285104,21.76273358,32.31436199,14.50848905,17.14639616,7.254244527,13.84901228
11,"Comm Bay, Dick Gilmur Launch",14.00873683,42.97004717,7.812735849,53.3870283,11.06804245,16.27653302,29.29775943,52.73596698,7.812735849,19.53183962,39.06367925,16.27653302,29.29775943,12.37016509,16.27653302,6.445507075,12.37016509
11,"Comm Bay, Milwaukee Waterway",8.040569912,34.32533693,6.730458221,46.44016173,8.749595687,16.15309973,28.94097035,49.80539084,8.749595687,21.53746631,41.72884097,14.80700809,19.51832884,13.46091644,11.44177898,6.730458221,10.76873315
11,Des Moines Marina,8.792656395,918.7931829,91.87931829,673.7816674,67.37816674,110.2551819,336.8908337,361.3919853,34.30161216,196.0092123,140.8816214,202.1345002,673.7816674,73.50345463,202.1345002,28.78885306,104.1298941
6,Discovery Bay,9.332538704,17.41618212,-1.929901262,24.00608886,-1.929901262,2.400608886,7.531321997,16.47476687,-1.929901262,4.377580911,13.17981349,3.200811849,8.472737246,-1.223839824,3.906873286,-1.223839824,2.071113549
11,Donkey Creek Delta,2.407837279,23.80359712,-3.438297362,31.07691847,4.760719424,9.256954436,14.54664269,27.77086331,4.297871703,7.273321343,21.81996403,13.22422062,19.1751199,8.595743405,9.918165468,4.892961631,7.934532374
10,Eagle Harbor Dr,12.6098516,40.56025563,8.249543518,48.12233719,10.99939136,14.43670116,17.186549,48.12233719,6.874619598,8.937005478,27.49847839,28.18594035,39.18533171,17.186549,21.99878271,8.249543518,18.56147292
7,"Eastsound, Fishing Bay",7.534952207,29.75782537,-3.692174629,38.02388797,4.022817133,5.124958814,12.12355848,30.30889621,4.684102142,7.714991763,21.49176277,9.919275124,19.28747941,5.180065898,9.368204283,-2.204283361,6.612850082
9,Edmonds Ferry,0.206329647,30.40056075,-4.209308411,39.16995327,-4.209308411,5.437023364,19.87728972,26.30817757,-4.209308411,12.27714953,32.15443925,9.354018692,22.80042056,5.203172897,8.769392523,-2.689280374,6.43088785
9,Edmonds Marina,13.85400356,38.07091413,3.689950139,42.17085873,3.86566205,5.857063712,17.57119114,35.14238227,-3.397096953,9.95700831,24.59966759,14.05695291,31.04243767,7.028476454,12.2998338,-2.049972299,8.785595568
