reporting_area,site_name,avg_sod,a21,a22,a25,a27,a55,a56,a57,a61,a62,a76,a77,a123
7,Aiston Preserve,3.381684647,1.704553377,1.400168845,2.252445534,2.800337691,-1.095784314,-1.095784314,1.82630719,-1.095784314,-1.095784314,-1.095784314,1.82630719,-3.104722222
11,Arroyo Beach,8.197321878,3.061697736,1.740965379,3.361864181,5.042796272,1.560865513,-1.380765646,1.500832224,1.680932091,1.560865513,-1.380765646,2.401331558,7.203994674
11,Blair Waterway,6.517562309,2.91538093,1.650215621,3.080402492,4.56559655,1.925251557,-1.320172496,1.760229995,1.815237183,1.540201246,2.420316243,3.960517489,11.00143747
11,Blair Waterway #2,10.79622215,3.665701881,2.016136035,3.482416787,5.070887603,2.382706223,1.710660878,2.68818138,2.199421129,2.016136035,5.559647853,5.804027979,12.82995658
10,Brackenwood Ln,7.194038853,2.772765293,-1.533870162,2.949750312,4.660605493,1.592865169,-1.533870162,-1.533870162,1.651860175,-1.533870162,-1.533870162,2.182815231,7.669350811
12,Broad Spit,7.116003488,1.74146287,1.473545505,2.478235623,3.215008375,-1.205628141,-1.272607482,1.406566164,-1.205628141,-1.205628141,-1.205628141,-1.071669458,-4.353657175
11,Browns Point Lighthouse,2.311767254,3.334888132,1.75520428,3.159367704,4.563531128,1.872217899,1.228642996,1.638190661,1.75520428,1.75520428,2.808326848,3.51040856,7.020817121
7,Cap Sante,18.50459184,1.909927007,1.464277372,2.100919708,2.928554745,-1.336948905,-1.336948905,1.846262774,-1.336948905,-1.336948905,2.100919708,2.801226277,5.093138686
13,Chambers Bay Park,11.61690437,2.654386712,1.474659284,2.890332198,4.188032368,1.415672913,0.943781942,1.415672913,1.474659284,1.415672913,-0.825809199,1.651618399,3.244250426
7,"Cherry Point Aquatic Reserve, Conoco Phillips",3.863908288,1.931738224,1.388436849,2.4750396,2.897607336,1.690270946,1.20733639,1.750637766,1.146969571,-0.965869112,-1.026235932,1.992105044,5.795214673
