latitude,longitude,reporting_area,site_number,site_name,sample_id,sod,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,PAHgroup7,PAHgroup8
47.40301418,-122.3305538,11,21,Des Moines Marina,1,4.026529443,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,2,4.409540288,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,3,5.06432411,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,4,21.67023174,3,4,4,5,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,5,0.512029657,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,6,6.048720312,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,7,2.325964468,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,8,14.39013715,2,3,3,3,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,9,2.458114405,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,10,4.845219744,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,11,7.437724633,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,12,2.951183557,1,2,1,1,0,0
48.02667,-122.75076,9,9,S of Skunk Island,13,8.989428286,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,14,8.102061708,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,15,0.978012927,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,16,22.37584808,2,2,2,2,0,0
47.94968,-122.30158,8.2,65,Mukilteo,17,7.612757795,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,18,6.400303292,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,19,0.27109511,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,20,16.14158661,2,3,3,3,0,0
47.8111,-122.388,9,68,Edmonds Marina,21,7.034310783,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,22,11.40220475,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,23,23.27140092,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,24,13.70809779,3,4,3,4,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",25,2.551723422,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",26,8.472448187,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",27,13.73110982,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",28,20.08888619,1,2,1,1,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",29,1.234264383,3,4,4,5,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",30,6.55111557,3,4,4,5,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",31,13.24037661,3,4,4,5,0,0
