Site_ID,Site_Name,County,City,Lat,Long,Number
PSS13175-000002,Arroyo Beach,King,Seattle,47.50161,-122.38593,6
PSS13175-000003,Brackenwood Ln,Kitsap,Bainbridge Island,47.68234,-122.5064,4
PSS13175-000005,Salmon Beach,Pierce,Tacoma,47.29464,-122.53053,4
PSS13175-000008,Chimacum Creek delta,Jefferson,Port Hadlock,48.04906,-122.7724,4
PSS13175-000019,Skiff Point,Kitsap,Bainbridge Island,47.66142,-122.49884,4
PSS13175-000024,S of Skunk Island,Jefferson,Port Hadlock,48.02667,-122.75076,4
PSS13175-000025,Blair Waterway,Pierce,Tacoma,47.27568,-122.4173,4
PSS13175-000027,"Chuckanut, Clark's Point",Whatcom,Bellingham,48.68975,-122.50434,4
PSS13175-000030,Kitsap St Boat Launch,Kitsap,Port Orchard,47.54167,-122.64034,4
PSS13175-000031,"Eastsound, Fishing Bay",San Juan,OrcasIsland,48.69368,-122.90985,4
PSS13175-000034,"Elliott Bay, Harbor Island, Pier 17",King,Seattle,47.58766,-122.35065,4
PSS13175-000035,Williams Olson Park,Kitsap,Bainbridge Island,47.66586,-122.56698,4
PSS13175-000038,Rocky Point,Kitsap,Bremerton,47.60255,-122.66992,4
PSS13175-000043,N Avenue Park,Skagit,Anacortes,48.52108,-122.61531,4
PSS13175-000052,Port Angeles Yacht Club,Clallam,Port Angeles,48.12823,-123.45715,6
SAM-1041,Discovery Bay,Jefferson,Port Townsend,48.064957,-122.857524,4
SAM-1042,Squaxin Island,Mason,South Shore,47.17650485,-122.9046464,0
SAM-1043,Eld Inlet,Thurston,Olympia,47.074603,-123.003527,4
SAM-1314,North Camano,Island,Camano,48.255358,-122.507014,4
SAM-1315,Reach Island,Mason,Allyn,47.346537,-122.82236,4
SAM-1317,Friday Harbor,San Juan,Friday Harbor,48.5069444,-123.0194444,5
SAM-1318,Tulalip Reservation,Snohomish,Marysville,48.0697859,-122.2997764,4
SAM-1589,Three Tree Point,King,Burien,47.44896,-122.372267,4
SAM-1591,Cap Sante,Skagit,Anacortes,48.520971,-122.600717,4
SAM-1592,Locust Beach,Whatcom,Bellingham,48.77636877,-122.5378679,4
SAM-1911,Blair Waterway #2,Pierce,Tacoma,47.2632444,-122.385731,4
SAM-1863,West Bay Park,Thurston,Olympia,47.052362,-122.910912,4
SAM-1864,Lions Park,Kitsap,Bremerton,47.5833538,-122.6414587,4
SAM-1664,Madrona Pont,Kitsap,Bremerton,47.57995505,-122.6786,4
SAM-1115,Aiston Preserve,Whatcom,Lummi Island,48.6793778,-122.6300583,4
WB_PCR,Penn Cove Reference,Island,Coupeville,48.21423,-122.718972,4
HC_HO,Hood Canal Holly,Kitsap,Holly,47.5706,-122.9717,6
HC_BS,Broad Spit (Fisherman's Point),Kitsap,Quilcene Bay,47.78184,-122.83474,4
PSS13175-000006,Eagle Harbor Dr,Kitsap,Bainbridge Island,47.61889,-122.5275,4
