"analyte","Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig","class.x","class.y"
"acenaphthene","ci2","acenaphthene",-0.150349883475261,0.2010303054635,-0.0933852540837089,0.239562292058664,"","","lmw","lmw"
"acenaphthene","sod","acenaphthene",0.169315068493151,0.149010162713656,0.121806738245094,0.124696358011379,"","","lmw","lmw"
"acenaphthene","ibr1morph","acenaphthene",0.155601629026287,0.185166989218472,0.100333209922251,0.205984091069502,"","","lmw","lmw"
"acenaphthene","p450","acenaphthene",0.142776749352092,0.224403702484856,0.090707145501666,0.252893155133198,"","","lmw","lmw"
"acenaphthene","ibr1bio","acenaphthene",0.157852647167716,0.178830391607193,0.102554609403924,0.196119711709585,"","","lmw","lmw"
"acenaphthene","ci1","acenaphthene",0.0391857770153432,0.740283973984927,0.0177744865109204,0.82275281004699,"","","lmw","lmw"
"acenaphthene","ci3","acenaphthene",0.0117325517042651,0.920969663270767,0.00186153312314497,0.981376534495634,"","","lmw","lmw"
"acenaphthene","ibr1overall","acenaphthene",0.248041466123658,0.0333586518404771,0.167715660866346,0.0345125790521582,"*","*","lmw","lmw"
"acenaphthene","shell","acenaphthene",0.246669481486923,0.0341189846547851,0.168768836237809,0.0337026328063946,"*","*","lmw","lmw"
"acenaphthylene","shell","acenaphthylene",0.134746258935336,0.252363943802025,0.0827152757824864,0.297966959895941,"","","lmw","lmw"
"acenaphthylene","ibr1overall","acenaphthylene",0.343295075897816,0.00288956905276894,0.226952980377638,0.00422694493360809,"**","**","lmw","lmw"
"acenaphthylene","ci2","acenaphthylene",-0.127394572266962,0.279409533428621,-0.0830091147410746,0.295835449207753,"","","lmw","lmw"
"acenaphthylene","ibr1bio","acenaphthylene",0.168071084783414,0.152052981257574,0.109959274342836,0.165740602191097,"","","lmw","lmw"
"acenaphthylene","ci3","acenaphthylene",0.0926456797455481,0.432400369465931,0.0599413665652679,0.452261475452487,"","","lmw","lmw"
"acenaphthylene","ibr1morph","acenaphthylene",0.327597186227323,0.00455837452911531,0.224731580895964,0.00461554051119899,"**","**","lmw","lmw"
"acenaphthylene","p450","acenaphthylene",0.218659755646057,0.0614015402710366,0.1380970011107,0.0817374789360263,"","","lmw","lmw"
"acenaphthylene","ci1","acenaphthylene",-0.0531362690593542,0.652976222835401,-0.0503610451142745,0.525635165236976,"","","lmw","lmw"
"acenaphthylene","sod","acenaphthylene",-0.155542391706775,0.185335920808153,-0.0944094779711218,0.234039428151049,"","","lmw","lmw"
"aldrin","ibr1bio","aldrin",0.169315068493151,0.149010162713656,0.127730470196224,0.107392623158306,"","","pesticide","pesticide"
"aldrin","ibr1morph","aldrin",0.268893002591633,0.0207988452547165,0.174379859311366,0.0279467738686982,"*","*","pesticide","pesticide"
"aldrin","ci2","aldrin",-0.0471842719417043,0.689740909260664,-0.0318695708380911,0.688154239320695,"","","pesticide","pesticide"
"aldrin","p450","aldrin",0.19312847093669,0.099195466380589,0.135135135135135,0.0885009626254596,"","","pesticide","pesticide"
"aldrin","ci3","aldrin",-0.0545741420183241,0.644212956150552,-0.0331352895919804,0.677769717007616,"","","pesticide","pesticide"
"aldrin","shell","aldrin",0.321403447478097,0.00523439075321254,0.226632437233629,0.00434851577100018,"**","**","pesticide","pesticide"
"aldrin","ci1","aldrin",0.144273559971078,0.220053081718015,0.108868729879387,0.170052427709358,"","","pesticide","pesticide"
"aldrin","sod","aldrin",-0.119170677526842,0.311146674840225,-0.0825620140688634,0.298023084989838,"","","pesticide","pesticide"
"aldrin","ibr1overall","aldrin",0.337815623843021,0.00339646424026696,0.231395779340985,0.00353744397187821,"**","**","pesticide","pesticide"
"alpha_chlordane","ci3","alpha_chlordane",-0.0321015650797254,0.785993631053722,-0.0167537981083047,0.833598560644109,"","","chlordane","chlordane"
"alpha_chlordane","ci2","alpha_chlordane",-0.0216224221703981,0.854909591190845,-0.0111172921528225,0.888652320324574,"","","chlordane","chlordane"
"alpha_chlordane","ibr1bio","alpha_chlordane",0.190492410218438,0.103962320423121,0.144020733061829,0.0694685482942726,"","","chlordane","chlordane"
"alpha_chlordane","ibr1morph","alpha_chlordane",0.185812661977046,0.112863896413267,0.121066271751203,0.127004206096957,"","","chlordane","chlordane"
"alpha_chlordane","shell","alpha_chlordane",0.254859708041247,0.0284238669157041,0.184347498044375,0.0203605056549745,"*","*","chlordane","chlordane"
"alpha_chlordane","p450","alpha_chlordane",0.217652721214365,0.0626289883553601,0.146982599037394,0.06392619444056,"","","chlordane","chlordane"
"alpha_chlordane","sod","alpha_chlordane",-0.0292780451684561,0.804049363587236,-0.021843761569789,0.783057008175446,"","","chlordane","chlordane"
"alpha_chlordane","ibr1overall","alpha_chlordane",0.306923361717882,0.00803942150364885,0.210662717512033,0.00792207881244177,"**","**","chlordane","chlordane"
"alpha_chlordane","ci1","alpha_chlordane",0.0269383705181063,0.819779363160094,0.0244399189525155,0.758076290723511,"","","chlordane","chlordane"
"alpha_hexachlorocyclohexane","ibr1bio","alpha_hexachlorocyclohexane",0.153498704183636,0.19123294315401,0.104035542391707,0.189738577916262,"","","hch","hch"
"alpha_hexachlorocyclohexane","ci1","alpha_hexachlorocyclohexane",0.123718057893491,0.293632946526715,0.091094243368467,0.250956347028115,"","","hch","hch"
"alpha_hexachlorocyclohexane","shell","alpha_hexachlorocyclohexane",0.300313243837306,0.00933007252592202,0.206602729196614,0.00933123564641004,"**","**","hch","hch"
"alpha_hexachlorocyclohexane","sod","alpha_hexachlorocyclohexane",-0.0606145871899296,0.60720274793013,-0.0440577563865235,0.578661028472803,"","","hch","hch"
"alpha_hexachlorocyclohexane","ci2","alpha_hexachlorocyclohexane",-0.0358843348759415,0.761485106834863,-0.0259403483565858,0.743902880415015,"","","hch","hch"
"alpha_hexachlorocyclohexane","ibr1overall","alpha_hexachlorocyclohexane",0.336216216216216,0.00355872643725144,0.223991114402073,0.00475208976159088,"**","**","hch","hch"
