"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"p450","mercury",0.160238135792144,0.172635586346885,0.111090540693252,0.161502511326939,"",""
"p450","arsenic",0.0603789791851128,0.609334513555273,0.0274124880251848,0.729831444241162,"",""
"p450","cadmium",0.0571792460530007,0.628459205736774,0.0562858739512479,0.478106303060619,"",""
"p450","copper",-0.105368382080711,0.370801339614576,-0.0818215475749722,0.302377333526091,"",""
"p450","lead",0.0134616808589411,0.909241300959196,0.0181414291003332,0.819125358087465,"",""
"p450","zinc",0.171376103330209,0.144301146445158,0.10851852596149,0.171505140279675,"",""
"sod","mercury",0.00259165191900418,0.982515990567726,0.00666543244159515,0.933054710101913,"",""
"sod","arsenic",-0.172769480297652,0.141017883798814,-0.125949269304903,0.112571061015384,"",""
"sod","cadmium",-0.0945878903238839,0.422771206421996,-0.0570264775558696,0.472334908597937,"",""
"sod","copper",0.137445390596075,0.242324019670178,0.101814142910033,0.199368627862656,"",""
"sod","lead",0.154505738615328,0.188310404796716,0.117363939281747,0.139045364361837,"",""
"sod","zinc",-0.0783721343608247,0.506865161108805,-0.0588888929279077,0.458070850876975,"",""
"shell","mercury",0.0264518136361188,0.822981174220504,0.0215173737061457,0.786617870496514,"",""
"shell","arsenic",-0.141888089351164,0.227856117258026,-0.102430964127275,0.197672612191867,"",""
"shell","cadmium",-0.00798293815782085,0.946180661630099,-0.0163235248805243,0.837288937301573,"",""
"shell","copper",-0.0615377781794154,0.602471468686434,-0.0493324290541286,0.534765433412625,"",""
"shell","lead",0.0664696867555274,0.573651366441566,0.0493324290541286,0.534765433412625,"",""
"shell","zinc",0.0789931650117483,0.503493731049182,0.0500928195542184,0.528631616583505,"",""
"ci1","mercury",0.131286653634263,0.264860085221998,0.0959259259259259,0.226773901068027,"",""
"ci1","arsenic",-0.0353361077005118,0.765023214514093,-0.0300111172877635,0.7054141845038,"",""
"ci1","cadmium",-0.0221550855991944,0.851375592007755,-0.0159259259259259,0.840953472338027,"",""
"ci1","copper",0.137861072651485,0.241462701097533,0.0925754505777104,0.243332859045247,"",""
"ci1","lead",0.142466808347544,0.225945592296647,0.102203297437792,0.197734405418939,"",""
"ci1","zinc",-0.0446511214626413,0.705614300274608,-0.0303759960757757,0.701953439381539,"",""
"ci2","mercury",-0.0164094665514358,0.889635315557692,-0.00555967536001907,0.944189190624123,"",""
"ci2","arsenic",0.0228447446004823,0.846804339912987,0.0174267716836373,0.826372979430628,"",""
"ci2","cadmium",-0.0814401232548244,0.49032344927833,-0.0581912687681996,0.463725907456449,"",""
"ci2","copper",0.0424006812834587,0.71982239717939,0.0296461124075266,0.708881106045701,"",""
"ci2","lead",0.15279351337808,0.193721388795086,0.103761393426343,0.191295160961024,"",""
"ci2","zinc",-0.136593529502097,0.245859030940602,-0.0934198476222482,0.239552075534892,"",""
"ci3","mercury",-0.0314870243732129,0.789995613558772,-0.0141502714288667,0.859186335650443,"",""
"ci3","arsenic",0.134897713593625,0.251826239407978,0.0946184435950643,0.235673050254454,"",""
"ci3","cadmium",0.107726954242298,0.360933435821379,0.0729856105278387,0.360158967350509,"",""
"ci3","copper",-0.0555222270045274,0.638461030109403,-0.0405814220845603,0.610835527727915,"",""
"ci3","lead",0.00285906878651915,0.980712249489961,0.00111691987388698,0.9888252712389,"",""
"ci3","zinc",0.137615092367,0.242311590745754,0.0949733580866673,0.233839146450123,"",""
"ibr1bio","mercury",0.18419980896328,0.11617196993009,0.130346234413416,0.100443153178388,"",""
"ibr1bio","arsenic",0.0600531666901232,0.61127026645787,0.0311168782988585,0.69504443888274,"",""
"ibr1bio","cadmium",0.0652503906007566,0.58071667035247,0.0488798379050311,0.537884039268172,"",""
"ibr1bio","copper",-0.0898778230285079,0.445496223119013,-0.0655312847093669,0.408797115340602,"",""
"ibr1bio","lead",0.0487967419474269,0.679080222200047,0.0314698259903739,0.6916089281567,"",""
"ibr1bio","zinc",0.128857887580033,0.273878165988464,0.080370375882742,0.311201662337543,"",""
"ibr1morph","mercury",0.0321364837956518,0.785766400125949,0.0288835405802456,0.715851002385454,"",""
"ibr1morph","arsenic",0.198390190130923,0.090179849414767,0.131876293742781,0.0966306602038758,"",""
"ibr1morph","cadmium",0.213507689807333,0.0677723682550556,0.153304946156688,0.0533533589300432,"",""
"ibr1morph","copper",-0.177015920029619,0.131183133918618,-0.110699740836727,0.162909082774237,"",""
"ibr1morph","lead",-0.107530544242873,0.361021419518976,-0.075897815623843,0.338728336088803,"",""
"ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"ibr1overall","mercury",0.197543113986267,0.0915901865642543,0.143677099296607,0.0701852362694523,"",""
"ibr1overall","arsenic",0.134664228042735,0.252655502170837,0.0866827324039628,0.274810274520268,"",""
"ibr1overall","cadmium",0.14640611926443,0.213237919155694,0.0992408830193056,0.211044349279788,"",""
"ibr1overall","copper",-0.142687893372825,0.224694520534034,-0.111440207330618,0.160114200293105,"",""
"ibr1overall","lead",0.0320621991854869,0.785834076900633,0.0136986301369863,0.862911425435152,"",""
"ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
