"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","13",4.13280172037229,0,0.0013,"Yes","a","c"
"10","13",3.95453723055409,1e-04,0.0014,"Yes","ab","c"
"11","12",2.87849987428037,0.004,0.0479,"Yes","a","bc"
"10","12",2.72256458542889,0.0065,0.0583,"No","ab","bc"
"11","9",2.56057425991525,0.0104,0.0627,"No","a","abc"
"11","8.1",2.56964795643913,0.0102,0.0733,"No","a","abc"
"10","8.1",2.40981532833609,0.016,0.0821,"No","ab","abc"
"10","9",2.33604107604331,0.0195,0.0877,"No","ab","abc"
"13","7",-2.1265861911655,0.0335,0.1338,"No","c","abc"
"12","7",-1.96950821246386,0.0489,0.176,"No","bc","abc"
"11","8.2",1.64022515194573,0.101,0.3029,"No","a","abc"
"7","8.1",1.6720992542059,0.0945,0.3093,"No","abc","abc"
"10","8.2",1.41802406777448,0.1562,0.3514,"No","ab","abc"
"12","8.2",-1.43627395815801,0.1509,0.3622,"No","bc","abc"
"11","6",1.46552781337366,0.1428,0.3671,"No","a","abc"
"12","6",-1.35832435192963,0.1744,0.3692,"No","bc","abc"
"11","7",1.48758425203647,0.1369,0.379,"No","a","abc"
"10","6",1.2618820158081,0.207,0.414,"No","ab","abc"
"12","9",-1.138989594903,0.2547,0.4168,"No","bc","abc"
"13","8.2",-1.08086194690282,0.2798,0.4196,"No","c","abc"
"6","8.1",1.10363853594282,0.2697,0.4222,"No","abc","abc"
"7","9",1.15673767209426,0.2474,0.4241,"No","abc","abc"
"8.1","8.2",-1.1678115360724,0.2429,0.4372,"No","abc","abc"
"10","7",1.19682590290565,0.2314,0.4384,"No","ab","abc"
"13","6",-0.957100878963487,0.3385,0.4875,"No","c","abc"
"12","13",-0.834812072811119,0.4038,0.5384,"No","bc","c"
"8.1","9",-0.854242196177249,0.393,0.5441,"No","abc","abc"
"13","9",-0.612608827303015,0.5401,0.6945,"No","c","abc"
"10","11",-0.413796058031053,0.679,0.719,"No","ab","a"
"6","9",0.438397299480953,0.6611,0.7212,"No","abc","abc"
"8.2","9",0.486243182402008,0.6268,0.7279,"No","abc","abc"
"6","7",-0.449490869809435,0.6531,0.7347,"No","abc","abc"
"13","8.1",0.527249730196496,0.598,0.7424,"No","c","abc"
"7","8.2",0.492217088567293,0.6226,0.7471,"No","abc","abc"
"12","8.1",-0.232495277487639,0.8162,0.8395,"No","bc","abc"
"6","8.2",-0.00507346289431855,0.996,0.996,"No","abc","abc"
