"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"Edmonds Ferry","Jamestown",4.18449352652915,0,0.0772,"No","a","a"
"Edmonds Ferry","Locust Beach",3.75066349500195,2e-04,0.0953,"No","a","a"
"Hood Canal Holly","Jamestown",3.80480487015335,1e-04,0.0958,"No","a","a"
"Jamestown","North Camano",-3.69935559715385,2e-04,0.0973,"No","a","a"
"Edmonds Ferry","Penn Cove Reference",3.84472402152237,1e-04,0.1087,"No","a","a"
"Edmonds Ferry","Silverdale, Dyes Inlet",3.37834057752527,7e-04,0.1159,"No","a","a"
"Elliot Bay Myrtle Edwards","North Camano",-3.38344258205608,7e-04,0.1208,"No","a","a"
"Hood Canal Holly","Penn Cove Reference",3.43031155372448,6e-04,0.1253,"No","a","a"
"Edmonds Ferry","Fidalgo Bay Aq Reserve, Weaverling Spit",3.55862325335608,4e-04,0.1259,"No","a","a"
"Edmonds Ferry","Oak Bay County Park",3.29603761681989,0.001,0.1261,"No","a","a"
"Jamestown","N Avenue Park",-3.59202419684958,3e-04,0.1266,"No","a","a"
"Elliot Bay Myrtle Edwards","N Avenue Park",-3.28016289395913,0.001,0.1274,"No","a","a"
"Edmonds Ferry","Meyer's Point, Henderson Inlet",3.3861789547353,7e-04,0.1276,"No","a","a"
"Broad Spit ","Edmonds Ferry",-3.2098154675095,0.0013,0.1281,"No","a","a"
"Jamestown","Purdy, Dexters",-3.2657367399246,0.0011,0.1282,"No","a","a"
"N Avenue Park","Penn Cove Reference",3.30387599402993,0.001,0.1288,"No","a","a"
"Elliot Bay Myrtle Edwards","Maple Hollow Park",-3.19753914348157,0.0014,0.1291,"No","a","a"
"North Camano","Penn Cove Reference",3.40185570915537,7e-04,0.1291,"No","a","a"
"Everett Harbor","Penn Cove Reference",3.18238114727438,0.0015,0.1315,"No","a","a"
"Hood Canal Holly","Locust Beach",3.32727340943238,9e-04,0.1316,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Edmonds Ferry",-3.22157303332456,0.0013,0.1324,"No","a","a"
"Locust Beach","N Avenue Park",-3.2098154675095,0.0013,0.1329,"No","a","a"
"Edmonds Ferry","Smith Cove, Terminal 91",3.15102763843424,0.0016,0.1332,"No","a","a"
"Locust Beach","North Camano",-3.30779518263495,9e-04,0.1337,"No","a","a"
