"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"10","13",-3.40582202892126,7e-04,0.0237,"Yes","a","b"
"10","8.2",-2.86360704774078,0.0042,0.0754,"No","a","ab"
"10","12",-1.78077974979714,0.0749,0.2698,"No","a","ab"
"13","9",1.73579715310955,0.0826,0.2703,"No","b","ab"
"11","8.2",-1.82252913199937,0.0684,0.2735,"No","ab","ab"
"13","6",2.15459891892248,0.0312,0.2807,"No","b","ab"
"11","13",-1.82905137310052,0.0674,0.3033,"No","ab","b"
"6","8.2",-2.21871862750236,0.0265,0.3181,"No","ab","ab"
"8.2","9",1.83774958986234,0.0661,0.3399,"No","ab","ab"
"10","11",-1.55757713497165,0.1193,0.358,"No","a","ab"
"12","6",1.51621764126603,0.1295,0.3585,"No","ab","ab"
"13","7",1.8672979512198,0.0619,0.3712,"No","b","ab"
"7","8.2",-1.90403640907413,0.0569,0.4097,"No","ab","ab"
"10","8.1",-1.27718156505556,0.2015,0.5182,"No","a","ab"
"12","9",1.1082035083749,0.2678,0.5671,"No","ab","ab"
"11","12",-0.985533495026222,0.3244,0.5839,"No","ab","ab"
"12","7",1.11119420751442,0.2665,0.5996,"No","ab","ab"
"11","6",0.987766936959228,0.3233,0.6125,"No","ab","ab"
"10","7",-1.01254259216318,0.3113,0.6226,"No","a","ab"
"6","8.1",-1.12480143974676,0.2607,0.6256,"No","ab","ab"
"10","9",-0.820975674823339,0.4117,0.7057,"No","a","ab"
"7","8.1",-0.697309634134894,0.4856,0.7284,"No","ab","ab"
"6","9",-0.625784917134723,0.5315,0.7359,"No","ab","ab"
"13","8.2",-0.559380440883394,0.5759,0.7404,"No","b","ab"
"8.1","8.2",-0.647844457097608,0.5171,0.7446,"No","ab","ab"
"8.1","9",0.712864050886313,0.4759,0.7449,"No","ab","ab"
"11","8.1",-0.562570822389485,0.5737,0.765,"No","ab","ab"
"6","7",-0.719118056563384,0.4721,0.7725,"No","ab","ab"
"13","8.1",0.327327254333142,0.7434,0.8633,"No","b","ab"
"11","7",0.294985333552783,0.768,0.864,"No","ab","ab"
"12","8.1",0.26173868783887,0.7935,0.8657,"No","ab","ab"
"12","8.2",-0.383177895110532,0.7016,0.8709,"No","ab","ab"
"11","9",0.332163148343553,0.7398,0.8877,"No","ab","ab"
"10","6",0.0459464540548789,0.9634,0.9909,"No","a","ab"
"12","13",0.00126852157118389,0.999,0.999,"No","ab","b"
"7","9",0.0638047772365528,0.9491,1,"No","ab","ab"
