"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"7","8.1",3.02398023706653,0.0025,0.0449,"Yes","a","b"
"12","8.2",-2.63196682965897,0.0085,0.0509,"No","ab","ab"
"8.1","8.2",-2.64645185382602,0.0081,0.0586,"No","b","ab"
"13","8.1",2.70398498259522,0.0069,0.0617,"No","ab","b"
"10","7",-2.47615446956273,0.0133,0.0683,"No","ab","a"
"12","13",-2.72513029533173,0.0064,0.0771,"No","ab","ab"
"12","7",-3.06559812042087,0.0022,0.0782,"No","ab","a"
"6","7",-2.37069273507389,0.0178,0.0799,"No","ab","a"
"11","7",-2.27728496168595,0.0228,0.0911,"No","ab","a"
"11","8.1",1.89001626044152,0.0588,0.141,"No","ab","b"
"11","12",1.8300727418494,0.0672,0.1424,"No","ab","ab"
"6","8.2",-1.90572762249168,0.0567,0.1458,"No","ab","ab"
"8.1","9",-2.04790234736867,0.0406,0.1461,"No","b","ab"
"10","8.1",1.84068391540931,0.0657,0.1478,"No","ab","b"
"10","13",-1.92602775888664,0.0541,0.1498,"No","ab","ab"
"10","12",1.77692515547112,0.0756,0.1512,"No","ab","ab"
"12","9",-1.9927497330083,0.0463,0.1515,"No","ab","ab"
"13","6",1.94825181779086,0.0514,0.1542,"No","ab","ab"
"11","13",-1.7119466496712,0.0869,0.1647,"No","ab","ab"
"10","8.2",-1.68358881145365,0.0923,0.1661,"No","ab","ab"
"11","8.2",-1.55837565771054,0.1191,0.2042,"No","ab","ab"
"7","9",1.37196030883594,0.1701,0.2783,"No","a","ab"
"6","9",-1.1274527507316,0.2596,0.4063,"No","ab","ab"
"6","8.1",1.08480138854667,0.278,0.417,"No","ab","b"
"12","6",-0.950772612954398,0.3417,0.4732,"No","ab","ab"
"8.2","9",0.9671553116888,0.3335,0.4802,"No","ab","ab"
"11","6",0.855155817442745,0.3925,0.5233,"No","ab","ab"
"13","9",0.817626995973645,0.4136,0.5317,"No","ab","ab"
"10","6",0.778961052137814,0.436,0.5412,"No","ab","ab"
"13","7",-0.741338372492524,0.4585,0.5502,"No","ab","a"
"10","9",-0.635840545988031,0.5249,0.6095,"No","ab","ab"
"11","9",-0.512624327591946,0.6082,0.6842,"No","ab","ab"
"13","8.2",-0.378359053106588,0.7052,0.7693,"No","ab","ab"
"12","8.1",0.182282300459213,0.8554,0.8798,"No","ab","b"
"10","11",-0.147823945429237,0.8825,0.8825,"No","ab","ab"
"7","8.2",0.189801281028651,0.8495,0.8994,"No","a","ab"
