"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","13",3.98264802464942,1e-04,0.0025,"Yes","a","b"
"10","13",3.19717982420048,0.0014,0.025,"Yes","a","b"
"13","7",-2.68285000396427,0.0073,0.0876,"No","b","ab"
"11","12",2.27932715366836,0.0226,0.2038,"No","a","ab"
"12","7",-1.76793102964457,0.0771,0.3468,"No","ab","ab"
"11","8.2",1.70632994396369,0.0879,0.3518,"No","a","ab"
"13","9",-1.78791020709176,0.0738,0.3795,"No","b","ab"
"10","12",1.83205222707519,0.0669,0.4017,"No","a","ab"
"12","6",-1.58754158631775,0.1124,0.4046,"No","ab","ab"
"13","6",-1.90724102426179,0.0565,0.4067,"No","b","ab"
"11","8.1",1.47631216728113,0.1399,0.4577,"No","a","ab"
"12","9",-1.35729593392607,0.1747,0.5241,"No","ab","ab"
"11","9",1.25782595223907,0.2085,0.5773,"No","a","ab"
"6","8.2",0.908149858082995,0.3638,0.6237,"No","ab","ab"
"12","8.2",-0.872502871778232,0.3829,0.6266,"No","ab","ab"
"7","8.1",0.994667738173863,0.3199,0.6398,"No","ab","ab"
"13","8.2",-0.916828697508351,0.3592,0.6466,"No","b","ab"
"10","8.1",1.01890415863391,0.3082,0.6528,"No","a","ab"
"11","7",0.791581076454333,0.4286,0.6709,"No","a","ab"
"6","8.1",0.925358464752059,0.3548,0.6722,"No","ab","ab"
"10","11",-1.02457037656319,0.3056,0.6875,"No","a","a"
"10","8.2",1.10216615777609,0.2704,0.6953,"No","a","ab"
"7","8.2",1.04246850635431,0.2972,0.7133,"No","ab","ab"
"6","9",0.482237029429048,0.6296,0.7556,"No","ab","ab"
"7","9",0.519551666279624,0.6034,0.7758,"No","ab","ab"
"13","8.1",-0.487706000431759,0.6258,0.7768,"No","b","ab"
"11","6",0.42152305000045,0.6734,0.782,"No","a","ab"
"10","9",0.541766424048822,0.588,0.784,"No","a","ab"
"12","8.1",-0.60448772146786,0.5455,0.7855,"No","ab","ab"
"8.1","9",-0.616952697239124,0.5373,0.8059,"No","ab","ab"
"8.2","9",-0.546273204920775,0.5849,0.8098,"No","ab","ab"
"12","13",-0.31195609036626,0.7551,0.8495,"No","ab","b"
"8.1","8.2",-0.174500574355646,0.8615,0.9398,"No","ab","ab"
"10","6",-0.140500911229413,0.8883,0.9405,"No","a","ab"
"6","7",0.100747953577977,0.9198,0.946,"No","ab","ab"
"10","7",-0.0497277466676124,0.9603,0.9603,"No","a","ab"
